Date, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
21-Nov-13,520.9,520.9,506.2,509.3,509.25,617352,3173.14
20-Nov-13,531.9,537,521.4,523.3,524.3,869675,4614.93
19-Nov-13,528,534.3,528,532.3,531.3,840508,4468.18
18-Nov-13,518.2,527.9,515.05,525.8,526.3,1208180,6295.59
14-Nov-13,525.25,530.25,511.1,514.4,513.15,1141064,5944.2
13-Nov-13,523.1,531.8,518.2,521.5,522.85,922754,4831.01
12-Nov-13,548,550.95,528.1,530.05,530.45,886182,4764.63
11-Nov-13,551.15,556.55,545.2,545.95,546.5,942969,5189.87
8-Nov-13,550,561.75,546.65,558.7,556.6,896874,4966.26
7-Nov-13,552,558.45,547.55,552.5,551.4,880347,4871.52
6-Nov-13,550,555.75,541.3,554.9,552.35,1527805,8419.49
5-Nov-13,535.35,551.35,535.3,549,548.2,1376974,7487.47
3-Nov-13,543.95,545.9,536.75,537.5,538.15,173340,937.21
1-Nov-13,539,544.95,532.65,540.5,542.8,1033935,5572.78
31-Oct-13,529.5,541.95,526.6,539.05,539.45,1791990,9625.93
30-Oct-13,521,529.4,517.1,528.5,528.25,1579868,8291.83
29-Oct-13,502,521,495.5,517.8,519,1519476,7739
28-Oct-13,517.9,519,500,502.15,501.55,1054082,5355.16
25-Oct-13,517,522.35,512.1,512.55,513.7,702992,3628.88
24-Oct-13,520.25,533.5,518.45,521.2,521.5,1415249,7447.37
23-Oct-13,526,526.4,515.25,521.9,522.15,978398,5083.52
22-Oct-13,530,531.2,510.3,522.6,523.2,3048277,15843.8
21-Oct-13,490,529.8,488.25,529.8,515.8,4416370,22442.28
18-Oct-13,484.1,494.6,476.3,487,486.9,2524634,12289.71
17-Oct-13,484.4,489.95,481.7,485,486.4,963435,4683.58
15-Oct-13,473.9,483.4,470.6,478.4,480.8,984845,4700.64
14-Oct-13,481.5,481.5,468.55,470.4,470.6,922169,4349.05
11-Oct-13,485.05,487.9,476.2,483.65,485.05,732464,3541.48
10-Oct-13,467,483.5,467,479.05,479.65,1241962,5955.58
9-Oct-13,455,472.2,453.6,470.5,469.9,1219033,5664.51
8-Oct-13,465,471.35,457.5,459,459.7,1062402,4918.34
7-Oct-13,469.8,469.8,456.2,465,463.5,1246791,5757.49
4-Oct-13,467.95,476.1,466,466,467.1,1105813,5217.08
3-Oct-13,457,477.2,457,470.55,470.8,1872476,8788.06
1-Oct-13,462,464,451,455.1,454.35,1194903,5453.15
30-Sep-13,470,470.2,456.4,458.2,459.25,1184167,5456.03
27-Sep-13,484,486.3,468.1,469.2,469.8,1022869,4847.77
26-Sep-13,476.8,484.3,476.45,478.65,479.8,1423622,6844.17
25-Sep-13,489.5,489.8,471.55,477.2,477.85,1269349,6076.7
24-Sep-13,486,504.8,483.1,486.3,485.3,1854893,9161.56
23-Sep-13,485,494.95,479.75,485.95,486.1,1698587,8293.73
20-Sep-13,480.25,491.3,469.4,490.5,488.15,1366454,6579.45
19-Sep-13,452,486.45,450,480,479.1,1571260,7399.57
18-Sep-13,442,448.5,438.5,446.6,445.5,618855,2740.53
17-Sep-13,441.05,443.9,437.45,442.25,441.7,463021,2037.06
16-Sep-13,450,458.7,436.5,441,441.35,1263167,5594.13
13-Sep-13,437,445.9,436,443.4,442.35,596005,2633.33
12-Sep-13,446.55,451.85,435.5,440.1,438.5,1740100,7665.35
11-Sep-13,448.7,448.7,435,445,444.6,875515,3859.8
10-Sep-13,429.8,450.3,428.05,445.55,445.8,1598104,7042.58
6-Sep-13,406.8,426.8,406.5,425.2,425.1,1558392,6538.79
5-Sep-13,410,413.1,402.85,404.85,405.6,1025465,4175.43
4-Sep-13,403,409.5,399,405,403.3,668024,2696.04
3-Sep-13,422,424.95,395,398,398.15,1313672,5304.46
2-Sep-13,420,427.9,418.3,424,422.4,533907,2260.55
