Date, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
21-Nov-13,140.3,140.85,136.35,137,136.9,2855668,3963.02
20-Nov-13,141.4,144.65,140.15,140.4,141,3913676,5599.59
19-Nov-13,139.6,142.45,138.05,141,141.8,4215582,5926.37
18-Nov-13,137.3,140.8,136.3,139.9,139.95,3692661,5112.86
14-Nov-13,135,136.8,134.5,135.45,135.8,2391506,3252.55
13-Nov-13,131.25,135,131,133.5,133.65,3036685,4059.79
12-Nov-13,134,135.05,131,132.3,132.05,3569433,4748.61
11-Nov-13,134.8,136,133.1,134.3,134.2,3424144,4608.54
8-Nov-13,132.8,136.7,131.25,135.7,135.7,4913496,6618.5
7-Nov-13,138,138,133.1,134.6,134.55,11687531,15751.14
6-Nov-13,141,144.9,138.65,139.65,140.35,17555081,24883.17
5-Nov-13,143.95,145,140.45,141.8,142.25,6440301,9189.98
3-Nov-13,144.6,145.7,144.1,144.25,144.55,1074457,1556.87
1-Nov-13,141.15,145.3,141.15,143.4,143.55,7797971,11195.83
31-Oct-13,139.35,141.9,137.8,141.25,141.1,5953156,8350.45
30-Oct-13,136.6,141,136.6,139.15,139.35,5919921,8256.84
29-Oct-13,136.2,137.8,131.15,136.3,136.35,7840059,10548.16
28-Oct-13,138.2,138.6,135.1,136.5,136.2,3388835,4631.05
25-Oct-13,139.8,139.8,136.05,137,137.35,4099704,5633.8
24-Oct-13,142.7,144.9,139.3,139.45,140.2,5213357,7429.69
23-Oct-13,145.75,146.55,140.7,142.4,142.7,5185787,7454.21
22-Oct-13,145,147.8,145,145.25,145.6,4570548,6676.18
21-Oct-13,147.8,149.2,144.6,145.55,145.5,5345654,7820.21
18-Oct-13,147.25,151.95,145,146.9,147.8,8929263,13225.33
17-Oct-13,145,147.8,143.1,146.45,146.75,5307845,7743.25
15-Oct-13,145.8,147.5,141.2,144.7,145.5,5309958,7673.07
14-Oct-13,146.7,146.7,143.1,144.9,144.75,3320262,4797.03
11-Oct-13,149.1,149.5,145.2,146.75,146.95,3351599,4922.68
