Date, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
21-Nov-13,340.95,343.95,336.6,339,338.65,2233529,7578.77
20-Nov-13,352.1,353.05,341.9,342.75,344.4,3844257,13380.07
19-Nov-13,346.5,353.95,346.05,350.35,351.6,4973412,17466.16
18-Nov-13,342.4,347,340.8,344.05,345.25,3642773,12535.02
14-Nov-13,335.05,344.7,335.05,340,339.9,2946084,10033.53
13-Nov-13,339.8,340,328.15,332.05,332.5,3225546,10751.19
12-Nov-13,340.75,343.95,336.05,337.5,337.75,2639867,8942.43
11-Nov-13,341,346.5,339.5,340.75,341,4320157,14764.13
8-Nov-13,346.05,352.95,342.85,343.7,344,3067373,10628.63
7-Nov-13,354,358.5,346.8,347.55,348.25,3359338,11827.08
6-Nov-13,360.3,364.75,352.8,354.45,355.6,5280322,18932.79
5-Nov-13,360.6,365.5,356,359.1,359.6,5387008,19376.16
3-Nov-13,366.5,369,364,364,365.3,279832,1024.94
1-Nov-13,365,373.8,362.3,366,367.2,5371490,19761.61
31-Oct-13,357.85,370.5,356.1,366.5,367.1,10451477,38223.5
30-Oct-13,340.5,364.5,334.2,359.2,360,19754366,70206.59
29-Oct-13,341.9,344.9,336.2,338.95,341.2,2270440,7740.1
28-Oct-13,344,348.3,337.1,339.45,339.4,2073537,7098.29
25-Oct-13,348.2,349.1,342,344,343.5,2354292,8121.67
24-Oct-13,349,356.8,347.85,348.95,349.65,3009362,10631.22
23-Oct-13,351.75,354.9,345.5,346.55,347.85,2405503,8404.71
22-Oct-13,350.5,355.9,349.5,352,352.15,2870020,10109.91
21-Oct-13,354.55,359.55,350,352.05,352.95,2339511,8271.84
18-Oct-13,350,359,348.75,355.05,356.75,4647912,16432.76
17-Oct-13,341,350,339.5,349,348.65,5863086,20316.51
15-Oct-13,336,344,334,338.5,339.1,4164374,14166.15
14-Oct-13,336.9,338.5,332,332,333.1,1675479,5611.84
11-Oct-13,335.65,337.6,331.75,333,334.55,2069825,6924.21
10-Oct-13,331.25,336.3,329.1,333,332.9,3310490,11044.67
9-Oct-13,333.7,335.05,323.15,334.25,334.15,5236197,17241.92
8-Oct-13,331.2,334.6,323,331.35,332.1,4026958,13334.16
7-Oct-13,323.25,325.7,319.4,321.85,323.25,2424524,7827.72
4-Oct-13,318.3,332.2,318.3,327.2,328.35,3760092,12365.82
3-Oct-13,321.8,325.8,311,323.55,324.3,5484088,17623.56
1-Oct-13,319.3,324.3,309,323,322.6,4194649,13315.65
30-Sep-13,321.8,322.6,312.05,318.7,318.65,5563497,17604.95
27-Sep-13,338.5,338.5,323.55,325,325.3,5038528,16499.89
26-Sep-13,337.5,339.2,329.2,336,334.75,5169378,17284.88
25-Sep-13,330,338.9,325.1,337.85,336,3314606,11061.29
24-Sep-13,334.9,336,328.6,329.35,330.3,5446352,18091.12
23-Sep-13,339.9,340.3,330.05,334.6,335.15,5286310,17696.67
20-Sep-13,354.3,354.3,341.1,344,344.2,10258650,35603.71
19-Sep-13,345,358.75,343.05,353.5,354.3,8538166,30142.15
18-Sep-13,340,340.3,333.55,337.5,337.6,2241487,7550.59
17-Sep-13,336.7,340.8,330.3,336,337.3,3314431,11176.62
16-Sep-13,329,339.7,327,335.1,335.75,3591045,11969.07
13-Sep-13,323.1,332.25,316.4,325.9,325.75,4860710,15701.54
12-Sep-13,338.8,339.9,324.55,329.7,328.6,3151266,10453.26
11-Sep-13,338.65,344.85,329.25,334.15,335.1,5684566,19106.21
10-Sep-13,324,351.4,321.6,340,338.35,12203818,40351.32
6-Sep-13,302.95,317.8,298.55,313.4,313.75,9339071,28762.68
5-Sep-13,303,309,294,298.8,296.2,7496830,22499.31
4-Sep-13,285.2,299.2,280.5,297.3,297.2,3419257,10045.11
3-Sep-13,306,307.9,283,285.1,285,4683710,13883.87
2-Sep-13,303.8,303.8,295.1,299.8,300.3,2555875,7653.04
30-Aug-13,302,302.2,290.1,297.95,299.1,5440350,16257.58
29-Aug-13,293.4,300.9,290,299.4,299.35,8530405,25402.83
28-Aug-13,293,293,279.2,286.55,287.8,4485234,12824.02
27-Aug-13,305,306.75,291.1,300.2,293.9,6246745,18692.82
26-Aug-13,309.1,316.5,305,308,307.05,2589277,8004.01
23-Aug-13,313,313.95,303.55,307.6,308.95,5727686,17605.95
22-Aug-13,298,317,295.8,312.9,313,5191133,16081.9
21-Aug-13,324,324.55,294.5,301,298.75,4869456,15016.96
20-Aug-13,311,323.75,301.35,320.5,318.45,6580724,20588.91
19-Aug-13,334.9,334.95,307.8,318,317.6,7218354,22851.65
16-Aug-13,346.8,348,331.8,332,335.65,8437789,28517.7
14-Aug-13,346,351.8,341.2,343,343.3,2959870,10234.93
13-Aug-13,338,349.45,333.6,345.8,346.4,3762623,12957.29
12-Aug-13,342.2,344.45,332.95,339.65,341.8,4605380,15685.19
8-Aug-13,326.9,340.1,324,338.1,337.3,4476081,14968.39
7-Aug-13,325,332.5,320.5,326.55,326.25,4227592,13814.82
6-Aug-13,337.9,337.9,318.05,325.05,322.9,5384370,17586.6
5-Aug-13,344.15,346.4,335,336.95,336.35,3410480,11637.22
2-Aug-13,343.2,349.4,339.1,345.65,345.25,6311866,21786.18
1-Aug-13,347.75,354,339.25,340,343.25,13362011,46364.55
31-Jul-13,314,348,313.3,345.2,344.5,13900401,46833.5
30-Jul-13,332.5,333.85,317.2,324,321.1,3205834,10405.89
29-Jul-13,337,346.8,331.5,332.1,334,5016522,17042.03
26-Jul-13,337.9,339.95,331.05,338.5,337.2,2644855,8864.89
25-Jul-13,337,340.8,333.2,337.65,337.1,4801747,16193.78
24-Jul-13,327,339,327,336.95,337.4,4353761,14615.16
23-Jul-13,336.45,337.4,328.85,329.7,330.1,2820493,9385.08
22-Jul-13,328.9,337.3,326.05,336,336.1,3536186,11755.86
19-Jul-13,323.7,333.9,318.4,329,329.85,5672291,18598.01
18-Jul-13,314.75,325,314.75,323.65,323.65,3459638,11114.38
17-Jul-13,325,327.45,312.1,314.65,316.05,6230190,19954.73
16-Jul-13,310,323.55,308.3,320.45,321.1,3778621,12038.32
15-Jul-13,304.1,316.15,302.05,314.4,314.45,3445497,10715.71
12-Jul-13,301,306.95,296.8,306.7,305.5,3406255,10311.1
11-Jul-13,293,301,293,300.05,300.05,2685299,8005.37
10-Jul-13,294,294,289.15,289.8,290.1,2815323,8186.86
9-Jul-13,294.6,297,290.1,291.1,291.65,2551185,7456.47
