Date, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
21-Nov-13,393.5,396.25,385.6,386.25,386.65,1706437,6658.14
20-Nov-13,400.35,401.8,391.8,392.75,392.85,1951113,7701.89
19-Nov-13,403.1,405.85,399.25,400.5,400.75,1269712,5099.29
18-Nov-13,403.1,407.05,401.35,402,402.2,1141893,4607.16
14-Nov-13,408.15,412.5,400,402.7,403,2200117,8924.04
13-Nov-13,419.55,419.55,410.05,410.15,412.3,1255137,5206.24
12-Nov-13,422.7,426.65,418.4,418.8,420.85,924373,3913.64
11-Nov-13,423,428.25,420.5,422,421.95,964562,4098.55
8-Nov-13,421.05,426.5,420.3,423.05,423.15,1121043,4746.69
7-Nov-13,425.75,429.75,419.9,421.25,421.6,970555,4130.11
6-Nov-13,421,427.8,421,424.2,424.65,1264818,5375.82
5-Nov-13,418,423.8,415.55,420.45,420.65,1198094,5037.39
3-Nov-13,416.75,420.95,416.75,418,418,145233,607.69
1-Nov-13,414.5,418.2,413.5,417.3,416.3,576321,2399.28
31-Oct-13,420,421,411.85,414,413.2,1884285,7805.57
30-Oct-13,418.55,420.35,416.05,419.55,419.4,927553,3880.68
29-Oct-13,411.65,419.75,408.7,418.55,417.75,1093035,4541.52
28-Oct-13,416.25,418.9,411,411.3,411.75,551183,2274.71
25-Oct-13,418.25,421,413,415.7,415.5,871750,3629.08
24-Oct-13,423.9,425.55,417.75,420.5,420.2,1077405,4537.99
23-Oct-13,412.6,424.95,411.5,423.5,423.8,2311179,9693.16
22-Oct-13,417.9,420.6,410.2,412.9,412.25,1382573,5712.73
21-Oct-13,416.95,422.9,413.35,417.15,416.8,1365372,5697.87
18-Oct-13,415.35,419.45,413.6,415.7,415.3,1438997,5986.21
17-Oct-13,424.9,426,413.8,414.65,414.9,1396794,5843.87
15-Oct-13,422.1,428.7,420,423.2,423.1,741927,3148.01
14-Oct-13,430,431.85,420,420.35,421.9,1024542,4347.87
11-Oct-13,437.2,437.2,428,429,429.2,569732,2456.28
10-Oct-13,431,438.5,431,432.15,433,894958,3888.86
9-Oct-13,432.5,437.8,429.5,433,431.6,1238140,5362.47
8-Oct-13,441.9,443,434,434.3,434.7,546510,2388.35
7-Oct-13,437.05,442.8,437.05,440.2,439.8,1036750,4565
4-Oct-13,435,444.8,434.6,437.6,437.95,1437160,6336.71
3-Oct-13,436.8,441.55,435,436.6,435.9,943945,4126.71
1-Oct-13,432,435.9,430.65,432.3,431.9,488339,2114.57
30-Sep-13,432,438.5,430.9,432,432.5,686309,2977.04
27-Sep-13,437.9,439.9,432.1,435.15,434.3,696621,3033.36
26-Sep-13,439,440.95,433.55,436.1,435.8,1041444,4541.83
25-Sep-13,432.45,439.75,429,438,438.75,874221,3811.42
24-Sep-13,422.3,435.2,422.3,433.1,431.95,1665360,7205.93
23-Sep-13,428,435.15,423.65,425.05,425.95,1202592,5154.36
20-Sep-13,437.75,444.95,421.65,429.5,430.05,2071797,8933.55
19-Sep-13,445,445,430,439.4,439.7,1539956,6760.19
18-Sep-13,433.5,440.8,433.5,438,437,971303,4249.98
17-Sep-13,429,435,424,433.95,432.05,912502,3922.83
16-Sep-13,445.85,450.4,428,431.05,430.55,1248660,5494.26
13-Sep-13,436.9,443.95,436.9,440.95,441.55,787196,3476.37
12-Sep-13,437.15,444.5,434.1,437.25,438.15,985827,4337.04
11-Sep-13,439,442.85,428.5,435.35,433.75,1674548,7281.54
10-Sep-13,441,446.7,436.8,440.7,440.9,1859689,8218.53
6-Sep-13,420.25,440.8,419.15,440.5,437.05,2382882,10315.94
5-Sep-13,424.5,425.6,417.25,418,418.6,826194,3471.84
4-Sep-13,407,421.3,403.85,420.35,419.8,1481535,6168.03
3-Sep-13,418.2,422,403.4,405.5,406.15,887841,3658.65
2-Sep-13,418,424,414.05,416.8,417.85,932389,3915.09
30-Aug-13,397.45,419.7,393,417.75,416.95,2873899,11839.62
29-Aug-13,400,402,393.1,395.55,397.65,2000822,7965.38
28-Aug-13,393.35,401,383.35,400,398.6,1776784,6980.47
27-Aug-13,395,402.6,392.45,397.2,396.65,1389978,5519.47
26-Aug-13,396.5,403.45,391.1,397,399.25,986582,3927.39
23-Aug-13,402.8,404,392.5,396,396,1505564,5969.65
22-Aug-13,391.9,403.2,389.2,401.85,401.4,1326156,5260.42
21-Aug-13,404.9,406.25,391,393,392.7,1198064,4761.28
20-Aug-13,397.9,407.95,391.25,401,402.2,1370434,5498.86
19-Aug-13,415,419.7,395.05,398.8,400.2,1412434,5710.72
16-Aug-13,420,425.75,412.5,415,414.7,1676509,6993.55
14-Aug-13,424.9,429.8,419.55,420.2,420.4,1298053,5493.36
