Date, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
21-Nov-13,274,276.25,268.25,270.05,269.2,2489905,6782.35
20-Nov-13,267.5,275,266.75,272.45,272.5,6013211,16315.45
19-Nov-13,271,272.5,265.45,267.7,267.55,2458816,6607.95
18-Nov-13,271.7,277.6,270.15,270.6,270.75,3993288,10872.28
14-Nov-13,279.5,280.45,271.3,275,274.45,5182174,14322.03
13-Nov-13,286,288.1,280.5,287.4,285.1,1049512,2984.44
12-Nov-13,287.7,290,283.65,283.8,284.7,756369,2158.84
11-Nov-13,291.5,293.9,288.1,289.35,289.25,1447723,4193.07
8-Nov-13,293.6,295.95,289.5,292.15,291.3,1597712,4662.5
7-Nov-13,299,301.5,293.75,296,295.95,1344544,3983.29
6-Nov-13,296.1,301.4,295.95,299,298.8,1987170,5939.31
5-Nov-13,289.1,297.9,289.1,295.4,296.4,1611993,4758.74
3-Nov-13,294.9,294.9,290.1,291.3,291.9,146312,427.33
1-Nov-13,286.5,295.4,286.5,292.9,292.05,2450234,7184.49
31-Oct-13,281,290.6,281,289,287.95,2379392,6811.75
30-Oct-13,281,284.85,280.05,281.15,282.25,1131324,3195.32
29-Oct-13,275,283.45,275,280.55,281.15,1516155,4237.02
28-Oct-13,279.5,280.1,275.1,276.1,276.55,1676949,4645.27
25-Oct-13,279.3,281.7,276.2,279,278.95,2533958,7067.12
24-Oct-13,287.05,290,278,278.8,279.3,2591299,7336.67
23-Oct-13,290,293,287,289.2,289.85,1849940,5370.89
22-Oct-13,286.1,293.95,285.35,293.5,292.95,2562561,7495.32
21-Oct-13,284,289.45,282.25,288,287.9,1936086,5552.69
18-Oct-13,282.25,287.9,282.25,286,286.1,1518954,4353.12
17-Oct-13,282.9,286.7,281.15,283,283.95,871980,2479.83
15-Oct-13,286,287.2,279.45,283,283.45,1501343,4239.6
14-Oct-13,284,287.8,282.25,285.05,285.25,1184284,3385.97
11-Oct-13,297,297.4,280.7,282.1,282.55,3440986,9902.33
10-Oct-13,295,299.25,292.85,293.5,293.95,1270541,3756.01
9-Oct-13,296.5,298.35,291.15,297.1,296.25,2253222,6625.78
8-Oct-13,301,302,294.25,296.5,296.35,2545544,7544.26
7-Oct-13,305.15,306.6,298.1,300,299.75,6371754,19130.66
4-Oct-13,302.35,311.5,301.35,309.3,310.05,2240607,6855.87
3-Oct-13,297,314.8,297,301.55,302.35,3969487,12085.17
1-Oct-13,295,298.95,293.2,297.4,297.5,1994423,5900.21
30-Sep-13,303.8,307.35,293,293.8,294.45,2298688,6840.94
27-Sep-13,301.5,309,301.1,307.5,306.9,2226646,6798.76
26-Sep-13,295.05,304.95,294.4,303.45,303.85,3688717,11142.01
25-Sep-13,295,302,294,294.75,295.05,2803764,8325.85
24-Sep-13,300,305.9,296.3,297.2,297,3802287,11451.41
23-Sep-13,298,308.4,298,304.8,304.75,4569833,13847.77
20-Sep-13,296.25,304,291.7,300.3,301.7,3193597,9498.31
19-Sep-13,301.5,305,295.35,297,297.45,3184840,9535.78
18-Sep-13,291.25,299.7,291.25,297.5,297.4,1981623,5893.49
17-Sep-13,288.25,295,288.25,294.4,293.7,2572697,7533.44
16-Sep-13,293.5,298,284.25,288.8,289.55,2249367,6491.56
13-Sep-13,285,294.75,283.6,293.6,293,1463029,4254.45
12-Sep-13,292,299.6,283.4,285.9,284.95,2976934,8599.29
11-Sep-13,284.95,294.55,283.9,293.75,293.05,1907571,5517.42
10-Sep-13,281.6,289.7,280.55,288,288.2,2526163,7238.99
6-Sep-13,281,281.8,270.9,276.35,277.35,2502019,6907.95
5-Sep-13,270.25,299.3,268.25,283.15,283.4,3236777,8981.55
4-Sep-13,261.7,269.3,258.75,265,264.95,1882267,4994.87
3-Sep-13,260.15,266.7,259,261,261.1,3933612,10313.3
2-Sep-13,253.8,259.4,252.7,257.1,258.05,1913808,4898.13
30-Aug-13,250.8,255.5,238.2,254.3,251.4,3474788,8589.99
29-Aug-13,255.1,258.85,248.05,250,250.3,4701564,11764.98
28-Aug-13,256.9,257.9,244.4,254.05,253.9,2763694,6956.13
27-Aug-13,268.5,269.65,255.1,261.25,260.3,1969084,5127.97
26-Aug-13,270,279.05,267.25,269.5,271.25,2376648,6541.79
23-Aug-13,267.85,272.85,265,269.85,269.75,2044341,5517.73
22-Aug-13,256.05,270.55,252.3,267.3,267.85,2482706,6492.98
21-Aug-13,263.9,265.1,256.05,257.3,260.45,2890647,7555.57
20-Aug-13,255.9,264.9,251.5,261.85,262.65,2242515,5770.75
19-Aug-13,256,258.95,250.3,258,257.05,1816295,4611.66
16-Aug-13,268.5,271.2,257.55,258.75,258.3,1845309,4837.08
14-Aug-13,269,272,268.15,270.5,270.75,1229805,3318.79
13-Aug-13,272.25,273.6,266.15,268.45,268.7,1223862,3287.04
12-Aug-13,273.65,278.2,268.75,273.5,274.35,1090893,2992.67
8-Aug-13,262,270.9,258,269.05,269.15,1880161,5005.86
7-Aug-13,255.1,267.8,252.3,262,262.5,1697887,4419.59
6-Aug-13,260.2,263,252.5,257.95,256.8,3768708,9697.87
5-Aug-13,249.5,270.45,248.25,264.85,263.1,5429449,14185.5
2-Aug-13,271,271.25,250.55,254.5,254.6,2608617,6703.03
1-Aug-13,280,286,268,268.95,270.1,2096002,5752.19
31-Jul-13,275.5,284.8,274,281.15,281.55,2161051,6062.19
30-Jul-13,272.5,277.15,270,276,274.8,2070660,5638.57
29-Jul-13,281.4,282,271.75,273.5,273.35,2076463,5734.58
26-Jul-13,295.9,295.9,276.35,282,282.25,3757318,10639.17
25-Jul-13,297,299.6,292,293.5,294.35,2350957,6929.71
24-Jul-13,297.9,302,295,298.75,298.35,1126011,3355.09
23-Jul-13,302,303.45,296.3,298.95,298.55,1800511,5399.8
22-Jul-13,295.6,301.6,294.7,300.1,300.2,1295646,3879.3
19-Jul-13,291.1,297.9,291.1,296.55,297,2723333,8046.21
18-Jul-13,290.5,294.15,286.8,291,291.1,1969919,5698.94
17-Jul-13,293.95,295.6,287.5,291.15,291.2,2254708,6549.87
16-Jul-13,289,295,287.7,294.8,294.45,1666772,4868.29
15-Jul-13,296.75,297.5,291.7,292.25,292.3,1176893,3463.75
12-Jul-13,300.1,300.9,293.55,300,299.95,2000153,5960.23
11-Jul-13,293,302.85,293,299,298.45,3410504,10175.62
10-Jul-13,291.5,292.25,288.1,290.2,289.9,1141011,3311.1
9-Jul-13,290,293,284.6,292,291.4,2174450,6268.61
8-Jul-13,295,295.95,284.3,290.4,290,2252731,6500.55
5-Jul-13,300.35,301.45,295.25,297.1,296.85,1361439,4044.79
4-Jul-13,300,302,295.5,300.2,299.5,830571,2474.05
3-Jul-13,297.8,299.8,292,299.05,297.4,2753000,8130.43
2-Jul-13,303.5,303.75,296.05,300,299.45,1901758,5691.64
1-Jul-13,303.9,308,303.15,303.55,305,1909587,5836
28-Jun-13,289.1,309.9,289.05,302.2,302.55,5272321,15917.95
27-Jun-13,290,291.5,285.2,287.65,287.3,2487855,7157.19
26-Jun-13,295,296.55,286.6,286.85,288.45,2881059,8451.89
25-Jun-13,297.1,301.5,291,291.95,294.2,3088565,9195.27
24-Jun-13,297,300.75,293,299,297,3581590,10592.32
21-Jun-13,296,300.6,293.4,298.1,298.6,3559191,10563.79
20-Jun-13,296.95,297.35,293.3,297,295.9,4313673,12726.15
19-Jun-13,302.1,303.7,297,299.95,299.55,4827143,14451.97
18-Jun-13,300.75,304.65,300.75,303,303.05,1833002,5547.89
17-Jun-13,303,303.5,296.45,302.25,301.9,2441271,7345.94
14-Jun-13,302.1,303,296.9,301,300.95,2962607,8890.18
13-Jun-13,300,302.7,295.6,299,298.9,2400040,7155.43
12-Jun-13,306,309.5,299.55,302.55,303.05,2536722,7686.15
11-Jun-13,319,319.25,307.5,309.5,311.9,3408678,10679.14
10-Jun-13,320.05,323.6,319.05,320.25,319.95,2130996,6825.25
7-Jun-13,320,323.5,318,320,319.7,2348565,7537.07
6-Jun-13,320,325.4,318.05,323,323.3,2308221,7430.98
5-Jun-13,323.15,325.05,319.1,324,323.55,1676990,5398.14
4-Jun-13,326,327.95,320,325.4,325,2561931,8316.18
3-Jun-13,325.25,330.7,323.5,326.1,326.15,1489728,4872.95
31-May-13,325.1,328,323,323.7,324.7,4512959,14703.11
