Date, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
21-Nov-13,148.95,149,144.5,146.3,145.3,6151415,9019.55
20-Nov-13,148,155.7,147.85,148.8,150.35,12060568,18451.45
19-Nov-13,148.4,152,148.2,149.55,149.55,7599913,11388.16
18-Nov-13,148.25,149.65,145.95,148.9,148.75,5565000,8230.87
14-Nov-13,144.15,147,143.5,145.5,145.3,5039827,7326.84
13-Nov-13,142.9,145.25,139.4,142.4,142.25,7555295,10776.36
12-Nov-13,148.1,152.25,143,143.3,144.1,9088637,13499.91
11-Nov-13,152.65,152.65,147.2,147.8,148.2,6086310,9092.12
8-Nov-13,149,153.8,146.25,152.5,152.6,8742281,13158.52
7-Nov-13,155.9,158,148.05,148.55,148.85,9754189,14916.8
6-Nov-13,161.5,164.35,155.15,155.7,155.9,8366444,13244.19
5-Nov-13,156,163.9,155,160.75,160.8,9687154,15551.25
3-Nov-13,158.75,159.65,156.6,157.05,157.45,1212393,1916.95
1-Nov-13,151.8,159.35,151.8,156.9,157.4,10468655,16401.37
31-Oct-13,147,152.65,145.1,151.95,151.65,10800714,16162.13
30-Oct-13,152.05,153.9,148.2,148.6,149.1,7682717,11626.51
29-Oct-13,146.65,151.5,142.75,150.85,150,10846594,16050.64
28-Oct-13,153.2,154.2,146,146.05,146.4,8070915,12059.44
25-Oct-13,160,160,151,151.6,151.45,7545239,11600.88
24-Oct-13,158,164.2,157.6,158.65,159.3,7398587,11916.54
23-Oct-13,165.2,166.3,155,159,158.8,9385581,15004.28
22-Oct-13,165,166.5,162.65,164.5,164.15,6071956,9987.06
21-Oct-13,160,167.4,160,166.65,166.5,10002799,16493.24
18-Oct-13,154.5,158.8,154.5,158.5,157.3,5622688,8804.15
17-Oct-13,154.5,156.8,151.6,153.25,153.3,7008923,10820.08
15-Oct-13,154.55,159.9,151.75,153.1,153.55,10202604,15867.23
14-Oct-13,154.65,156.5,150.8,153.55,153.8,7632837,11747.02
11-Oct-13,153,156.9,152.05,154.35,154.7,12206346,18866.69
10-Oct-13,147.9,151.75,147.05,149.1,149.45,11136317,16673.01
9-Oct-13,137.95,148.7,137.5,147.1,147.25,15038543,21729.98
8-Oct-13,140.9,143.35,137.75,138.15,138.8,9394423,13203.74
7-Oct-13,138.8,138.8,135.25,137.85,138.05,6896253,9460.7
4-Oct-13,137,142.65,136.3,139.15,139.3,13776138,19263.57
3-Oct-13,137.9,139.9,134.5,138.55,139.1,10128287,13977.61
1-Oct-13,128.55,137.4,127.15,137,136.9,15790898,21086.14
30-Sep-13,131,132.3,127.2,127.55,128.05,10470413,13532.45
27-Sep-13,136,138.35,131.25,131.55,131.85,12179949,16431.25
26-Sep-13,136.95,136.95,133.65,135.3,135.6,11180824,15144.01
25-Sep-13,141,142.5,135.35,136.4,136.65,11392802,15676.15
24-Sep-13,140.55,145.4,138.3,139.8,140.1,10695540,15126.71
23-Sep-13,148,149.4,140.05,140.85,141.65,12078884,17347.01
20-Sep-13,171.5,171.5,150.55,150.85,151.5,15858940,24886.29
19-Sep-13,167,173.9,167,171.2,171.4,9377392,16074.98
18-Sep-13,156,161.65,154.65,161.4,160.35,9220662,14614.16
17-Sep-13,153.5,154.7,149.7,153.7,153.85,5809508,8885.34
16-Sep-13,160,162.3,149,153.9,153.8,8975646,13968.87
13-Sep-13,147.95,157.5,146.1,156.9,156.85,11459158,17619.05
12-Sep-13,152,156.4,147.2,148.4,149.25,11155499,17003.75
11-Sep-13,141.9,152.25,141,151.3,150.65,10942435,16108.09
10-Sep-13,141,145.5,139.85,142.95,142.95,6934692,9899.05
6-Sep-13,139,141.55,134.7,137.4,137.9,8926272,12362.6
5-Sep-13,129.55,139.5,129.55,137.25,137.85,12493559,16953.79
4-Sep-13,125.4,129.4,121,126,126.55,14742587,18437.17
3-Sep-13,137,139.7,126.1,126.85,127.3,9900226,13277.23
2-Sep-13,130.65,138.15,130.4,137,136.65,7696052,10295.96
30-Aug-13,131.45,134.75,126.6,129.65,129.8,8747852,11430.79
29-Aug-13,134.1,135,127,131.2,131.4,8149178,10631.23
28-Aug-13,127.2,133,122.1,131.7,131.95,10862939,13874.31
27-Aug-13,135.75,135.75,129.3,129.75,130.15,10565942,13975.8
26-Aug-13,138,141,134.2,136.35,137.05,12101969,16602.66
