"","asian.paints","bharati.airtel","bhel","cipla","coal.india","dlf","dr.reddys","gail","hcl.tech","hdfc.bank","hero.motor","icici.bank","itc","jindal.steel","lt","mahindra","maruti.suzuki","ongc","pnb","ranbaxy","sbi","tata.motors","tata.steel","tcs","ultratech.cements"
"asian.paints",1,0.122956042182268,0.0686820707271217,0.0488033338787345,-0.0193384121234354,0.118607112422069,0.0946044405190852,0.155429815923851,-0.0250346013650117,0.052800757055052,0.0691942991427486,0.0156847643236345,0.0954792728501071,-0.0354110125903647,-0.0169781567911943,0.0108781326542519,0.026786875350452,0.200018996510842,0.0853668840037753,0.108192787625457,0.0351008504546646,0.122964312234153,0.0867718742205324,-0.0193670004455452,0.0296559559116104
"bharati.airtel",0.122956042182268,1,0.322642437721832,0.208912288115619,0.173396317269723,0.28573143252755,0.269008466349583,0.254041541161923,0.0318072688178419,0.345237874117384,0.314096817327053,0.427077334432682,0.421066366044993,0.253109100596263,0.147074319423659,0.385257613122307,0.236417340175114,0.471054190898832,0.3321921450014,0.204705505261011,0.316584598146507,0.363189725622084,0.340644967529942,0.120358943934493,0.327620671236225
"bhel",0.0686820707271217,0.322642437721832,1,0.227737744464545,0.221223780405618,0.332210250417926,0.291898175353003,0.17949888371723,0.0283300679551951,0.39064815890347,0.175116963947577,0.371188727007942,0.247505863329107,0.210948504542049,0.241931083510234,0.263149395191115,0.232089128072504,0.395386762893354,0.34747964515313,0.268777913467051,0.382357649065753,0.272000393490044,0.371517300395023,0.0747310616831484,0.223730377777004
"cipla",0.0488033338787345,0.208912288115619,0.227737744464545,1,0.0913146170864607,0.270602007262341,0.338988321456052,0.249360546507741,0.100830542683573,0.234347281169355,0.258447654703367,0.289881502387694,0.2014955579022,0.0660296748555188,0.19217739745752,0.132176747324326,0.263785340606877,0.236928065475278,0.241619674635004,0.346972221196731,0.232727057041492,0.166542295240024,0.234679731843628,0.135813117046547,0.304018142635182
"coal.india",-0.0193384121234354,0.173396317269723,0.221223780405618,0.0913146170864607,1,0.198623019811623,0.206072204598267,0.190222555185191,0.0162844836611348,0.268231998478967,0.111198732303885,0.24914827737763,0.201039629566997,0.242596107550367,0.0153281931961621,0.291094015274068,0.221142637324541,0.285934912164077,0.320813609069442,0.105292364583287,0.22639589862712,0.194382332874699,0.356308555957083,0.068910531717663,0.179599487643487
"dlf",0.118607112422069,0.28573143252755,0.332210250417926,0.270602007262341,0.198623019811623,1,0.195480619369248,0.258329306430496,-0.0360435624999493,0.525420621988798,0.273993127622723,0.543784885082945,0.283392228868385,0.334155670215339,0.267903753890962,0.302562836968761,0.367753167633993,0.385782777305331,0.639904791388821,0.291380573701474,0.560340081792412,0.302814436611314,0.50305101949091,0.0562397284035091,0.325950920697275
"dr.reddys",0.0946044405190852,0.269008466349583,0.291898175353003,0.338988321456052,0.206072204598267,0.195480619369248,1,0.174252743237891,0.100990930642615,0.255727168849265,0.19053761069484,0.261766997436691,0.238515540469846,0.0526804892705633,0.075566575650047,0.207784828523229,0.218174036021186,0.277808021576024,0.179483363594019,0.282663298231017,0.242025889572157,0.163648279115528,0.278573114454376,0.21136394157025,0.134688375448995
"gail",0.155429815923851,0.254041541161923,0.17949888371723,0.249360546507741,0.190222555185191,0.258329306430496,0.174252743237891,1,0.00705662610994506,0.285900337158464,0.148872066465063,0.298414031848353,0.227699275659278,0.188962320700971,0.118518957365568,0.210274934603647,0.321315809947861,0.302617734817794,0.369825553194633,0.124334233235454,0.316273840999768,0.291924258340986,0.28291247892479,0.13561988312218,0.297907021743792
"hcl.tech",-0.0250346013650117,0.0318072688178419,0.0283300679551951,0.100830542683573,0.0162844836611348,-0.0360435624999493,0.100990930642615,0.00705662610994506,1,0.0634554558704653,0.166922567135448,0.0678277695795474,0.139865713409675,0.116854512676209,0.0649292617021719,0.12900884776858,-0.00868113395490577,0.00591809765634223,0.0297765072361551,0.198799158012326,-0.030339511394769,0.173742674545364,0.117641643032317,0.57134511700594,0.156353968481487
"hdfc.bank",0.052800757055052,0.345237874117384,0.39064815890347,0.234347281169355,0.268231998478967,0.525420621988798,0.255727168849265,0.285900337158464,0.0634554558704653,1,0.361698595602687,0.654411606368252,0.436574879918299,0.330924925622226,0.231216435855088,0.39116031293652,0.458618800982508,0.4584063743631,0.55084383791458,0.10911746377223,0.532045834165994,0.374201814515171,0.386165873153811,0.199021041921976,0.376573926870006
"hero.motor",0.0691942991427486,0.314096817327053,0.175116963947577,0.258447654703367,0.111198732303885,0.273993127622723,0.19053761069484,0.148872066465063,0.166922567135448,0.361698595602687,1,0.302512232381222,0.317488560345859,0.115142452636963,0.108618120189015,0.240281358739616,0.285521751198088,0.217202400115618,0.342698855811206,0.0796825248926525,0.231871188364812,0.303924307415862,0.251101246739861,0.20103729339792,0.167285034760211
