Date, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
21-Nov-13,2426,2447.75,2390,2415.6,2409.55,145041,3495.32
20-Nov-13,2434.55,2461.55,2416.5,2421,2426.2,227466,5536.49
19-Nov-13,2470,2480.45,2432.35,2450,2451.85,166836,4083.4
18-Nov-13,2487,2487.15,2432,2465.5,2466.6,255826,6292.81
14-Nov-13,2465,2484,2445.55,2461.5,2461.6,124272,3066.76
13-Nov-13,2471,2490,2440.05,2470,2470.05,199328,4926.19
12-Nov-13,2488.8,2488.8,2455.3,2472,2470,259959,6420.53
11-Nov-13,2406,2480,2406,2470,2470.65,280269,6864.25
8-Nov-13,2410,2435.55,2393.6,2395.35,2402.3,169617,4093.43
7-Nov-13,2415,2422.7,2382,2415,2410.8,265935,6394.44
6-Nov-13,2410,2425,2377.1,2400,2397.7,203325,4886.9
5-Nov-13,2485,2487.05,2400.05,2406.25,2406.3,269502,6533.73
3-Nov-13,2478,2492.5,2464,2485,2481.4,39389,976.44
1-Nov-13,2456,2489.95,2443,2469,2471.3,447409,11039.1
31-Oct-13,2529,2545.15,2431,2435,2456.4,1432818,35590.38
30-Oct-13,2436,2544.6,2434,2531,2523.15,602479,15088
29-Oct-13,2405.9,2438.9,2404.05,2434,2429.35,568355,13770.83
28-Oct-13,2411.6,2428,2389,2402.6,2400,149803,3599.03
25-Oct-13,2394,2416.4,2371.35,2400,2405.5,241908,5791.51
24-Oct-13,2405,2419,2354,2395,2391.65,290374,6921.95
23-Oct-13,2424,2440.7,2366.6,2400,2399.65,235714,5639.31
22-Oct-13,2415,2459,2415,2429.4,2430.9,220683,5371.79
21-Oct-13,2461.25,2484,2427.35,2443.4,2440.7,279229,6831.89
18-Oct-13,2425,2473,2415.75,2453.85,2459.95,344209,8463.21
17-Oct-13,2385,2430,2385,2413,2410.6,159466,3853.53
15-Oct-13,2440,2444.8,2397.4,2413.05,2410.35,263089,6353.15
14-Oct-13,2409,2445.95,2402,2421,2421.35,234891,5705.34
11-Oct-13,2410,2419.4,2383.4,2410,2401.95,113414,2728.32
10-Oct-13,2405,2423.7,2391.1,2393,2396.6,238424,5730.9
9-Oct-13,2384,2435.25,2371.5,2410,2404.4,210668,5078.64
8-Oct-13,2391,2419.75,2385,2389,2392.8,172879,4147.58
7-Oct-13,2374,2398,2368,2386,2385.65,153131,3651.04
4-Oct-13,2425,2430,2361.05,2369.85,2371.7,290907,6957.94
3-Oct-13,2405,2449.9,2399.1,2427.5,2429.75,254677,6197.54
1-Oct-13,2372.95,2429,2372.95,2411,2407.65,295662,7132.26
30-Sep-13,2398,2420.6,2367.05,2371.85,2381.15,184831,4419.2
27-Sep-13,2450.1,2453,2405.1,2412,2412.2,217054,5258.88
26-Sep-13,2430.05,2474.4,2417,2462.95,2457.05,320429,7845.06
25-Sep-13,2380,2445,2369,2441,2429.1,408283,9860.56
24-Sep-13,2377,2419.5,2373,2380,2394.9,402170,9649.64
23-Sep-13,2335,2397,2319,2396,2378.9,283806,6683.95
20-Sep-13,2360.65,2405,2345,2351.7,2366.25,249650,5932.32
19-Sep-13,2383,2400,2337,2371,2377.75,281410,6658.99
18-Sep-13,2320,2366.9,2319.9,2359.2,2353.45,342567,8034.11
17-Sep-13,2232,2325.9,2232,2299,2304.45,297319,6839.84
16-Sep-13,2265,2296.3,2208.5,2224.95,2224.05,175113,3946.43
13-Sep-13,2249.05,2272.9,2232,2258,2249.3,128235,2891.71
12-Sep-13,2267,2288.5,2210,2250,2246.7,254216,5755.11
11-Sep-13,2266,2283.85,2245,2250,2250.05,243438,5486.2
10-Sep-13,2290.1,2306.85,2257.25,2265,2266.4,369579,8386.94
6-Sep-13,2271,2345,2263.35,2280,2284.65,319797,7413.58
5-Sep-13,2287,2334.5,2280,2289,2294.1,237720,5488.48
4-Sep-13,2207,2299,2206.6,2290,2274.95,253044,5730.11
3-Sep-13,2285.6,2296.85,2194.2,2213.65,2206.6,274385,6143.25
2-Sep-13,2271.6,2311,2265.6,2290,2283.2,191118,4370.96
30-Aug-13,2236,2367,2211.65,2300,2292.9,334657,7569.9
29-Aug-13,2197,2274.55,2163,2253,2258.45,459180,10292.57
28-Aug-13,2125,2191.2,2125,2183,2171.8,354203,7701.25
27-Aug-13,2140,2199,2120.2,2171.95,2167.45,283116,6128
26-Aug-13,2123,2188,2120,2150,2150.85,287498,6217.48
23-Aug-13,2103,2131.95,2062.2,2123,2119.75,274211,5753.03
22-Aug-13,2046.6,2120,2046.6,2119.9,2108.55,248498,5189.97
21-Aug-13,2135.05,2135.9,2027,2060,2046.6,441611,9195.32
20-Aug-13,2085.15,2164.8,2085.15,2130,2138.75,322964,6908.5
19-Aug-13,2150,2187.9,2132,2140,2141.1,212585,4575.66
16-Aug-13,2192,2215.25,2150.1,2174,2166.15,456542,9971.61
14-Aug-13,2220,2241.8,2200,2208,2211.1,329020,7279.84
13-Aug-13,2180.4,2246,2161.75,2238.95,2238.25,363898,8061.12
12-Aug-13,2235,2235.05,2157.55,2200.1,2181.15,553674,12064.84
8-Aug-13,2249,2249,2202.15,2225.9,2224,219845,4883.48
7-Aug-13,2205,2262,2175.55,2251.95,2254.65,267333,5948.85
6-Aug-13,2200,2232,2188.4,2188.4,2198.2,185211,4088.86
5-Aug-13,2244.8,2264,2201.45,2212.95,2209.95,246328,5508.93
2-Aug-13,2275,2275,2213.25,2240,2238.7,429804,9596.32
1-Aug-13,2300,2329,2236.1,2277.6,2278.45,621878,14053.39
31-Jul-13,2150.05,2294.35,2135.8,2279,2281.2,605278,13563.33
30-Jul-13,2225,2260,2145.6,2169.9,2177.25,1015472,22269.22
29-Jul-13,2283,2294.15,2205.1,2213.95,2217.7,260041,5836.22
26-Jul-13,2340,2340,2258,2291.4,2294.45,147042,3370.93
25-Jul-13,2368,2385.9,2306.5,2330,2317.95,369358,8662.03
24-Jul-13,2370,2393.95,2330.25,2344.65,2346.2,297654,7038
23-Jul-13,2321,2374.8,2321,2374.8,2361.25,418045,9842.3
22-Jul-13,2346,2365.2,2307.7,2309,2319.45,607394,14113
19-Jul-13,2340,2365,2321.4,2350.1,2346.1,229774,5380.97
18-Jul-13,2332,2347.35,2312.3,2339.35,2339.5,604164,14134.58
17-Jul-13,2298.5,2333,2295,2310,2311.15,517584,12001.81
16-Jul-13,2312,2355.55,2265.15,2284.75,2278.4,785705,18046.74
15-Jul-13,2340,2404.8,2328,2338,2347.65,316518,7524.33
12-Jul-13,2300.75,2358.7,2254,2352,2349.45,397780,9239.56
11-Jul-13,2261,2306.15,2261,2296,2295.85,252961,5801.19
10-Jul-13,2294.2,2297,2246.1,2260,2261.5,229049,5208.78
9-Jul-13,2260,2291,2233.1,2286,2284.2,167535,3798.76
8-Jul-13,2216,2268.15,2208.7,2250.1,2248.75,235203,5298.56
5-Jul-13,2250,2250,2221.25,2235,2238.85,224376,5023.22
4-Jul-13,2249,2249,2202.65,2226.5,2222.8,274002,6091.44
3-Jul-13,2246,2260,2154.8,2221,2210.85,363693,8029.86
2-Jul-13,2263,2288.55,2240.6,2265,2263.4,272890,6191.17
