Date, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
21-Nov-13,325.15,328.95,318.7,320,321.55,805532,2621.83
20-Nov-13,327.7,331.25,322.75,325,325.15,672480,2195.71
19-Nov-13,323.7,328.55,322.2,326.45,327.4,1007012,3291.03
18-Nov-13,323.1,323.25,318,323.25,321.25,1015190,3255.14
14-Nov-13,325.1,327.7,319.4,320.2,320.15,888664,2872.24
13-Nov-13,327.15,331.75,322,323.5,322.75,779807,2536.92
12-Nov-13,335,337.45,330,332.4,331.7,475518,1582.53
11-Nov-13,339,339.55,333.25,335.35,336.35,871566,2927.57
8-Nov-13,340.9,342.25,332.6,340.7,339.5,592841,1996.56
7-Nov-13,343.15,346.4,339.4,341.95,340.6,1181658,4052.82
6-Nov-13,346.25,348.15,342.5,347,345.15,918219,3166.75
5-Nov-13,348.6,350.25,343.05,345.45,345.8,546628,1894.37
3-Nov-13,351.5,352.1,348.5,350,350.85,40525,142.23
1-Nov-13,350,352.9,346.85,350.95,351,595394,2086.63
31-Oct-13,345.15,358.75,339.1,352.7,353.6,1509566,5281.79
30-Oct-13,347.9,350.6,343.6,344.6,345,532815,1845.65
29-Oct-13,345,348,342.05,348,344.75,1075675,3707.15
28-Oct-13,351.05,351.2,342,345,344.85,791770,2743.15
25-Oct-13,350,350,341.4,341.85,343.6,803442,2776.01
24-Oct-13,350,353.5,347.1,352.4,352,1940055,6791.97
23-Oct-13,340,350.7,340,346.95,347,2504095,8661.68
22-Oct-13,326.5,334.8,326.5,334.45,333.85,1191572,3950.21
21-Oct-13,330.7,331.2,325.6,328,327.8,535019,1757.97
18-Oct-13,326,330,324.65,326.9,327.2,604766,1979.62
17-Oct-13,327.95,329.4,323.25,324.75,325.35,443344,1447.63
15-Oct-13,331,333.85,323.2,325.2,325.7,569634,1865.79
14-Oct-13,335.25,337,329.1,329.1,330.1,490436,1627.36
11-Oct-13,337,338.95,332,336.5,336.3,939181,3159.98
10-Oct-13,334,336,329.55,332,331.5,595296,1974.82
9-Oct-13,330.8,336,329.9,333.6,334.5,560600,1869.43
8-Oct-13,336,338,332,333,333.8,810485,2712.01
