Date, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
21-Nov-13,1092.4,1097.5,1057.75,1061.2,1061.9,760259,8169.06
20-Nov-13,1109.5,1115.55,1082.55,1088,1086.9,538302,5915.47
19-Nov-13,1103.5,1114,1098.5,1100,1102.7,986307,10899.39
18-Nov-13,1073.75,1114.35,1068.7,1095.8,1096.3,981267,10765.52
14-Nov-13,1089.35,1103.75,1077.55,1088.9,1084.6,645158,7001.21
13-Nov-13,1090,1112,1090,1096,1096.15,763673,8419.14
12-Nov-13,1106,1120.5,1093.3,1094.95,1097.4,1128192,12485.17
11-Nov-13,1115,1137.9,1096.7,1104.6,1102,840148,9396.39
8-Nov-13,1102.5,1132.5,1100.25,1110,1114.3,1148577,12886.97
7-Nov-13,1093.9,1123.4,1090.4,1105,1103.1,993212,10988.19
6-Nov-13,1101,1111.7,1078.9,1085.05,1083.05,1019628,11148.44
5-Nov-13,1092.1,1109.8,1082.05,1101,1101,792787,8684.71
3-Nov-13,1098.35,1106.95,1095,1104.5,1100.3,49578,545.14
1-Nov-13,1096.75,1119.9,1096.1,1098,1103.1,1303114,14429.04
31-Oct-13,1096,1111.6,1086.15,1093,1095.35,1873622,20576.35
30-Oct-13,1084,1094.4,1064.1,1085,1085.95,927366,10029.85
29-Oct-13,1065.1,1084.8,1064.8,1084,1080.6,1130903,12173.52
28-Oct-13,1071,1084.3,1058,1064.1,1062.85,884909,9428.17
25-Oct-13,1044.9,1087.9,1042.35,1080.8,1078.75,1527480,16465.37
24-Oct-13,1101,1110,1049,1055.4,1054.65,1802612,19389.56
23-Oct-13,1119.8,1119.9,1075.1,1103,1106.65,1005364,11026.18
22-Oct-13,1096.5,1116.5,1085.3,1113.6,1108.9,1268255,14009.76
21-Oct-13,1106,1114.2,1052.3,1084.05,1084.1,2245369,24212.72
18-Oct-13,1083,1109.4,1071.1,1100.6,1102.6,1955024,21392.95
17-Oct-13,1165,1168.3,1077.05,1078.85,1083.05,4030402,45149.1
15-Oct-13,1176,1178.45,1156.75,1158,1161.15,1394835,16237.91
14-Oct-13,1165,1168,1155.2,1160,1159.85,1604851,18657.48
11-Oct-13,1135,1168.4,1118.5,1157,1157.45,2733746,31656.44
10-Oct-13,1111.8,1130,1111.8,1118.5,1117.65,1451705,16264.22
9-Oct-13,1106.1,1124,1100.55,1111.05,1111.8,1281639,14302.91
8-Oct-13,1119.95,1119.95,1103.4,1105,1106.65,636196,7059.61
7-Oct-13,1100.3,1129.55,1100,1118,1119.35,1473926,16507.35
4-Oct-13,1101.25,1119.5,1092.4,1096.25,1096.8,1349361,14915.31
3-Oct-13,1080,1115.75,1075,1106,1104.6,2071978,22914.1
1-Oct-13,1085.5,1090,1063.85,1072.3,1071.1,512936,5509.26
30-Sep-13,1075.9,1104,1072,1081.95,1087.2,1313589,14311.38
27-Sep-13,1049.4,1084,1045,1077.5,1072.75,1003658,10757.45
26-Sep-13,1065.55,1069.4,1044.2,1053,1052.25,1595110,16799.75
25-Sep-13,1075.05,1080.95,1053.6,1059.1,1063,1253929,13319.97
24-Sep-13,1084.6,1103.95,1068.55,1071.75,1072.6,1431371,15470.43
23-Sep-13,1056.5,1099.25,1056.5,1092.05,1091,1499327,16314.81
20-Sep-13,1039.8,1067.6,1029.6,1061.4,1061.8,1033412,10888.01
19-Sep-13,1029,1037.85,996.1,1022,1024,1311870,13445.16
18-Sep-13,1050,1050,1018.35,1033,1028.8,931494,9581.16
17-Sep-13,1001.25,1039.8,1001,1038.2,1037.15,906401,9282.71
16-Sep-13,1052.85,1054,984.25,994,996.4,2511567,25217.58
13-Sep-13,1074.35,1080.1,1038.35,1046,1045.75,1572577,16505.92
12-Sep-13,1075.5,1081.85,1055.1,1073,1074.35,1443316,15488.65
11-Sep-13,1069.95,1081.25,1051.5,1061.85,1066.55,1044213,11169.61
10-Sep-13,1014,1072.95,1011.2,1060,1062.65,2002940,21155.44
6-Sep-13,1016,1041.35,1003.1,1013.45,1016.95,1370347,13998.38
5-Sep-13,1042.2,1044.7,1011.1,1018.95,1019.9,1442083,14743.23
4-Sep-13,1024.8,1050.85,1015,1043,1039.3,1747035,18135.01
3-Sep-13,1040,1046.8,1020,1022,1023.85,1179563,12143.67
2-Sep-13,1030,1050,1030,1039,1038.35,982840,10236.99
30-Aug-13,1011.6,1044.9,1009.9,1044.9,1040.45,1512262,15617.12
29-Aug-13,981,1026.15,970.35,1014,1017.65,2314667,23193.54
28-Aug-13,943,984.9,942.85,981.95,980.15,1640398,15819.75
27-Aug-13,940,960.95,940,945,947.7,789794,7520.69
26-Aug-13,940.65,966.5,938.6,944.95,944.55,1298076,12390.83
23-Aug-13,901.05,953,898.6,948,946.35,1975557,18333.89
22-Aug-13,882.1,906.65,871.7,899,902.35,1183499,10524.96
21-Aug-13,893.65,913.8,881.3,882.35,885.9,1303381,11630.09
20-Aug-13,934.4,934.4,892.65,894.05,899.15,1297754,11783.87
19-Aug-13,929,937.45,914.75,935,931.45,1489812,13867.88
16-Aug-13,919,940.95,906,922.05,921,2100346,19437.78
14-Aug-13,944.95,946.9,912.85,920,920.2,1474378,13689.11
13-Aug-13,938,951.7,935,941.75,940.6,931326,8766.03
12-Aug-13,914,936,903.05,933,933.35,1147861,10597.8
8-Aug-13,898,910.35,883.5,905.7,905.9,1326896,11936.76
7-Aug-13,952,956,898.85,900.3,906.6,1415259,13226.5
6-Aug-13,949,960,940.05,945,944.45,942372,8955.55
5-Aug-13,936.25,961,936.25,948.5,949.65,1000994,9529.98
2-Aug-13,933,949.45,926.4,935,935.95,1382180,13025.78
1-Aug-13,951,951.5,926.55,930,930.7,1590949,14924.06
31-Jul-13,918,949.9,877,939.5,937.55,4041843,37265.8
30-Jul-13,907,914.95,902,911,905.65,1555574,14106.58
29-Jul-13,905,907.7,892.35,898,896.8,956884,8605.15
26-Jul-13,909.6,918.9,901.8,903.05,903.8,1323859,12022.72
25-Jul-13,900,912.9,893,903,902.4,1060861,9576.12
24-Jul-13,894.6,907.95,890.05,896,900.1,772517,6965.47
23-Jul-13,891.25,905.85,891.25,895.25,900.45,1232825,11113.13
22-Jul-13,895,899.5,876.85,890,890.25,962916,8594.7
19-Jul-13,866.8,906.9,866.8,888.35,892.25,2384270,21336.75
18-Jul-13,878.9,878.9,855.5,859.9,858.85,1060572,9138.85
17-Jul-13,873.4,888.7,873.3,874.1,875.25,830378,7301.31
16-Jul-13,864,884.9,862.5,876,877,774531,6801.77
15-Jul-13,860.5,882.95,860.5,875,875.25,946621,8284.1
12-Jul-13,850,865.25,847.35,864.6,862.6,1213407,10405.9
11-Jul-13,842,849,832.4,841.05,840.65,873253,7338.79
10-Jul-13,822.75,844,822,841.5,839.6,1031798,8587.29
9-Jul-13,816.5,828.15,815,822.5,822.75,878454,7230.21
8-Jul-13,802.7,821.6,799.05,820.05,818.8,1147819,9331.7
5-Jul-13,801.1,807,792.2,792.6,795.65,722626,5780.45
4-Jul-13,766.05,802,766.05,798,799.75,1720930,13621.34
3-Jul-13,762.05,776,756.65,770,767.7,816720,6281.39
2-Jul-13,762,772.7,760,766.95,766.1,615974,4723.48
1-Jul-13,779.9,779.9,755.8,761,758.4,685642,5249.38
28-Jun-13,800,800,769.9,773.05,776,1642080,12772.22
27-Jun-13,774.95,800,772.6,794,795.4,1924235,15180.95
26-Jun-13,753,772,745,771.25,767.05,878236,6662.92
25-Jun-13,758,767,745,752.15,751.05,855649,6454.12
24-Jun-13,761,767.3,754.35,759,760.75,866165,6593.9
21-Jun-13,760,766.4,750,759.45,758.75,749098,5673.51
20-Jun-13,777,777,758.5,760,759.85,788105,6045.1
19-Jun-13,780,782.75,776.1,780,779.75,1007598,7857.64
18-Jun-13,776.7,781.6,771.45,778.1,779.8,991275,7696.48
17-Jun-13,762,778.9,756.55,774.7,776.3,1062185,8185.08
14-Jun-13,764.8,766.45,749.05,765.2,763.7,958202,7269.78
13-Jun-13,764.9,766.75,752.75,757.25,757.55,1597936,12143.88
12-Jun-13,753.9,769.7,752.5,764,763.65,1122520,8568.03
11-Jun-13,756.2,772.7,750,751.35,755.7,1590750,12178.45
10-Jun-13,749,756.45,745.25,756.45,753.45,1855573,13957.86
7-Jun-13,741,753.9,741,743.1,744.2,928340,6950.05
6-Jun-13,723,749.5,721,746.5,747.65,845536,6254.9
5-Jun-13,738.85,738.85,721.2,727.8,726.8,459801,3341.01
4-Jun-13,746,746,731.5,734.1,735.6,487082,3590.76
3-Jun-13,751.7,751.7,735.1,742.15,742.15,712247,5283.94
31-May-13,746,751.4,740.05,746.8,744.85,1262812,9445.27
30-May-13,745.95,751.3,735.3,745.4,742,1069342,7966.16
29-May-13,747.5,759.8,744.65,745.5,747.5,1067533,8024.71
28-May-13,745.75,747,736.2,745.25,744.85,725287,5386.89
27-May-13,736.25,749.4,732.15,741,741.7,644226,4778.1
24-May-13,738.3,747.95,731,740.05,737.55,727613,5376.12
23-May-13,748,750.95,731,738,736.85,1205252,8957.9
22-May-13,739,753,738,745,743.65,1086894,8120.91
21-May-13,732,743.45,730.3,737.55,736.65,1055595,7789.43
20-May-13,722.1,734.9,720.25,729.6,727.8,816371,5948.25
17-May-13,739.4,749.4,716.65,721,719.95,1600897,11658.3
16-May-13,747.8,749.15,735,739.4,738.9,874126,6478.94
15-May-13,746.05,755,739,745.35,745.55,1658584,12389.23
14-May-13,762,764.5,736.1,743.85,745.1,1445969,10763.36
13-May-13,776.5,776.7,753.85,758.4,758.4,935259,7126.27
11-May-13,774.9,775.8,765,774.15,772.65,64730,499.95
10-May-13,773.5,780.9,771,774,774.9,1464299,11359.03
9-May-13,754.5,783.6,753,770,770.15,2182257,16897.92
8-May-13,755,759.4,749.25,750.9,751.6,1130219,8512.79
7-May-13,755,760,743.4,751.75,753.5,1776141,13360.53
6-May-13,753,769,748,749.9,750,1711754,12891.42
3-May-13,741,756.7,740,752,750.45,2395520,17959.95
2-May-13,721.45,751.2,721.4,746.1,735.75,3370906,24693.2
30-Apr-13,699.25,724.4,699.25,720,721.4,1846744,13175.15
29-Apr-13,683.05,702.85,672.95,701.35,700.8,1835244,12776.3
26-Apr-13,717.3,717.3,677.65,681.6,684.25,3664815,25273.29
25-Apr-13,735,735,714.35,715.4,719.05,1995564,14386.42
23-Apr-13,724.8,737.75,721.6,732,732.15,2229942,16291.38
22-Apr-13,740,744,716.25,720.4,721.15,2910250,21042.25
18-Apr-13,756.8,768,730.65,736.5,736.25,2391397,17855.09
17-Apr-13,805.2,810,745.05,751,751.3,7055587,54099.89
16-Apr-13,759.9,770.45,757.7,762.4,762.8,1834885,13995.55
15-Apr-13,775,784,763.25,765,764.95,2456158,18991.52
12-Apr-13,759,781.3,758.75,777,776.1,2399304,18550.49
11-Apr-13,769.8,793.7,767,791,790.05,1308137,10232.32
10-Apr-13,742,771.75,736.5,768.1,765,949120,7141.75
9-Apr-13,751.25,754.8,738.6,739.95,740.5,1126891,8442.37
8-Apr-13,756.95,767,741.1,749,745.35,752715,5638.85
5-Apr-13,742.25,764.8,742.25,758.1,756.95,1335858,10101.15
4-Apr-13,774.9,776.6,739.3,745.5,743.25,1643886,12386.54
3-Apr-13,801,807.25,776.6,777,780.55,1045726,8264.38
2-Apr-13,792.75,798.8,787.4,798.35,795.85,748194,5944.26
1-Apr-13,795.05,800,782.25,788.5,788.5,405148,3203.04
28-Mar-13,790.5,805,780,800,795,6117209,48432.4
26-Mar-13,769.65,778.9,768.1,775.3,775.4,896648,6960.69
25-Mar-13,771,772.55,760,770,767.1,1304014,9985.24
22-Mar-13,768.3,775.9,763.15,766,767.95,1129147,8680.63
21-Mar-13,774.5,784.1,771,773.7,773.1,1153005,8940.32
20-Mar-13,781.1,784.3,769.1,776.8,774.2,2500629,19409.33
19-Mar-13,800.65,801.9,780.35,780.5,781.55,1624341,12772.43
18-Mar-13,787.2,805.5,786.05,802.85,802.05,1483698,11863.16
15-Mar-13,793,803.4,790.3,793,791.95,1321427,10517.12
14-Mar-13,780,796.1,773.15,790.8,791.55,1390839,10918.7
13-Mar-13,770,783.6,769.35,779,778.6,1527275,11894.59
12-Mar-13,780.4,781.5,766.7,773.5,773.45,1180544,9124.09
11-Mar-13,771.05,785.9,771.05,782,782.9,2533263,19794.75
8-Mar-13,773.05,782.95,767.6,773.95,773.15,3180972,24597.45
7-Mar-13,755.55,773.95,755.55,773.15,771.4,1972313,15146.6
6-Mar-13,748,757.95,746.6,757.95,756.3,1046494,7888.52
5-Mar-13,715.05,748.8,715.05,746.1,745.65,1991012,14744.65
