Date, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
21-Nov-13,2004,2026.8,1990,1998.65,1996.75,328115,6583.9
20-Nov-13,2064.8,2064.9,2002,2021.55,2012.5,240399,4906.28
19-Nov-13,2050,2070,2050,2060,2059.85,368385,7589.66
18-Nov-13,2068,2069,2042.5,2049,2055.15,376242,7728.94
14-Nov-13,2012,2059,2000.55,2049,2049.05,151017,3090.36
13-Nov-13,2036,2054.95,1998,2000,2001.6,238186,4788.28
12-Nov-13,2050,2056.6,2026.8,2049.95,2035.95,200194,4090
11-Nov-13,2072,2100,2035,2051,2054.3,289656,5950.81
8-Nov-13,2114.7,2114.7,2078.05,2094.7,2092.5,350022,7327.85
7-Nov-13,2107.5,2133,2090,2106.35,2112.7,217893,4614.78
6-Nov-13,2094.25,2131,2080,2105,2107,228990,4835.96
5-Nov-13,2118,2121,2064,2090.1,2093.25,191658,4008.08
3-Nov-13,2118,2130.95,2106.1,2112.9,2111.15,31215,660.39
1-Nov-13,2082,2150,2082,2103,2101.6,565276,11994.48
31-Oct-13,2065.05,2092.6,2062.55,2073,2078.4,369347,7671.06
30-Oct-13,2065,2079.6,2043.65,2075,2075.1,194154,4016.01
29-Oct-13,2000,2082,1991,2060,2061.95,304271,6209.73
28-Oct-13,2040.1,2061.95,1994.15,2009.9,2002.55,189905,3854.04
25-Oct-13,2084.65,2094.8,2020.85,2030,2035.4,244819,5005.97
24-Oct-13,2070.15,2130,2070.15,2085.05,2082.45,457575,9582.28
23-Oct-13,2071,2105.35,2035.7,2084.65,2084.85,455285,9435.17
22-Oct-13,2092,2098.9,2055,2070,2066.9,162911,3369.3
21-Oct-13,2102.95,2115.05,2090.2,2099,2099.8,383701,8073.65
18-Oct-13,2076.3,2115,2065.55,2095,2097.1,453091,9512.09
17-Oct-13,2053.25,2085,2051.1,2068.7,2073.05,317648,6592.03
15-Oct-13,2104.95,2116.95,2010.6,2045,2051.05,299053,6184.08
14-Oct-13,2074.9,2108.5,2060.7,2100.05,2097.1,355570,7433.65
11-Oct-13,2060,2085,2050,2080,2078.8,207821,4301.76
10-Oct-13,2070.25,2090,2038.05,2044,2048.9,279505,5779.68
9-Oct-13,2001.05,2070,2001.05,2065.2,2061,263423,5363.46
8-Oct-13,2047.95,2062.6,2014,2028,2020.55,183168,3724.91
7-Oct-13,2020,2066.4,2010,2038.7,2040.8,231408,4720.25
4-Oct-13,2042.95,2059.9,2020.05,2030,2033.2,292219,5957.07
3-Oct-13,2019.9,2054.9,2006.3,2027,2030.5,251951,5118.48
1-Oct-13,2030,2031.35,1980.15,2001,1999.1,415029,8286.32
30-Sep-13,2032,2047.65,1968,2018,2009.25,272549,5474.86
27-Sep-13,2000.05,2073.9,2000.05,2041.05,2048.05,347002,7133.16
26-Sep-13,2045,2045,1998.85,2007,2019.8,441358,8919.99
25-Sep-13,2003,2044,1995.15,2031.1,2036.1,240581,4876.04
24-Sep-13,2006,2015,1965.75,2008.1,2002.9,267567,5346.49
23-Sep-13,1974,2020.15,1965.1,2007,1999.2,281519,5633.69
20-Sep-13,2043.95,2043.95,1952.3,1984.95,1981.65,747314,14788.99
19-Sep-13,2052,2084.3,2033.95,2040,2039.55,528750,10852.16
18-Sep-13,2069,2093,2005.3,2012,2013.7,349023,7120.36
17-Sep-13,2085,2096,2054.25,2070,2073.15,224807,4657.93
16-Sep-13,2075,2127.8,2053.15,2100.8,2098.35,382676,8051.95
13-Sep-13,2047.4,2076.95,2010,2047.9,2051.7,416771,8556.66
12-Sep-13,2078,2099,2004,2010,2010.1,277775,5643.37
11-Sep-13,2049,2130,2048,2088.05,2090.35,365589,7662.33
10-Sep-13,1935,2099,1935,2069,2073.05,528164,10711.38
6-Sep-13,1954.85,1967.15,1902,1930.1,1930.25,262466,5051.3
5-Sep-13,1945,1984.95,1937.8,1940,1953.65,170626,3344
4-Sep-13,1900,1972.9,1892.75,1922,1926.65,280922,5452.84
3-Sep-13,1980,1987.5,1880,1902,1896.3,278259,5383.58
2-Sep-13,2019.5,2094,2007,2018.25,2023.9,746947,15353.92
30-Aug-13,1971.25,2075,1941,2009.95,2046.5,2202945,44716.03
29-Aug-13,1912.25,2043.9,1889.25,1949,1973.3,605853,11752.28
28-Aug-13,1895,1924.8,1862.05,1912,1914.2,412415,7818.49
27-Aug-13,1930,1945.95,1891.9,1911,1900.8,582885,11148.01
26-Aug-13,1905,1957.5,1901.3,1938.15,1945.25,308439,5996.67
23-Aug-13,1903.2,1926,1871,1902.85,1899.25,212230,4026.55
22-Aug-13,1850,1928,1831.25,1920,1898.95,347290,6471.39
21-Aug-13,1905,1944.95,1860,1865.1,1870.7,324229,6186.71
20-Aug-13,1906.25,1922,1862.3,1894,1900.45,519978,9865.98
19-Aug-13,1976.55,1986.5,1855.25,1936,1921.15,588501,11202.52
16-Aug-13,1942,2004.3,1926,1978,1985.35,508142,10032.3
14-Aug-13,1940.05,1947.9,1922.6,1936,1935.95,341241,6608.99
13-Aug-13,1929.9,1965,1917.65,1943,1942.65,367774,7147.72
12-Aug-13,1849.9,1917,1849.9,1913.8,1906.5,428810,8128.68
8-Aug-13,1815,1858.75,1815,1849,1847.95,604588,11123.25
7-Aug-13,1843.2,1867.9,1816.25,1835,1834.65,306022,5626.98
6-Aug-13,1851,1894.9,1828.2,1835,1848.2,370097,6929.57
5-Aug-13,1803.75,1859.95,1786.1,1853,1854.15,1537397,27725.71
2-Aug-13,1821.25,1850,1780.05,1800.45,1801.8,251833,4549.45
1-Aug-13,1820,1832.8,1798,1820,1815.1,373538,6774.8
31-Jul-13,1845,1849.95,1807.6,1818,1819.4,329505,6006.49
30-Jul-13,1880,1880,1837.05,1871,1850.75,320301,5937.13
29-Jul-13,1866,1899.8,1865,1880.8,1877.95,413969,7788.41
26-Jul-13,1840,1870,1836,1868.8,1865.45,861624,16030.47
25-Jul-13,1765,1840.95,1765,1831.95,1828.15,1772968,32276.82
24-Jul-13,1772.25,1802.5,1744.5,1756,1754.5,646693,11429.05
23-Jul-13,1798.7,1809,1771.55,1785,1789.6,349086,6258.36
22-Jul-13,1774.8,1801.9,1751,1789,1789.85,282348,5057.02
19-Jul-13,1735.25,1794.5,1731.05,1774,1772.9,596827,10551.45
18-Jul-13,1685.1,1745,1685.1,1738,1731.75,381009,6486.87
17-Jul-13,1709.7,1714,1674.9,1689.05,1685.35,138266,2351.72
16-Jul-13,1700,1714.15,1656.85,1700.15,1692.35,241564,4076.96
15-Jul-13,1697.7,1732.9,1688.6,1727.95,1725,368342,6312.02
12-Jul-13,1701.9,1723,1678.7,1714,1715.1,156855,2667.17
11-Jul-13,1671,1714.95,1658,1699.8,1697.5,268099,4547.91
10-Jul-13,1657,1664.15,1640.1,1650,1652.35,113071,1866.88
9-Jul-13,1653.65,1665.85,1653.65,1659,1659.7,958653,15922.71
8-Jul-13,1642,1661.3,1638,1652.1,1653.65,125259,2068.84
5-Jul-13,1665.1,1668.9,1640,1640,1648.9,64529,1069.5
4-Jul-13,1655,1679,1644.75,1655,1656.1,138535,2299.16
3-Jul-13,1674,1691,1644.4,1648,1655.8,108014,1804.01
2-Jul-13,1700,1712.5,1662,1666.1,1681.25,279227,4699.33
1-Jul-13,1667,1710,1665.3,1709.5,1698.6,166786,2817.17
28-Jun-13,1640,1685,1635.2,1670,1663.05,219552,3637.74
27-Jun-13,1645.75,1679,1621,1632.9,1648.45,622077,10240.5
26-Jun-13,1586,1645.7,1580,1640,1637.55,255395,4120.19
25-Jun-13,1594,1599.9,1563.6,1578,1579.3,253854,4026.59
24-Jun-13,1610.05,1623,1575.85,1581.95,1578.9,348982,5544.07
21-Jun-13,1605,1645,1574.9,1618.1,1625.95,289402,4698.86
20-Jun-13,1600,1619.95,1567.5,1597,1602.45,276544,4440.84
19-Jun-13,1642,1655.95,1605,1608,1620.65,149803,2448.57
18-Jun-13,1627.8,1649.95,1620.35,1642,1637.6,189621,3102.87
17-Jun-13,1610,1643.45,1610,1620.3,1627.25,163210,2662.6
14-Jun-13,1612,1627,1600,1600.1,1605.8,200627,3232.44
13-Jun-13,1600.05,1638.7,1574,1598,1614,230346,3715.7
12-Jun-13,1641.6,1663.4,1588,1612.9,1610.35,413925,6656.4
11-Jun-13,1640.5,1674.95,1636.2,1643,1653,277043,4597.96
10-Jun-13,1650.8,1682,1634.45,1645.6,1642.55,162167,2693.1
7-Jun-13,1649.9,1672,1640.55,1646,1646.9,201857,3347.01
6-Jun-13,1658.6,1658.6,1635,1647,1646.35,117748,1937.61
