Date, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
21-Nov-13,1039.9,1041.15,1022,1034.9,1030.25,2520713,26023.09
20-Nov-13,1077,1077,1041.1,1046.3,1049.15,2252720,23890.83
19-Nov-13,1077.7,1089.7,1070,1083.1,1085,3161011,34247.74
18-Nov-13,1063,1087.8,1059.1,1072.6,1073.65,3314258,35673.32
14-Nov-13,1026.95,1067.85,1026.95,1052,1052.1,3309424,34932.29
13-Nov-13,999.4,1022.9,995.7,1021.15,1014.9,3531697,35608.99
12-Nov-13,1038,1043,1008.1,1009.2,1012.75,3196440,32819.58
11-Nov-13,1038.05,1052.8,1025.3,1040,1037.2,2582772,26891.85
8-Nov-13,1047.9,1057.6,1041,1042.75,1049.9,2679684,28133.63
7-Nov-13,1085.5,1092,1049,1049.2,1051.45,3765789,40338.43
6-Nov-13,1100,1100,1076.55,1080.7,1080.4,2770682,30128.72
5-Nov-13,1116.35,1135.8,1091.95,1094.2,1096,3963147,44150.78
3-Nov-13,1136.9,1139.5,1126.75,1129,1131.4,404216,4585.76
1-Nov-13,1119.8,1140,1107.15,1129,1133.45,3368659,38096.51
31-Oct-13,1093.1,1130,1087.65,1122.95,1120.95,5649351,62591.85
30-Oct-13,1082,1106.9,1079.4,1100,1099,5197880,57028.41
29-Oct-13,1020.95,1079.4,1003.15,1078.5,1074.65,5332418,56020.65
28-Oct-13,1024,1040.9,1009,1016,1015,3391418,34881.23
25-Oct-13,1025.4,1038,1006.2,1022.35,1022.2,6394905,65618.96
24-Oct-13,1021,1047.8,1012.35,1020.9,1020.9,3110910,32159.06
23-Oct-13,1012,1028,1005.25,1023,1025.75,3052261,31066.42
22-Oct-13,998,1027,998,1010.5,1010.15,3263454,33053.46
21-Oct-13,1010,1025.65,1003.5,1007.55,1010.25,2619422,26605.78
18-Oct-13,972,1013.4,972,1010.05,1008.85,4445196,44387.37
17-Oct-13,975.75,985.65,957.9,963.8,964.9,4362724,42136.26
15-Oct-13,1002.2,1004.95,971.1,973,974.55,1990533,19593.04
14-Oct-13,992.1,1004.9,986.55,998,997.15,2729801,27204.22
11-Oct-13,961,1001.8,951,999,997.05,5141444,50637.29
10-Oct-13,944,957.05,934.25,950.6,948.05,2828877,26752.88
9-Oct-13,921,955,908,953.25,950.4,4504912,41861.94
8-Oct-13,947.1,952.4,932.35,934.5,937.1,2924115,27528.12
7-Oct-13,919.3,920,893,916.65,916.2,3232202,29245.9
4-Oct-13,932,944.2,920.1,933,930.6,2495544,23274.34
3-Oct-13,919,940.25,905.2,936,937.85,4224162,39105.16
1-Oct-13,889.95,915,884,914.15,910.75,3913666,35243.14
30-Sep-13,906.8,916.5,879.2,880.9,883.65,3436423,30589.66
27-Sep-13,948.4,948.5,915.35,921.3,923.3,3030067,28024.51
26-Sep-13,936.9,956.8,934.15,940.8,946.1,3222253,30528.79
