Date, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
21-Nov-13,319.3,320,311.1,313.1,312.95,6659725,20914.66
20-Nov-13,323.35,325.85,320,320.75,320.75,7505059,24268.23
19-Nov-13,326.9,327.65,322.5,323.5,323.5,4789359,15508.74
18-Nov-13,316,327,316,326.5,326.1,8351863,26964.66
14-Nov-13,312,318,312,314.5,314.45,4288662,13539.88
13-Nov-13,320,320,313.5,314.4,314.15,4931211,15599.03
12-Nov-13,318,320.9,316.8,319.6,319.9,4258430,13604.26
11-Nov-13,317.9,321.9,313.1,317,316.65,6277164,19993.88
8-Nov-13,320.85,323.7,317.2,318.75,319.55,4441330,14239.37
7-Nov-13,319.05,323.8,315,320.1,320.45,7213051,23044.23
6-Nov-13,320,322.55,317.2,319.05,318.7,6070192,19420.29
5-Nov-13,329.1,329.9,318.1,319,319,13008599,41723.55
3-Nov-13,331,331.95,330.1,330.4,330.6,988356,3269.09
1-Nov-13,333.15,334,327,328.8,328.05,6893687,22706.76
31-Oct-13,331.35,336.5,330.35,334.5,335,10967902,36614.92
30-Oct-13,329.5,333.5,325.55,333,333.1,10468837,34543.27
29-Oct-13,327.3,332.05,323,327,327.9,11374021,37253.78
28-Oct-13,338,338,326.3,326.7,327.95,13467540,44474.23
25-Oct-13,344.9,347,336,337.2,340.05,5868246,20132.55
24-Oct-13,342.4,348.35,340.2,342.7,342.75,6440262,22196.97
23-Oct-13,342.15,344.5,338.5,341,341.6,4730794,16134.73
22-Oct-13,342.4,344.8,340.5,342,341.55,4351363,14891.82
21-Oct-13,355,356,343,345.1,344.7,6513644,22582.14
18-Oct-13,347.7,356.1,345.15,354.25,354.55,7835375,27470.24
17-Oct-13,340,346.5,339.2,346,345.5,4494607,15490.54
15-Oct-13,339,342.8,333.35,339.8,340,5010249,16932.08
14-Oct-13,343.5,343.5,338.65,339.45,339.8,2679961,9120.51
11-Oct-13,348.6,349.95,340.7,341.5,342.2,3563579,12233.83
10-Oct-13,346.7,350.8,344.7,347,347.15,3419759,11867
9-Oct-13,347.5,350.5,343.55,348,348.55,5189570,18082.53
8-Oct-13,342.25,348.65,339.6,347.15,347.65,5593942,19320.88
7-Oct-13,338.9,340.95,332,340.15,340.05,5227506,17603.58
4-Oct-13,338.75,341.75,335.35,340.1,339.85,4442193,15055.2
3-Oct-13,346,346,337,339.05,338.75,7716355,26191.79
1-Oct-13,340.35,343.5,338,343,343,4267096,14586.65
30-Sep-13,345.35,346.5,338.35,338.85,340.4,5554621,18972.99
27-Sep-13,350.9,350.9,345.05,347.5,347.9,5520702,19217.9
26-Sep-13,343.3,350,341,349,349.3,7898853,27410.83
25-Sep-13,349.5,350,336.85,344.8,344.75,7236484,24836.89
24-Sep-13,347.3,353.65,345.2,350,348.95,8400923,29337.37
23-Sep-13,351.1,357,346.65,350,349.85,5245948,18398.61
20-Sep-13,354.9,358,346.3,356.8,355.3,8564501,30156.23
19-Sep-13,348.4,356.5,348.25,355.4,355.45,9855864,34781.51
18-Sep-13,341,345,339.2,344.1,343.55,6755202,23083.94
17-Sep-13,332.1,339.8,331.55,339,338.7,4386077,14771.73
16-Sep-13,335.05,339,330.35,334.15,333.95,7098592,23781.79
13-Sep-13,337.85,338.9,329.95,330.2,331.35,7337256,24417.62
12-Sep-13,331.75,338.9,329.25,337.6,336.5,10804306,36036.99
11-Sep-13,336,337,327.05,329.05,329.95,7535273,24877.36
10-Sep-13,320,338.4,319,336.45,335.9,12107821,40036.95
6-Sep-13,313,318.8,310.3,316.7,316.4,7355729,23204.2
5-Sep-13,307.75,316.4,307.5,311.8,312.15,9083009,28384.64
4-Sep-13,305,305,293.6,300,299.85,13970751,41662.39
3-Sep-13,321.4,323.65,295.6,305.65,300.7,13470348,41684.05
2-Sep-13,310,323.8,308.8,319.15,320.4,9141362,29110.11
30-Aug-13,306,312,300,310.85,308.7,11370531,34807.02
