Date, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
21-Nov-13,251.1,254.6,245,246.65,245.8,2366906,5898.89
20-Nov-13,255.5,260.15,251.05,252.5,252.45,4196127,10759.29
19-Nov-13,245.1,257.95,245.1,254.75,255.3,4961892,12501.33
18-Nov-13,241.1,246.4,239.7,246.2,244.95,2284477,5557
14-Nov-13,238.6,241.8,237,238.75,238.65,2073404,4957.22
13-Nov-13,233.3,238.8,233.3,238.1,235.6,1082998,2560.2
12-Nov-13,235.2,239.2,232.7,236.1,235.8,1469348,3458.02
11-Nov-13,240,243.4,235.2,236.25,236.65,1636563,3902.51
8-Nov-13,240.7,242.45,238,240.7,240.5,1208440,2900.58
7-Nov-13,243,245.75,239,240.45,240.7,1956537,4741.9
6-Nov-13,248,249.8,242.3,242.35,243.35,1199688,2946.86
5-Nov-13,252,252,245.1,247.95,248.4,1105282,2745.23
3-Nov-13,249.45,253.95,248.25,251.3,251.3,793813,1997.67
1-Nov-13,240,250,240,247.5,247.95,2402977,5911.21
31-Oct-13,240.5,242,236,241,239.85,2274271,5452.45
30-Oct-13,239.3,243.3,236.6,240.05,240.05,1462460,3511.48
29-Oct-13,237.3,241.95,237.2,240.75,240.45,1341720,3215.96
28-Oct-13,238,241.2,236.25,238.5,238.3,932748,2224.46
25-Oct-13,240,241.2,235.6,238,238.35,1479152,3515.95
24-Oct-13,246,249.6,239.7,240.55,241.5,1918170,4699.31
23-Oct-13,248.7,249.5,243.05,245.3,245.85,1689276,4158.54
22-Oct-13,248,250.25,244.1,247.5,247.15,2030141,5015.97
21-Oct-13,255.85,257.05,245.2,246.8,246.25,3886133,9730.69
18-Oct-13,254,259.3,252.15,254.9,255.85,2767220,7103.98
17-Oct-13,250.5,254.4,250.1,252.8,253.3,1588836,4010.48
15-Oct-13,253.1,257.5,249,251.2,251.35,2603799,6574.82
14-Oct-13,253.7,255.5,249,253.25,252.45,1023812,2576.92
11-Oct-13,255,255.9,252,253.75,254.5,1535514,3894.25
10-Oct-13,248.25,257.35,248.25,250.3,251.7,2703849,6861.64
9-Oct-13,244.55,250,243.1,249.9,249.3,1270584,3138.08
8-Oct-13,242,247.3,241.45,245.6,244.35,1536960,3760.53
7-Oct-13,236,241.5,234.25,240.85,240.7,1447185,3466.21
4-Oct-13,240.1,242,235.4,236.5,236.3,2038997,4841.62
3-Oct-13,235,242.5,233,242.25,241.05,1302972,3108.31
1-Oct-13,234.6,235.45,228.6,232.15,232.5,1536311,3563.22
30-Sep-13,233.9,237.4,231.2,233.55,235.5,2573500,6036.81
27-Sep-13,232.8,239,231,235.5,235.95,2406595,5670.79
26-Sep-13,245.6,246.55,233.8,237,235.55,3375492,8053.17
25-Sep-13,248.8,250.2,241.1,244.6,245,1541831,3777.32
24-Sep-13,249,251.85,243,247.8,247.8,1881522,4674.62
23-Sep-13,257.9,262.8,251.3,252.05,252.95,2008077,5130.58
20-Sep-13,258.6,266,252.05,262.95,260.75,4578762,11895.68
19-Sep-13,254,264.6,248.75,256.35,259.8,5744048,14674.41
18-Sep-13,249.9,252.9,245.5,249,249.1,2329326,5800.8
17-Sep-13,243.1,250.5,239.75,248,247.45,2773667,6814.4
16-Sep-13,246.5,248.75,238.25,241.6,242.15,1756330,4270.1
13-Sep-13,238,242.75,235,242,241.35,1521236,3652.54
12-Sep-13,244.2,246.2,236.3,239.5,238.65,2006192,4854.33
11-Sep-13,240,243.3,231.15,241.6,241.2,4438740,10662
10-Sep-13,240.1,241.5,232.7,238,237,3054440,7224.57
6-Sep-13,229,237.5,227,234.5,233.3,2077577,4846.03
5-Sep-13,232,232.35,224.4,226.7,227,1856120,4223.55
4-Sep-13,222,226.95,217.1,226.5,226.1,1565680,3504.24
3-Sep-13,229,234.3,218.2,220.25,219.6,3006650,6795.91
2-Sep-13,222.6,230.9,222,227.15,227.95,2781583,6316.76
30-Aug-13,246,246.4,217.6,221.05,221.85,9594061,21800.69
29-Aug-13,241.4,245.95,238,243.8,243.5,4868128,11820.99
28-Aug-13,227,240.7,226.4,237.7,238.45,4409783,10358.74
27-Aug-13,241.35,244.6,226.25,233,230.15,3844665,9096.11
26-Aug-13,243,247.8,238.75,245.5,244.05,2910857,7077.38
23-Aug-13,233.9,244.9,233,239.35,240.55,4934584,11828.62
22-Aug-13,220,236.6,217.25,231.2,230.95,5897113,13557.46
21-Aug-13,223,229.25,217.85,220.7,221,3643063,8153.27
20-Aug-13,215.5,224.9,213.35,220.05,220.9,4762409,10527.53
19-Aug-13,211,221.5,199.2,219,219,2914337,6295.28
16-Aug-13,222.7,225.5,209.35,211,213.15,3432703,7443.02
14-Aug-13,237,237,220.5,224.05,224.95,3811021,8577.93
13-Aug-13,226.9,230.6,222.65,226,226.1,2697076,6114.28
12-Aug-13,210.8,229.7,208.6,226.25,226.6,5071690,11277.28
8-Aug-13,204,210.3,201.25,207,207.4,4197973,8675.42
7-Aug-13,196.45,207.85,189.4,203.5,203.6,2845287,5696.03
6-Aug-13,201,203.45,192.35,196,196.45,2166002,4269.14
5-Aug-13,187,203.9,185.15,202.85,201.45,2833041,5560.08
2-Aug-13,203,206.8,181.6,186,187,4112449,7711.66
1-Aug-13,200,207.9,196.75,202,202.35,3073422,6249.9
31-Jul-13,200,202.25,191.55,198.55,199.8,3828059,7588.82
30-Jul-13,199,209.7,198.3,203.5,202.55,4250828,8702.36
29-Jul-13,188.1,202.25,187.5,199,199.6,2238159,4413.73
26-Jul-13,197.65,200.95,187.2,189.85,189.95,2240010,4342.69
25-Jul-13,201.25,206.05,195.75,196.65,196.55,3418590,6846.62
24-Jul-13,210,211.95,195.1,203.2,201.95,2090704,4249.97
23-Jul-13,213.1,215.45,206.9,211.9,210.35,1250062,2652.41
22-Jul-13,210.5,213.8,208.8,211,211.6,803400,1702.25
19-Jul-13,217.3,217.95,206.35,209.45,210.45,2471795,5213.47
18-Jul-13,214.1,220.9,213.05,217,216.25,2510261,5451.69
17-Jul-13,217.5,220.65,211.6,213.8,214.05,1794827,3883.08
16-Jul-13,219.35,221.4,215.1,215.9,216.3,1330054,2900.93
15-Jul-13,220.45,226.4,219.85,223.35,223.7,2074694,4643.19
12-Jul-13,221.5,223.9,219.4,222.5,222.55,1686219,3742.65
11-Jul-13,221.35,227.8,220.2,222,221.8,2527943,5643.93
10-Jul-13,217.55,221.35,213.5,218.35,218.8,2885008,6281.87
9-Jul-13,223,224.65,214.7,216.5,217.1,2377874,5213.95
8-Jul-13,220,223.9,216.5,221.8,221.75,3643233,8050.99
5-Jul-13,220.7,224.95,215.7,222.85,223.85,4146462,9210.26
4-Jul-13,217.5,219.9,211.45,216.3,216.85,2769530,5979.56
3-Jul-13,210.7,218,208.3,217.05,216.3,5354085,11404.33
2-Jul-13,218.1,223.15,210.5,214.05,214.05,4973120,10807.8
1-Jul-13,215,226.5,214.05,224,223.65,4571090,10186.39
28-Jun-13,202,219.95,202,216.15,217.45,6179943,13127.79
27-Jun-13,204,207.3,194.65,200.9,201.25,5170379,10361.11
26-Jun-13,208.95,211.3,199.6,200.35,201.3,5225030,10731.21
25-Jun-13,210.9,213.8,201.75,207.25,207.65,3974615,8261.28
24-Jun-13,202.4,210,195.35,207.75,207.45,10618527,21612.24
21-Jun-13,217.75,220,195.9,204.65,204.45,17208324,35675.24
20-Jun-13,240,240.8,218.65,219.2,221.95,5358755,12252.21
19-Jun-13,239.25,258.9,239.25,245.45,245.8,8592429,21404.4
18-Jun-13,238.2,243.75,236.55,241.5,239.85,2751834,6621.45
17-Jun-13,242,244.25,237.55,240.2,240.7,2452081,5904.86
14-Jun-13,239.15,246,233,243,243.15,4708500,11339.09
13-Jun-13,231.9,239.7,227.3,237,236.8,7180161,16867.63
12-Jun-13,221.05,240.7,218.65,234,235.55,13913264,32015.14
11-Jun-13,265.3,266.8,202.75,226.5,226.15,26550601,59141.57
10-Jun-13,282,282.95,264.25,267.5,267.25,2413307,6560.86
7-Jun-13,283,286.15,278,278.25,279.2,1185820,3352.62
6-Jun-13,285,288.45,282.8,284,284.9,1355644,3867.9
5-Jun-13,285,288.9,283,287.85,287.45,1491973,4268.16
4-Jun-13,289.3,295.9,282.75,285,284.8,1942368,5593.82
3-Jun-13,287.9,292.25,281.8,290.5,290.4,1548524,4459.26
31-May-13,298.7,298.7,282.75,286.4,284.45,1529559,4414.02
30-May-13,298.5,301.15,294.85,296.25,296.3,1370531,4070.81
29-May-13,308.4,308.4,298.05,298.5,300.2,932291,2810.23
28-May-13,307.2,312.2,305.1,306.5,306.4,1941579,5987.09
27-May-13,297,308.25,294.6,306.8,306.6,2559882,7722.1
24-May-13,295.9,297.4,289.45,296.85,295.05,1382998,4067.18
23-May-13,300.05,305,289.55,291.45,291.1,2152667,6396.06
22-May-13,303.1,309.9,302.15,303.6,303.35,1884104,5765.92
21-May-13,307.9,309.4,302,302.6,302.85,1495492,4553.63
20-May-13,310,316.45,306.6,307.35,307.8,1856873,5793.13
17-May-13,308.1,313.9,306.7,312,312.6,1981775,6159.01
16-May-13,310.1,314.75,306.15,307.75,308.35,2629501,8126.09
15-May-13,304.95,315.3,304,312.1,312.7,2111542,6584.88
14-May-13,305.1,308,300.45,305,305.2,1397226,4260.3
13-May-13,311.1,312.85,303.35,304.4,304.4,1482205,4574.9
11-May-13,311,312.85,309.7,310.3,310.25,326594,1015.38
10-May-13,318,318.5,309.45,311,311.4,2971534,9289.96
9-May-13,329,330.15,316.8,317.1,317.85,1707986,5517.16
8-May-13,334,338.6,326,329.7,329.55,2235141,7402.35
7-May-13,327.7,338.1,326.55,332.25,333.05,2802665,9324.29
6-May-13,318.1,327.55,318.1,325.5,326.6,2095910,6793.69
3-May-13,306,321,304.25,317.5,318.45,4210766,13279.78
2-May-13,303.3,312.25,302.5,306,305.85,3823519,11795.15
30-Apr-13,302,309.2,298.35,305,304.55,4488540,13665.59
29-Apr-13,316,316,295,302.5,301.3,7631742,23049.16
26-Apr-13,324,325.5,312.9,313.5,314.95,6405623,20512.47
25-Apr-13,331.2,332.4,324.65,326.2,329.2,4734175,15581.03
23-Apr-13,341.55,347.7,327.05,328.05,329.9,4719532,15884.7
22-Apr-13,337.05,344,335.6,342.75,341.55,1503822,5115.78
18-Apr-13,340,340.8,330.3,336.25,337.45,1511498,5056.32
17-Apr-13,336.55,344.3,333.1,336,336.4,2226972,7560.94
16-Apr-13,328.6,340.8,325.4,335.8,337.7,1886557,6290.69
15-Apr-13,325,332.75,325,328.55,329.65,1097541,3619.77
12-Apr-13,328,333.4,325.05,327.5,327.85,1430794,4701.69
11-Apr-13,333.75,335.9,326,330.15,330.05,1335955,4397.18
10-Apr-13,337,337.75,322.2,328.1,328.5,1997283,6557
9-Apr-13,332.25,343.3,331.15,332,332.65,2824186,9556.95
8-Apr-13,337,337,328.6,330.7,330.6,755540,2504.12
5-Apr-13,327.95,340.5,327.95,332.15,335.55,1631554,5454.7
4-Apr-13,344,344,326.5,326.8,329.7,1743237,5863.33
3-Apr-13,352,360.5,341.1,345.5,344.45,2465086,8715.25
2-Apr-13,341.55,353.6,340.75,353,351,1611068,5598.02
1-Apr-13,352.9,352.9,338.1,342.2,342.45,1826776,6271.53
28-Mar-13,352.4,353.95,339.1,350.25,347.75,3642487,12628.98
26-Mar-13,349.9,354.55,345.5,352.9,352.95,921722,3233.23
25-Mar-13,359.4,362.8,349.7,350.5,350.55,1905113,6784.32
22-Mar-13,341.9,357.25,341.9,353.1,352.75,1699217,5935.77
21-Mar-13,340,353.8,339.2,342.2,341.7,2354683,8155.73
20-Mar-13,339,344.7,334.5,339.5,337.7,1375243,4641.59
19-Mar-13,354.65,356.45,337.4,341.4,341.25,1999623,6846.32
18-Mar-13,352.8,358.2,350,353.7,354.1,849219,3008.74
15-Mar-13,362.3,365.75,353.1,355.75,356.75,1235519,4437.31
14-Mar-13,353.4,362.75,346.4,359.25,360,1752789,6205.19
13-Mar-13,362,363.2,352.5,353.4,354.1,2173367,7777.72
12-Mar-13,365.85,368.8,357.65,365.8,365.75,2663123,9705.92
11-Mar-13,368.1,369.1,360.6,363.15,363.15,1365047,4956.6
8-Mar-13,350,369.95,349.9,367.15,367.2,5516294,19900.23
7-Mar-13,352.2,353.7,342.2,348.1,347.35,2206262,7647.33
6-Mar-13,355.25,359.1,351,354.25,355.15,3620264,12859.69
5-Mar-13,345.95,355.7,341.55,351.5,352.65,2734124,9591.36
4-Mar-13,359.9,359.9,341,342,343,2670303,9327.73
1-Mar-13,350.2,366.9,350.2,359.5,358.9,3232222,11655.27
28-Feb-13,362,364.6,338.9,359.05,348.9,4308020,15125.52
27-Feb-13,355.1,363.9,352.5,358.5,358.85,2240394,8019.04
26-Feb-13,356.6,359.45,351.3,356.35,353.5,1807597,6412.3
25-Feb-13,358,364,352.1,357,357.1,1576602,5640.35
22-Feb-13,353.9,361.9,352.15,359.5,357.5,4141145,14801.82
21-Feb-13,367,368.9,353.8,353.85,355.3,3893450,13995.57
20-Feb-13,377.9,379.3,368.8,369.25,370.4,3970589,14834.63
19-Feb-13,379,383.1,372.4,374.9,375.85,3020916,11365.18
18-Feb-13,386.1,387,377.25,377.35,378.5,1853230,7057.3
15-Feb-13,390.3,391.75,383.65,386.05,386.2,1253433,4842.1
14-Feb-13,389.9,395.6,388,390.25,390.3,1646717,6450.17
13-Feb-13,395,397.6,386.25,389.4,389.25,2821078,11052.64
12-Feb-13,402.3,403.95,390.05,392,392.2,3422803,13516.54
11-Feb-13,417,417.45,403.6,403.6,405.75,1248554,5117.48
8-Feb-13,422.9,423.15,410.6,412,414.25,1065875,4447.58
7-Feb-13,423.2,424.55,415.6,417.25,419.25,727122,3053.17
6-Feb-13,416,426.5,412.1,422.75,424.55,1457573,6137.75
5-Feb-13,417,417,409.5,413,413.55,1062998,4394.73
4-Feb-13,416.6,424.6,414.9,418.7,419.05,944586,3972.73
1-Feb-13,422.25,424.9,414,414.65,415.9,792165,3328.5
31-Jan-13,425,428,418,419.2,420.2,1573443,6628.31
30-Jan-13,433.9,437.5,423.6,425,425.5,1670768,7224.09
29-Jan-13,429,442.35,416.1,431.85,433.5,1825563,7943.06
28-Jan-13,432.35,436.7,427,429,430.55,1147291,4953.78
25-Jan-13,419.1,439,413.5,435,433.45,1712962,7292.62
24-Jan-13,424.1,428.9,416.3,418.35,418.85,1250159,5286.66
23-Jan-13,428.8,431,421.8,425,426.05,1362831,5817.28
22-Jan-13,423.05,429.7,420.85,427.5,426.65,987168,4204.31
21-Jan-13,423,431.75,420.2,425,423.9,1283913,5483.59
18-Jan-13,433,434.9,420,421.55,422.85,1157208,4927.91
17-Jan-13,427.55,434.7,422.15,431,431.65,1237553,5285.39
16-Jan-13,441,445,428,429.3,429.55,1188433,5159.09
15-Jan-13,443,447.1,439.1,443.75,443.45,1060446,4701.51
14-Jan-13,433.2,449.25,423.5,448,446.85,2197163,9600.14
11-Jan-13,449.5,450.05,430.2,430.3,432,1119974,4931.02
10-Jan-13,451.05,454,446.2,447.7,448.4,1366611,6153.93
9-Jan-13,455.75,457.7,446.75,447.95,448.55,1206219,5458.83
8-Jan-13,458.2,459.65,449.1,455.05,455.75,1747950,7938.65
7-Jan-13,461.45,466,454.5,457.85,458.4,2531742,11655.54
4-Jan-13,463,464.7,453.65,458.5,457.8,2923989,13399.92
3-Jan-13,468.5,470.35,460.8,465.3,466.35,1171006,5450.87
2-Jan-13,463.25,475,463.25,465.2,466.15,2191300,10264.09
1-Jan-13,451,464.8,451,463,461.05,2851834,13097.2
31-Dec-12,447.9,454.4,445.7,447,447.85,1148699,5168.85
28-Dec-12,447.6,450.9,440.6,446.3,445.8,1355342,6044.72
27-Dec-12,456.7,459.85,444.7,446,446.6,2066092,9315.79
26-Dec-12,446.9,457.4,444.85,455.1,454.45,3380584,15290.96
24-Dec-12,457.45,460,443.25,443.45,445.45,1752116,7897.82
21-Dec-12,469.05,472,451,452.2,454.55,3224329,14921.42
20-Dec-12,462.95,474.9,457.05,472,470.8,3870176,18028.52
19-Dec-12,451.55,463.8,451.25,461.95,460.65,4046586,18502.9
18-Dec-12,441.3,453,438.1,450.05,449.6,5183344,23179.04
17-Dec-12,430.2,450,430.2,439.4,441.75,3228561,14186.81
14-Dec-12,420.3,432.5,420,431.2,431.2,3233996,13825.56
13-Dec-12,412,422.6,412,421.5,420.25,2496794,10446.09
12-Dec-12,421.4,422.75,409.5,411.15,413,3200701,13264.05
11-Dec-12,411,423,409.45,418.45,420.1,3700861,15455.71
10-Dec-12,413,413,404,409.6,410.05,2216921,9024.3
7-Dec-12,411.75,413.75,404,408.3,409.8,1640157,6698.12
6-Dec-12,407.8,409.7,399.55,407,407.65,1191938,4835.87
5-Dec-12,411.85,415,402.4,404.55,404.2,2251447,9193.32
4-Dec-12,406.8,416.15,405.1,407.8,408.3,2474467,10163.26
3-Dec-12,405,414.1,402.25,406,404.6,2901408,11828.28
30-Nov-12,380.35,406.2,380.35,402,403.05,4170136,16535.18
29-Nov-12,380.1,385.35,377.9,381.25,381.15,2016889,7696.77
27-Nov-12,374.05,383.2,374.05,381.35,380,1844184,6998.27
