Date, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
21-Nov-13,969.8,977,946,948.2,948.1,2339880,22362.5
20-Nov-13,992.7,993.4,973.4,976.05,976.5,1334851,13111.52
19-Nov-13,980,998,979,994,995.85,2444525,24239.19
18-Nov-13,951.3,980.9,951.3,980,978.05,2413262,23399.15
14-Nov-13,930,961.35,927.75,939,939.55,1899185,18011.27
13-Nov-13,924.45,933.5,912.1,919.75,919.8,2871749,26429.15
12-Nov-13,945,959.75,923.35,930.2,928.85,1963582,18522.3
11-Nov-13,962.3,971.9,937.9,944.5,943.65,2244866,21292.2
8-Nov-13,954.8,979,945.1,973,974.9,2661923,25634.01
7-Nov-13,963,985.45,955.1,957.95,957.45,1964700,19045.71
6-Nov-13,967.5,979.25,961.55,963.5,963.8,1228008,11894.53
5-Nov-13,969,980.7,964.2,966,967.4,2209438,21440.47
3-Nov-13,985,989.9,976,977.8,979.45,391416,3848.32
1-Nov-13,973,986,970,980.05,982.2,2312791,22630.17
31-Oct-13,964.8,984.95,964,973.95,973.7,2799806,27334.8
30-Oct-13,974.2,980,966,969.95,971.45,1965939,19100.58
29-Oct-13,964.9,979.9,941,977.9,977.05,2742849,26454.05
28-Oct-13,948.4,975.85,948.3,965.45,965.4,2421496,23412.65
25-Oct-13,957,959.75,935.7,947.75,947.5,2215973,20953.76
24-Oct-13,945.75,973.5,943.25,963.35,965.65,3648616,35123.38
23-Oct-13,936,951.95,925.25,948.25,949.35,2495108,23369.94
22-Oct-13,925,939,916.15,938.85,935.4,2661652,24711.37
21-Oct-13,885,929.5,885,926.1,925.55,6802314,62307.17
18-Oct-13,837.1,879.8,827.75,871.5,872.05,5234595,44923.27
17-Oct-13,864,866.85,833.5,835.9,836.9,1668279,14141.35
15-Oct-13,883.7,889.7,859.5,868,871.7,1734430,15162.36
14-Oct-13,880.8,894.15,875,875.95,876.65,1697911,15004.35
11-Oct-13,856,884.9,850,884.9,882.95,3123471,27218.03
10-Oct-13,845.2,855,840.2,844.85,845.7,1376133,11666.96
9-Oct-13,819,849,817.2,846,845.15,1801977,15132.37
8-Oct-13,820,835,815.2,827,828.4,1998077,16581.16
7-Oct-13,822.8,822.8,801.1,809.5,809.15,1554898,12571.72
4-Oct-13,825,835,816.1,818,819.9,1289568,10639.92
3-Oct-13,810,831.4,805.05,829.5,828.65,1920775,15714.41
1-Oct-13,790.3,804,776.55,802,800,2113450,16799.19
30-Sep-13,810.2,812.9,783.5,786.65,788.75,2190400,17390.5
27-Sep-13,838,843.6,813.3,814.5,815.85,1275813,10541.5
26-Sep-13,827.85,844,825.5,829.25,829.1,2461052,20509.82
25-Sep-13,827.4,840.8,817,832.7,831.35,1862855,15448.47
24-Sep-13,807.65,832.8,804,828,826.8,2078360,17139.14
23-Sep-13,832,850,807,811.75,812,1884204,15506.58
20-Sep-13,887.2,887.2,832.8,849.5,846.4,2976142,25288.75
19-Sep-13,862,898.65,856.85,889.75,888.4,3596826,31569.22
18-Sep-13,823.2,845,819.2,844,836.95,1232605,10235.91
17-Sep-13,828,833.9,815.1,823.45,821.25,1260731,10356.56
16-Sep-13,848,862.75,825,829,828.4,2497495,21025.25
13-Sep-13,812.95,839,811,835.3,836.4,2207913,18350.64
12-Sep-13,825,829.7,807.65,815.55,814.95,2360872,19339.35
11-Sep-13,808,832.2,795,815.9,818.4,3208886,26317
10-Sep-13,770,810.65,770,806.85,807.2,4794990,38196.59
6-Sep-13,733.35,761.4,729,751.05,754.1,3425095,25568.33
5-Sep-13,720.3,730,717,727.7,727.8,3092152,22418.55
4-Sep-13,698,713.25,687.4,696.65,699,3541615,24812.91
