Date, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
21-Nov-13,941,947.8,931,937.5,934.45,1028596,9643.16
20-Nov-13,945,958.65,935.05,941.6,941.95,1768502,16697.51
19-Nov-13,945,951.95,938,947,947.5,948109,8976.55
18-Nov-13,930,948,915,944.05,944.8,1296012,12173.7
14-Nov-13,910,928.95,906.5,925.9,925.15,1820946,16750.21
13-Nov-13,876,900,875,894.2,895.35,2110595,18781.42
12-Nov-13,875.7,884.2,864.15,878,879.9,1383234,12100.22
11-Nov-13,878,887.95,840,871.05,869.95,724878,6328.84
8-Nov-13,897,898,872.65,876.15,878.6,480159,4250.97
7-Nov-13,898,916.7,894.05,898.4,898,983354,8927.24
6-Nov-13,908.05,911.7,895,896.5,899.4,611328,5525.38
5-Nov-13,915,922.75,902,907,906.65,1026415,9352.83
3-Nov-13,930,932.3,916.7,918,919.05,149506,1379.14
1-Nov-13,885.2,928,879.65,926.05,925.3,2959129,26806.35
31-Oct-13,895,896.95,875.7,886.3,887.85,1406218,12456.93
30-Oct-13,904.8,907.8,878.7,895.9,895.85,1282061,11404.85
29-Oct-13,874,903,861.1,900.95,900.7,1278135,11260.79
28-Oct-13,871.6,883.65,856.15,871.35,868.9,1087032,9429.47
25-Oct-13,882.25,884.3,865,870.1,867.75,1110914,9647.41
24-Oct-13,866.2,893.8,863.35,888,889.35,1230842,10892.2
23-Oct-13,876.7,884.75,860.2,865.45,865.85,643727,5585.37
22-Oct-13,893.75,894.9,874,875.1,875.7,872440,7711.2
21-Oct-13,880,895,872.05,888.3,887.7,1117203,9921.24
18-Oct-13,868.6,888,868.6,878.1,882.7,1424600,12553.2
17-Oct-13,871.7,876.8,861,864.8,865.25,1070909,9303.26
15-Oct-13,867,881.25,859.25,867.25,867.6,1204416,10457.91
14-Oct-13,873,882.45,862,865.55,865.25,824719,7172.71
11-Oct-13,875,887.5,865.55,873.25,872.5,1382241,12110.51
10-Oct-13,851.2,869,851.2,868,867.2,889141,7659.81
9-Oct-13,857,859.7,843,850.95,851,1190315,10136.33
8-Oct-13,865,874.3,858,858.55,863.15,668002,5785.9
7-Oct-13,864.5,870,847.2,861.1,865,779247,6708.96
4-Oct-13,851.8,871.4,851,859.5,858.8,1532079,13217.54
3-Oct-13,833.25,861,833.25,852,851.8,1516736,12879.87
1-Oct-13,834.5,846.5,821.35,831.6,831.8,1433454,11940.41
30-Sep-13,841,845,815,831,827.45,1476795,12143.34
27-Sep-13,858,858,839,840,844,855838,7252.38
26-Sep-13,847,864.8,845,855,852.1,1282166,10959.15
25-Sep-13,875,878,833.05,847,850.1,1345994,11430.78
24-Sep-13,857,882,851.4,875,871.5,1032335,8988.25
23-Sep-13,868.8,870,851.45,861,860.9,871494,7500.57
20-Sep-13,868,885,832.55,880.65,874.2,1520999,13081.62
19-Sep-13,862,892,860.15,870.8,867.55,2244149,19644.31
18-Sep-13,849.8,849.8,828.2,845,841.8,1115366,9341.45
17-Sep-13,834,850.6,826.7,843.8,844.4,748846,6319.74
16-Sep-13,840,863.3,829.5,831.8,837,2269163,19152.27
13-Sep-13,814.9,835,811.4,830.3,830.3,1229843,10185.26
12-Sep-13,835.9,835.9,797.8,814,812.85,1341549,10969.65
11-Sep-13,817,835,805.1,830,827.35,1306275,10697.14
10-Sep-13,778.8,816.8,766.55,811.2,812.95,1924598,15324
6-Sep-13,780,785.05,747.2,767,769.45,2411212,18419.91
5-Sep-13,792,798.25,773.6,776,777.05,1957407,15248.66
4-Sep-13,768.95,788.9,760.9,778.95,780.35,1114197,8682.07
3-Sep-13,768,774.8,760,766,768.05,1460337,11194.49
2-Sep-13,776,783.1,755.5,767,766.05,1865472,14273.03
30-Aug-13,798.95,801.6,768.25,781.1,783.25,2030693,16034.9
29-Aug-13,774,804.95,766.65,794,794.25,1616597,12665.23
28-Aug-13,780,785.55,740.15,778,775.9,1951930,14869.48
27-Aug-13,800,804.5,784,790.5,789.4,2127921,16777.44
26-Aug-13,820,821.75,797.5,808.5,807.9,1091055,8808.46
23-Aug-13,791,819.7,785.55,816,813.8,1193548,9655.38
22-Aug-13,775.2,801.4,749.55,792,793.2,2957393,22871.82
21-Aug-13,808,815.6,775,787.9,783.95,2023321,16110.78
20-Aug-13,798,804,777.6,791,791.5,1225879,9661.12
19-Aug-13,845,845,786.25,810,810.25,2737275,22059.49
16-Aug-13,873,873,828.95,841.8,840.1,3655061,30717.98
14-Aug-13,875,885,864.1,875,873.45,2564719,22427.31
13-Aug-13,870.2,898.4,866.25,872,873.75,3656053,32230.2
12-Aug-13,867.5,875,854,858.1,861.25,815845,7031.29
8-Aug-13,850,870.85,846.2,862,863.7,885923,7639.25
7-Aug-13,856,858,837.1,843.75,842.6,1508067,12773.02
6-Aug-13,856.65,867.95,848.55,859,854.15,964949,8257.34
5-Aug-13,856.1,879.9,856,866,864.6,896013,7806.29
2-Aug-13,877,878,849.95,855,854.75,1807861,15443.99
1-Aug-13,912.1,923.15,867.05,874.6,871.5,1327069,11804.86
31-Jul-13,888,916.25,888,915,911.4,1393820,12625.36
30-Jul-13,896,904.95,891,895,896.85,1295020,11596.77
29-Jul-13,886.1,904.45,886.1,898.6,897.75,801882,7203.46
26-Jul-13,881.25,897.8,881.25,896.5,894.85,870981,7775.27
25-Jul-13,885,907.3,875.4,879.5,879.95,1133942,10106.04
24-Jul-13,917,918.95,883.05,896,893.75,890713,7968.96
23-Jul-13,905.1,925.9,898.95,918.25,921.3,1054789,9636.98
22-Jul-13,875,905,875,902,902.7,598249,5369.09
19-Jul-13,875.65,899,869,873.85,879.25,1622288,14398.96
18-Jul-13,889,890.5,862.4,879.6,874.75,2017468,17611
17-Jul-13,924.1,934.65,876.6,888.05,893.15,1812534,16366.52
16-Jul-13,909.1,924,906.5,917.95,913.5,1178110,10785.67
15-Jul-13,906.9,931.9,906,930,928.2,1009048,9291.1
12-Jul-13,921.25,925,895,911,907.25,1880592,17013.48
11-Jul-13,925,929.95,915.05,915.05,917.8,1657911,15294.1
10-Jul-13,940.1,948,907,911.9,912.55,1194506,11068.11
9-Jul-13,951.1,959.85,934.25,940,938.1,1118851,10570.57
8-Jul-13,961.65,963.7,940.1,943.8,947.7,735121,6991.14
5-Jul-13,986.2,989.3,965.2,972,971.65,1019069,9935.83
4-Jul-13,984.9,988.7,973.1,979,982.05,756606,7406.6
3-Jul-13,969,985.95,962.7,979.95,980.05,907479,8849.31
2-Jul-13,980,994.3,970.1,972.1,978.9,819805,8057.36
1-Jul-13,965,989.9,950.4,988,986.75,1198369,11631.81
28-Jun-13,939.65,975.95,939.65,969,970.6,1642402,15753.78
27-Jun-13,923,950.35,922.25,933.4,933.65,2091292,19535.3
26-Jun-13,952.25,959,904,908,911.15,1999135,18492.27
25-Jun-13,930,960,925.1,957.5,956.8,797427,7549.15
24-Jun-13,936.6,942,915.2,928,926.95,749323,6937.94
21-Jun-13,937.5,954.5,923.2,939,939.65,1175613,11050.74
20-Jun-13,966,966,935.75,940,942.9,1411242,13358.07
19-Jun-13,981.6,986.85,972,976,979.9,532503,5212.77
18-Jun-13,993,999.75,980.15,984,983.75,1034334,10222.16
17-Jun-13,965,1000.75,959,986.7,989.35,1627131,15978.06
14-Jun-13,933,954.9,926.4,948,949,998663,9406.04
13-Jun-13,951,951,913.2,914.4,923.85,800402,7467.64
12-Jun-13,947,963.6,925.75,957.4,947.3,867102,8176.58
11-Jun-13,967.1,968.15,936.55,949.5,946.9,936220,8892.85
10-Jun-13,976.1,984.7,971.05,976.7,976.35,920883,8997.4
7-Jun-13,991.2,996.5,961,970.8,966.35,698844,6863.32
6-Jun-13,982,999,972.25,992.3,991.2,888471,8774.55
5-Jun-13,985,998,976.9,987.4,986.55,947403,9374.63
4-Jun-13,978,997.5,974,983.1,987.2,1159822,11453.8
3-Jun-13,958.25,989,945.7,969.85,973.8,2390567,23282.45
31-May-13,1004.6,1008.35,960.2,966.3,967.55,2337533,22748.08
30-May-13,955.35,1008.85,955.35,1008.4,1004.65,2767419,27486.56
29-May-13,976.5,979.4,956.1,962,961.05,543121,5240.13
28-May-13,952,976.95,932.6,975.7,972.85,1258509,12015.77
27-May-13,966.15,966.5,942.65,952,951.9,623554,5926.13
24-May-13,965.1,979.95,952.1,972.85,968.1,674679,6524.26
23-May-13,975.5,984.5,950.3,967.05,959.15,689850,6649.04
22-May-13,992.5,1004.95,982.5,991.85,990.1,684070,6782.21
21-May-13,1002,1002,980.95,986.95,987.75,654143,6472.67
20-May-13,984.6,1026,984,1001,1002,1452124,14647.57
17-May-13,980.1,994.45,979.9,985.95,987.3,652895,6441.1
16-May-13,980,997,972.1,985.6,985.4,1023357,10095.25
15-May-13,953.25,993,950.4,981.55,983.75,1400669,13747.17
14-May-13,955.25,962.55,946.9,951,950.8,574006,5480.27
13-May-13,964,972,950.2,956.35,956.35,615835,5928.68
11-May-13,965.25,970.15,963,967.6,967.6,29817,288.43
10-May-13,946.25,977.6,946.25,967.65,970.2,1794614,17363.69
9-May-13,944.55,961.3,938.35,952.3,947.9,999986,9530.08
8-May-13,963.25,964,941.35,949.25,946.4,1001732,9504.44
7-May-13,961.15,966.45,948,961,959.1,1125350,10746.88
6-May-13,955.1,974.8,955.1,965,966.45,878197,8487.99
3-May-13,952.5,973.7,939.4,959.05,961,1712247,16353.15
2-May-13,913.9,968.8,912.4,951.6,953.6,2259766,21465.19
30-Apr-13,902.35,931.75,881,926.1,924.1,1240925,11219.06
29-Apr-13,895,905.75,891.2,904,902.2,959123,8623.73
26-Apr-13,905,905.95,881.4,887.5,889.75,1296822,11555.35
25-Apr-13,890,919,880.4,906,909.1,1718720,15503.59
23-Apr-13,898.8,898.8,877.9,881.1,885.35,675212,5977.84
22-Apr-13,909.2,914,882.6,889,892.25,1051632,9390.51
18-Apr-13,878.1,913.45,870.25,907.5,903.9,1838946,16286.58
17-Apr-13,845,889.9,845,876.5,880.9,2994935,26207.69
16-Apr-13,814,848.6,809.55,845,844.85,1789260,14915.6
15-Apr-13,817.6,823.65,808.95,810.55,812.95,1420023,11549.37
12-Apr-13,825,841.45,816.05,821.15,823.35,1294887,10687.59
11-Apr-13,833.3,837,820.25,833.45,832.1,802823,6638.16
10-Apr-13,842,843,826.3,835.8,837,465939,3883.85
9-Apr-13,844,851.85,835,838.1,839.3,781849,6578.62
8-Apr-13,842,849.2,835.25,840,839.95,397927,3346.01
5-Apr-13,845.3,854.05,831.5,837,837.9,1163710,9755.39
4-Apr-13,839.1,857,838,847,848.35,1182138,10041.94
3-Apr-13,861,862.25,841.25,847,843.9,1047633,8881.65
2-Apr-13,862,865.4,850,861.9,862,681351,5847.29
1-Apr-13,863,866.8,847.6,855.5,857.1,567510,4859.24
28-Mar-13,866.25,869.9,840.1,861.55,861.3,1828035,15561.43
26-Mar-13,860.25,873,853.55,861,863.25,1113281,9580.72
25-Mar-13,877.5,880,860.5,865,864.45,862306,7485.62
22-Mar-13,891,894.75,866.15,866.3,873.35,845955,7444.04
21-Mar-13,875,896.4,857.3,886.05,880.65,1550113,13622.52
20-Mar-13,877.2,883.25,862.25,876.5,873.4,1096021,9573.23
19-Mar-13,920,920,874.4,885.45,878.35,1788916,16041.57
18-Mar-13,919.9,926.6,909,917.9,913.55,797190,7298.21
15-Mar-13,915.55,932.3,915.55,926.55,927.75,2032384,18746.76
14-Mar-13,909.1,922.85,893,915.9,914.3,997064,9080.45
13-Mar-13,913.55,916,906.2,912,910.55,519718,4731.95
