Date, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
21-Nov-13,1654.9,1667.7,1638.85,1655.5,1647,591465,9777.43
20-Nov-13,1690,1700,1643.1,1643.1,1649.85,612988,10263.01
19-Nov-13,1630,1691.1,1625.45,1677.55,1682.55,1253144,20977.89
18-Nov-13,1627.7,1635.15,1612.05,1633.1,1629.35,642611,10433.58
14-Nov-13,1596.7,1625,1591.45,1616.95,1612.6,633129,10193.38
13-Nov-13,1580,1594,1573,1580,1579.5,446748,7073.63
12-Nov-13,1591.5,1622,1582.1,1585,1587.1,720325,11549.3
11-Nov-13,1580,1604,1561.3,1588.45,1582.55,509621,8081.72
8-Nov-13,1605.1,1610,1557.5,1579.3,1580.55,740937,11697.1
7-Nov-13,1610.3,1644.9,1602.4,1611,1610.8,496581,8052.35
6-Nov-13,1622,1644,1610,1617,1614.55,526949,8574.14
5-Nov-13,1645,1645,1617.2,1623,1623.25,491093,8009.38
3-Nov-13,1636.5,1658,1636.5,1648.05,1650,111953,1847.49
1-Nov-13,1642,1655.85,1626.25,1635.7,1636.15,733492,12035.22
31-Oct-13,1626.1,1646.7,1617.25,1639.05,1636.2,760636,12407.52
30-Oct-13,1641,1659.9,1625,1638.9,1636.65,951167,15619.89
29-Oct-13,1590.9,1646.5,1565.75,1645.75,1635.25,4085346,65656.67
28-Oct-13,1510.35,1529,1503,1513.65,1513.35,919522,13961.75
25-Oct-13,1501.1,1533.1,1490,1509,1508.7,432129,6546.08
24-Oct-13,1528,1549.75,1499.95,1514,1513.9,580715,8878.65
23-Oct-13,1516.8,1545,1482.5,1530,1528.85,534863,8069.76
22-Oct-13,1523,1536,1505.3,1516,1514.6,351924,5342.44
21-Oct-13,1470.35,1542.75,1470.1,1520.9,1519.95,877353,13313.59
18-Oct-13,1432,1472.5,1428.1,1469,1468.75,490221,7157.43
17-Oct-13,1440.05,1451.8,1418,1423.8,1427.05,316070,4536.6
15-Oct-13,1452,1473.2,1431,1439.75,1439.9,413066,5987.3
14-Oct-13,1465.25,1479,1442.4,1448.5,1446.9,697237,10210.91
11-Oct-13,1436.1,1470,1413.1,1467.05,1464,762748,11054.78
10-Oct-13,1399,1425.2,1398.25,1420,1421.1,617290,8750.6
9-Oct-13,1407,1407,1386.2,1399.8,1398.5,481828,6728.11
8-Oct-13,1420,1423.85,1400,1401.05,1406.6,411447,5813.87
7-Oct-13,1425,1432.7,1402.05,1408.1,1410.2,329756,4657.85
4-Oct-13,1410.5,1434.95,1406.05,1429,1428.5,666373,9500.36
3-Oct-13,1394.95,1420,1375.2,1415.7,1412.35,650153,9143.82
1-Oct-13,1364.05,1410,1364,1380.45,1380.2,931358,12922.19
30-Sep-13,1366,1373.65,1340,1363,1358.55,406918,5497.89
27-Sep-13,1391.9,1407.7,1361.55,1364.15,1366.95,599199,8265.49
26-Sep-13,1415,1423,1380.1,1385.85,1387.55,537625,7508.28
25-Sep-13,1414.9,1423,1376.15,1390.25,1393.2,326342,4563.97
24-Sep-13,1390,1442,1387,1411.7,1410.8,517200,7343.46
23-Sep-13,1450,1454.4,1388,1390,1401.25,500010,7065.06
20-Sep-13,1479.9,1482,1401,1465.25,1467.25,751243,10811.38
19-Sep-13,1441,1503.4,1441,1475.45,1480,1132596,16794.51
18-Sep-13,1385,1405,1377,1402,1401.85,413270,5758.55
17-Sep-13,1362,1388.8,1360,1375.7,1375.8,478211,6582.06
16-Sep-13,1343.35,1379.3,1334.45,1362,1359.9,707004,9618.57
13-Sep-13,1315,1335,1301,1318.7,1315.9,534719,7035.8
12-Sep-13,1367.95,1376,1315.55,1316.55,1320.9,523296,7023.55
11-Sep-13,1351,1388.8,1346.3,1355.7,1360.8,1255303,17198.79
10-Sep-13,1305,1349.95,1300,1338.7,1336.65,857196,11448.02
6-Sep-13,1311,1311.95,1277,1280.95,1288.4,473918,6122.61
5-Sep-13,1290,1314.35,1290,1296.35,1299.6,531076,6915.54
4-Sep-13,1269,1282.8,1242,1275.2,1276.5,656723,8287.01
3-Sep-13,1315,1319.6,1254.5,1282,1276.05,627614,8080.21
2-Sep-13,1240.25,1307.6,1233,1298.95,1300,537411,6856.43
30-Aug-13,1246,1249,1225,1248.8,1243.55,758972,9401.37
29-Aug-13,1240.5,1263.8,1223.3,1238,1250.6,573972,7127.66
28-Aug-13,1238,1249,1215,1236.75,1236.35,1150637,14168.63
27-Aug-13,1299.9,1306.95,1240,1265,1260.25,929746,11721.47
26-Aug-13,1300,1318.3,1294.45,1310,1308.15,438706,5738.4
23-Aug-13,1299.9,1324,1266.05,1297,1293,621224,8007.67
22-Aug-13,1284.2,1299,1232.6,1293,1285.7,1030562,13082.22
21-Aug-13,1313,1324.85,1275,1293,1284.45,926580,12037.04
20-Aug-13,1300,1306.7,1268.6,1305,1297.9,916913,11801.87
19-Aug-13,1320,1336.8,1300,1309,1308.45,429786,5631.06
16-Aug-13,1389.15,1389.2,1317.15,1320,1325.1,1464791,19454.72
14-Aug-13,1398,1424,1385,1385.1,1391.2,530381,7435.32
13-Aug-13,1355,1412.85,1355,1396.25,1396.95,1031827,14430.53
12-Aug-13,1392.25,1409,1372.2,1374.45,1380.2,700028,9771.91
8-Aug-13,1331.1,1392.4,1331.1,1385.4,1385.05,1398921,19282.45
