Date, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
21-Nov-13,276.5,277.05,269.65,270.25,270.45,2124689,5785.15
20-Nov-13,279.4,282.45,273.7,275.05,276.7,4418422,12311.83
19-Nov-13,278.55,282.05,272.8,277.75,277.35,1892105,5256.73
18-Nov-13,273,280,273,279.25,279.05,2648425,7327.91
14-Nov-13,273.6,275.8,269.5,270,270.1,2139492,5828.27
13-Nov-13,266,269.95,263.5,269.2,268.85,2978852,7957.07
12-Nov-13,270.55,272.9,265.05,266.3,265.85,3123710,8341.33
11-Nov-13,276,277,269.3,270,270.2,2588208,7025.17
8-Nov-13,282.55,284,271.75,277.1,277.35,2367708,6579.56
7-Nov-13,282.95,287.75,281.25,283.7,283.7,2031040,5774.22
6-Nov-13,283.95,285.85,281,282.2,281.85,1879068,5312.62
5-Nov-13,287.55,288.55,283,283.9,283.85,3314690,9450.52
3-Nov-13,289,291.8,288.15,289.5,289.55,330299,957.56
1-Nov-13,294.3,294.3,286,287.8,287.8,2271970,6558.13
31-Oct-13,290,300.8,282.6,292.8,293.7,6814585,19841.02
30-Oct-13,292,293.45,286.6,289,288.6,1609883,4657.47
29-Oct-13,288,291.7,285,290.3,290.6,2588383,7488.45
28-Oct-13,284,288.8,283.95,288.25,286.8,2012804,5775.37
25-Oct-13,281.05,286.4,281.05,283,283.95,2524755,7165.73
24-Oct-13,282.25,289,281.2,283.5,283.8,2473833,7074.23
23-Oct-13,286,287,279.4,282,282.25,2119720,5979.07
22-Oct-13,286,287.4,282,286.35,286.05,2125303,6062.44
21-Oct-13,284,286.45,281.8,285.8,285.25,2477107,7025.72
18-Oct-13,283.5,285.95,281.55,282.75,283.55,3171769,9005.64
17-Oct-13,277,284,276.25,281.45,281.1,3996487,11241.6
15-Oct-13,278,279.4,271.35,274.65,275.2,2300920,6329.14
14-Oct-13,273.55,277.85,273.55,275.3,275.5,1421706,3919.91
11-Oct-13,276.05,278.65,273.7,275.45,276.55,2767147,7652.51
10-Oct-13,273.7,275.6,271,273.7,273.7,2215282,6057.78
9-Oct-13,268.5,274.4,266.1,273.75,273.7,2339930,6348.32
8-Oct-13,267,269.85,266,268.4,268.8,2377859,6380.79
7-Oct-13,264,266.9,260.8,266.45,266.1,1822296,4808.11
4-Oct-13,266,269.95,262.35,264.55,264.7,3636594,9675.59
3-Oct-13,263.25,268.35,263.25,266.55,266.5,2977569,7922.77
1-Oct-13,270,270.1,260.95,262,262.3,4889508,12855.53
30-Sep-13,274.4,274.5,262.65,265.95,267.85,3957892,10552.64
27-Sep-13,279.4,280.9,272.85,273.65,274.4,3488568,9656.73
26-Sep-13,280,280.8,274,277.5,276.95,5341773,14812.06
25-Sep-13,276,280.9,272,279.5,279.45,4887208,13568.06
24-Sep-13,277,281.6,273.75,275,274.5,4571845,12661.14
23-Sep-13,287.25,288.8,274.8,275.6,275.65,2740771,7645.5
20-Sep-13,297.2,297.65,283.8,292.05,289.5,6592408,19100.46
19-Sep-13,290,302.5,286.9,299.5,299.2,4492103,13318.84
18-Sep-13,282.75,284.9,277.25,283.6,282.95,1837039,5155.5
17-Sep-13,286.95,288.5,275.85,279.7,279.7,3578661,10040.7
16-Sep-13,289,294.3,280,286.5,287.2,2521134,7252.17
13-Sep-13,275.9,284.6,274.6,283.2,282.7,3093903,8702.43
12-Sep-13,292.8,293,277.55,277.8,278.95,3058063,8644.08
11-Sep-13,292.95,293.2,283.15,289.15,289.3,3814783,10959.47
10-Sep-13,290.05,299,286.1,291.1,292.7,6528817,19109.89
6-Sep-13,271.75,291.7,269.2,284,288.3,5895837,16535.76
5-Sep-13,261.1,272,260.2,271,270.1,4782295,12788.99
4-Sep-13,250.25,261.6,245.7,256,257.35,3892166,9950.36
3-Sep-13,254,257.3,247.7,251,251.1,5193891,13093.86
2-Sep-13,254.9,254.9,247.6,251,251.35,2530921,6347.17
30-Aug-13,250.9,255.15,241,252,249.15,6394037,15935.96
29-Aug-13,249,250.95,244.1,246,248.7,7248444,17989.97
28-Aug-13,254.75,255,234.2,245,243.7,12868335,30943.22
27-Aug-13,265.25,266,257,260,259.3,4366092,11364.73
26-Aug-13,279.45,279.75,266,266.65,268.05,4346319,11794.09
23-Aug-13,270.25,279.8,264.2,276.15,276.7,6191804,16970.21
22-Aug-13,246,272.6,246,270,269.65,8962161,23576.41
21-Aug-13,260,264.65,250,250,250.7,5379555,13857.42
20-Aug-13,260,261.5,248.65,258.2,256.6,5590166,14244.57
19-Aug-13,270.1,272.55,251.5,264.95,261.95,3713791,9740.4
