Date, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
21-Nov-13,530.25,532,515.1,519.1,517.5,1597287,8348.71
20-Nov-13,548.6,553.4,532.6,534.85,537.9,1861860,10169.17
19-Nov-13,531.55,553.2,525.55,550.7,548.95,2643487,14240.34
18-Nov-13,525.1,535,519.25,532,529.9,1562018,8232.01
14-Nov-13,516,523.8,514.5,522.95,520.85,1652563,8589.85
13-Nov-13,500,520,497,505.25,505.05,2836734,14389.49
12-Nov-13,520,525.9,502,502.9,505.1,2129157,10925.72
11-Nov-13,516,533,508.9,517.95,518.1,2800868,14584.49
8-Nov-13,542.9,549.9,516.65,521,522.25,5628060,29706.33
7-Nov-13,564,570,543,547.15,545.55,3107944,17276.25
6-Nov-13,583.8,588.45,556.5,563.05,560.25,1751347,10045.17
5-Nov-13,576,599,568.95,582.25,583.1,3118431,18271.59
3-Nov-13,575.65,581,573,576.15,575.85,403932,2328.65
1-Nov-13,551,587.95,547.1,570.5,570.85,5584414,31985.9
31-Oct-13,497.5,549.7,494.35,547,544.4,3741286,19637.96
30-Oct-13,506.9,510.9,497.5,499.8,499.8,1471511,7427.57
29-Oct-13,477,505,473,504.6,503,2337844,11492.11
28-Oct-13,501,502.7,477.35,478.1,479.9,1471945,7204.73
25-Oct-13,493.75,498.8,488.15,495.15,496.65,1728948,8532.06
24-Oct-13,496,510.55,492.2,493.75,494.65,2783565,14010.33
23-Oct-13,490,502,484.4,496.5,495.75,2760833,13635.38
22-Oct-13,482.5,493.8,478.6,486.5,486.95,1394373,6806.47
21-Oct-13,478.95,490.9,475.65,484.55,484.15,1499057,7263.1
18-Oct-13,465.5,477,465.3,475.05,475.5,1317763,6230.78
17-Oct-13,472.5,474.5,460.45,462.45,463.65,1294282,6044.11
15-Oct-13,492.9,495,466.9,468.05,469.85,1580625,7587.91
14-Oct-13,490,501.5,485.1,487.5,487.2,2049171,10119.66
11-Oct-13,482.65,495.7,475.8,485,486.4,2827668,13754.4
10-Oct-13,475.05,481,471.4,473.95,474.05,968788,4610.16
9-Oct-13,463.1,478,458.9,477,476.4,1304044,6127.03
8-Oct-13,484,484,464.2,465.2,467.65,1185344,5628.71
7-Oct-13,470.15,474.2,460.05,467.35,467.4,1039340,4829.17
4-Oct-13,468,481.55,466.3,470.15,470.3,1510847,7159.66
3-Oct-13,463.55,476.85,463.55,469.3,471.05,1970999,9287.91
1-Oct-13,464.25,468,457.1,461.65,461.9,1686609,7798.35
30-Sep-13,471.35,472,458.6,462.45,461.45,1544949,7148.28
27-Sep-13,480,482,469,478.05,477.65,1655368,7881.06
26-Sep-13,483.4,488,473,474.1,476.05,1466791,7041.03
25-Sep-13,487.7,492,475.3,484.35,484.85,1443305,6970.51
24-Sep-13,474.9,488,465.35,483.85,483.5,2643443,12712.38
23-Sep-13,509,512,480.3,484.05,483.85,3011044,14701.09
20-Sep-13,558,562,500,515,515.55,3107594,16244.28
19-Sep-13,536,562.75,534.3,556,556.8,2820048,15563.4
18-Sep-13,499.95,513.45,496,512.15,509.15,1099824,5543.22
17-Sep-13,509.75,509.75,494.25,498,499.95,1033475,5165.39
16-Sep-13,526,531.8,502.1,506.6,508.1,1616095,8334.69
13-Sep-13,492.6,521,487.25,513.85,514,2256906,11528.27
12-Sep-13,502,510.3,486.1,493,494.2,2440598,12222.77
11-Sep-13,463,499.9,451.65,497,497.05,3111821,14996.31
10-Sep-13,459.9,469,457.1,462,463.75,1996124,9240.2
6-Sep-13,449,452,434,446.75,447.45,1855576,8254.35
5-Sep-13,428.5,449.75,425.95,442.2,442.6,3177198,13939.29
4-Sep-13,409.45,419.9,400.2,412,412.6,1852929,7610.88
3-Sep-13,441,444.75,407.45,407.8,409.45,1507628,6392.49
2-Sep-13,427,446.6,427,437.25,438.75,1175001,5176.02
30-Aug-13,425.95,444,422,430,429.85,1781377,7731.89
29-Aug-13,438.1,444,421,425.6,425.65,2505940,10712.29
28-Aug-13,450.9,452.25,429.25,430.8,434.5,1565363,6859.57
27-Aug-13,470.95,472.9,456.5,456.6,459,1128492,5242.95
26-Aug-13,485.4,491,476,476.6,479.25,949556,4579.94
23-Aug-13,491,495.35,478,481.5,482.3,1209337,5869.8
22-Aug-13,475,493.35,470.05,488.3,487.2,1494549,7198.17
21-Aug-13,506,522.8,475.3,479.1,479.3,1885397,9438.24
20-Aug-13,468,489.95,453,475.75,478.25,1490608,7112.29
19-Aug-13,492,492,473.25,475.55,479.6,1096985,5268.53
16-Aug-13,531.9,534,492.25,495,500.25,1494018,7671.3
14-Aug-13,540,551.9,531.25,536,537.75,1442272,7813.84
13-Aug-13,530.2,546,522.6,538.9,539.15,951190,5125.08
12-Aug-13,538.2,549.9,520,530.85,535.05,1154913,6163.59
8-Aug-13,531,543.5,519.6,539.2,540.55,1229211,6537.35
7-Aug-13,523.5,543.85,520,528.15,532.7,1028859,5485.05
6-Aug-13,530.8,530.8,515,521.8,520.5,859226,4466.54
5-Aug-13,519,543,506.2,536,537.15,1242130,6572.07
2-Aug-13,546.55,551.25,515.1,516,523.75,1450931,7691.85
1-Aug-13,580,581.95,538,542,544.1,1396697,7697.37
31-Jul-13,560,575.75,535,575,570.1,1809825,10001.13
30-Jul-13,586.1,592.5,561.7,563.65,565.9,1515387,8736.19
29-Jul-13,595.8,596.7,571.45,582.95,584.05,1119195,6511.88
26-Jul-13,628.1,631.15,583.1,590.75,593.9,4696338,28097.02
25-Jul-13,631,647.7,620.1,623.25,625.65,990852,6282.73
24-Jul-13,644.35,645,624.55,630.45,631.25,820273,5188.42
23-Jul-13,650,668,649.05,659.95,661.25,786872,5207.43
22-Jul-13,630,647.9,626.25,646.8,645.35,819444,5268.2
19-Jul-13,637.05,643.4,622.1,630.05,631,677620,4277.72
18-Jul-13,625,641,616,640.1,636.9,1113336,7016.54
17-Jul-13,630,630.5,613.85,623.05,621.5,963710,5968.52
16-Jul-13,636,644.95,622,623.65,625.8,1281730,8047.95
15-Jul-13,630.3,668.1,626,667.1,662.2,1083594,7029.61
12-Jul-13,633.55,635.9,626.25,633.05,633.5,512719,3236.07
11-Jul-13,631.5,639.8,626,633,630.15,789536,4998.18
10-Jul-13,635,638.7,620,620.1,622.05,768830,4855.93
9-Jul-13,631.9,634.9,621,631.05,632.15,682072,4290.04
8-Jul-13,621,625,610,621.8,620.25,632263,3910.23
5-Jul-13,630.05,633.8,618.1,624.5,625.2,761800,4772.46
4-Jul-13,625.3,631.4,604.05,623,620.05,1898120,11728.43
3-Jul-13,646,649,617,622.9,621.85,1151151,7229.43
2-Jul-13,669,675,653.1,654.1,655.25,827525,5469.42
1-Jul-13,651.8,671.6,651.3,670.15,668.75,768898,5115.2
28-Jun-13,642.5,655.4,641.9,652,650.85,494333,3205.4
27-Jun-13,650.4,654.05,633.1,637.8,635.75,693095,4454.8
26-Jun-13,651.25,659.8,638.55,639,642.15,452143,2938.48
25-Jun-13,651,667,640,647,646.75,883613,5771.69
24-Jun-13,665,665.95,645,647,648.65,783219,5106.92
21-Jun-13,688.25,694.6,659.6,666.95,667,890223,6036.94
20-Jun-13,715,718,685,685.3,688.05,871441,6091.17
19-Jun-13,725,731.9,721.3,725,725.55,404533,2938.8
18-Jun-13,740,747,722,723.75,725.15,550695,4043.98
17-Jun-13,743.25,747.8,722,744.4,742.05,577797,4268.48
14-Jun-13,729.1,745,729.1,739.5,741.25,591689,4365.57
13-Jun-13,728,734.6,718,718.55,721.8,760550,5521.28
12-Jun-13,742.55,761.9,740,757,754.25,679856,5118.61
11-Jun-13,752,757.7,738.5,744.3,746.9,745446,5573.29
10-Jun-13,770,772.95,751,758,757.95,422750,3223.45
7-Jun-13,771,783.65,760.25,764,762.95,544962,4213.56
6-Jun-13,762,778.5,757.1,774.3,774.95,727128,5595.62
5-Jun-13,761,767.95,757.05,766.5,764.8,403428,3077.98
4-Jun-13,763,775,755,761.5,760.05,560523,4299.21
3-Jun-13,764.8,772,749.1,758,759.35,636183,4825.9
31-May-13,793.95,798.7,755.5,761,760.05,703714,5451.41
30-May-13,797,823.3,792.5,793.95,798,1010982,8181.45
29-May-13,810.1,810.5,797.1,799.45,802.1,416438,3346.91
28-May-13,805.1,814,801.6,811.15,810.5,553969,4473.66
27-May-13,785,806.6,780,805.4,804.3,687505,5469.74
24-May-13,782,792,768.3,789.9,787.55,667297,5220.14
23-May-13,804.9,804.9,767.1,775,771.7,792432,6195.12
22-May-13,821.25,830,801.1,811.4,806.6,634925,5185.26
21-May-13,835,838.95,815,818.9,819.7,763301,6296.53
20-May-13,841,852.65,832.5,834.15,835.5,984462,8293.2
17-May-13,819,839.85,810,836.5,834.25,1209956,9981.58
16-May-13,816.6,834.7,811.6,817.55,816.95,981913,8096.53
15-May-13,768.8,826.25,768.8,824,822.45,2465641,19894.12
14-May-13,760.25,773,755.75,766.95,765.8,612307,4689.14
13-May-13,768.45,775.7,753.7,758.1,758.1,709993,5434.73
11-May-13,770,776,768.65,775,772.75,81620,631
10-May-13,780,781.5,765.15,768.25,770.95,1320665,10196.68
9-May-13,752.7,793.75,733.2,784,783.3,6378038,49332.92
8-May-13,750.1,753,737.6,751.9,748.8,601905,4485.91
7-May-13,740.1,751.5,735.95,749.8,747.95,630925,4696.82
6-May-13,742.1,747,726.45,740,738.9,792996,5845.62
3-May-13,762.1,766.9,741,742.5,743.9,963855,7234.9
2-May-13,765.1,780,758.6,768.5,768.55,701301,5407.81
30-Apr-13,786,786.55,753,769.45,767.9,547286,4199.02
29-Apr-13,776.1,790,772.95,780.1,784.8,350644,2742.12
26-Apr-13,785.05,785.05,769.65,772.9,772.25,314626,2437.83
25-Apr-13,783,796.4,780,784,785.7,688991,5432.07
23-Apr-13,783.8,785.5,763,779.25,779.1,416695,3219.92
22-Apr-13,771,787.95,764.5,785.5,781.45,654948,5092.54
18-Apr-13,748.1,771,742.85,765.3,766.5,723781,5499.37
17-Apr-13,750,762.5,739,749.5,747.5,637738,4786.17
16-Apr-13,728.25,749.45,728.25,741.65,740.45,572938,4251.63
15-Apr-13,711.9,743.5,708.1,733.55,734.45,592037,4331.9
12-Apr-13,703,719.1,701,713,713.1,419695,2991.24
11-Apr-13,710,714.45,696,710.6,709.6,770911,5448.54
10-Apr-13,692,710,682.05,709,707.6,738207,5146.39
9-Apr-13,711.9,717.65,687,688,689.65,675658,4744.91
8-Apr-13,721.5,725.7,703,704.55,705.65,395542,2814.18
5-Apr-13,715,729,710.5,719,719.75,528980,3811.82
4-Apr-13,722.1,725,710.95,715,716.85,483383,3470.47
3-Apr-13,743,752.9,723.15,725,726.8,509542,3762.92
2-Apr-13,721.55,746.45,721.55,744.45,743.25,471947,3476.48
1-Apr-13,722,729.75,716.15,724.6,724.9,383759,2779.18
28-Mar-13,713.35,723,704,722.05,717.9,661956,4729.84
26-Mar-13,721.25,724.1,704.35,715,713.1,609340,4346.17
25-Mar-13,740,744.5,717.75,723.85,724.1,461527,3382.61
22-Mar-13,719.1,739.6,716.2,729,727.25,556664,4040.26
21-Mar-13,745.5,754.3,709.3,720.45,718.1,1016075,7404.18
20-Mar-13,769.25,770.8,740.2,747.5,744,679369,5105.81
19-Mar-13,799.5,802.45,767.2,769.65,769.95,840550,6559.46
18-Mar-13,788.8,803.7,785.35,794,794.5,409118,3255.13
15-Mar-13,804.7,811.7,795,796,797,630667,5065.56
14-Mar-13,787.1,807,775.85,796.65,796.7,1081445,8597.61
13-Mar-13,800,805,785.25,786,789.3,305942,2439.77
12-Mar-13,819,819,801,806,806,349495,2826.23
11-Mar-13,818,822.15,806,812.9,814,516263,4211.01
8-Mar-13,813.1,818.3,805.3,814.9,814.65,502611,4087.97
7-Mar-13,809.3,815.3,801.1,812,810.6,744538,6023.47
6-Mar-13,796,812,792.3,809.9,809.3,599464,4824.36
5-Mar-13,788,794.3,778.8,789,789.6,396554,3127.53
4-Mar-13,788,788.6,775.9,782,781.75,311137,2432.21
1-Mar-13,791,804.9,781.15,791.45,788.65,710245,5631.53
28-Feb-13,841,849.5,775,808.7,790.45,1283806,10386.64
27-Feb-13,830.5,840.85,825.15,836.05,836.75,572295,4770.04
26-Feb-13,841.9,844.3,823.75,829.55,827.45,414591,3448.88
25-Feb-13,859,859.55,835,844.7,844.75,361181,3050.86
22-Feb-13,838.2,856.9,834.2,854,853.05,396944,3366.06
21-Feb-13,861,862.45,839.25,840,842,370523,3152.39
20-Feb-13,865,873.5,858.3,865,866.2,506210,4387.55
19-Feb-13,850.5,862.5,844.3,861.9,861.2,323467,2762.65
18-Feb-13,844,855,844,850.9,850.2,420961,3586.02
15-Feb-13,846,854.7,838.05,844.1,845.85,497445,4203.17
14-Feb-13,851.1,860,843,847.15,850.15,411578,3504.72
13-Feb-13,856.7,869.9,848.2,850.1,850.45,542387,4666.79
12-Feb-13,862,867.9,852.5,864.5,860.7,522524,4493.46
11-Feb-13,865.5,872.95,856.5,859,858.95,313005,2702.24
8-Feb-13,880,881.85,858.9,862.55,862.55,590126,5126.88
7-Feb-13,881,890,873,878,877.3,520005,4580.63
6-Feb-13,889,895.8,877.1,881.6,880.9,670425,5946.64
5-Feb-13,880.05,888.3,871.65,885,880.1,731102,6423.22
4-Feb-13,905,906,881,882.4,882.7,730379,6483.33
1-Feb-13,912,916,893.35,901,899.85,2050627,18535.18
31-Jan-13,832,920,825.2,919,912.1,7464412,66275.01
30-Jan-13,864.5,867.15,831.95,833.2,833.65,880250,7401.91
29-Jan-13,874.45,888.2,856.05,857.5,859.25,980244,8565.8
28-Jan-13,880.15,884,869.1,872.5,872.55,291533,2554.47
25-Jan-13,852.2,877,845.2,876,873.35,393727,3415.45
24-Jan-13,870,876.45,849.05,850.7,852.15,405246,3487.13
23-Jan-13,882.2,890,861.6,875,874.25,451011,3949.83
22-Jan-13,892,906.8,879.2,883.9,882,405159,3616.78
21-Jan-13,895,901,890.3,892.05,891.85,223034,1994.18
18-Jan-13,891.2,905,889.05,893.4,894.3,440484,3951.24
17-Jan-13,875,894.8,873.3,888.55,890.55,399643,3545.99
16-Jan-13,895,900.8,880,881,882.95,297875,2652.05
15-Jan-13,906,911.8,895.6,901,900.85,524239,4734.41
14-Jan-13,881.1,909,872.5,908.25,905.45,625872,5601.43
11-Jan-13,889.1,893.45,877.25,878.9,880.75,349290,3088.42
10-Jan-13,896.8,899.45,885.2,887,888.2,517327,4608.78
9-Jan-13,896.35,906.65,884.4,888.4,888,632585,5661.25
8-Jan-13,901,907.95,888.35,897,896.1,936205,8387.04
7-Jan-13,912,914.65,900.75,901.1,902.8,402050,3643.55
4-Jan-13,892.9,910.75,891.6,908,908.1,689119,6240.16
3-Jan-13,908.7,912.9,892,894,896.8,587497,5277.56
2-Jan-13,899,919.5,897.3,906.45,905.5,1855272,16902.17
1-Jan-13,879.7,895.9,875.05,893.8,892.45,2259794,20060.02
31-Dec-12,844.1,875.4,844.1,870.95,871.3,2147874,18643.92
28-Dec-12,847,851,839,844,842.7,355396,2999.56
27-Dec-12,845,852.35,841,847.05,844.1,788484,6679.78
26-Dec-12,835,848.4,830.1,843.35,842.5,516365,4344.35
24-Dec-12,834,840.9,825.1,832.5,833.5,405085,3376.67
21-Dec-12,848,848.9,828,829,831.7,477373,4004.94
20-Dec-12,851.05,858.4,840.1,850.7,851.2,568470,4829.74
19-Dec-12,850,862,842.75,846.05,851.05,835846,7130.79
18-Dec-12,845,849,818.95,846,844.25,874493,7334.74
17-Dec-12,835,841.5,833.95,838.9,837.45,398928,3340.99
14-Dec-12,809.5,836.45,806.5,835.85,830.4,907627,7465.03
13-Dec-12,836.8,844.5,815.9,820.7,819.75,527396,4386.56
12-Dec-12,832,839.95,821.25,825,825.4,414303,3441.48
11-Dec-12,843.9,851.9,818.5,830,829.6,737336,6169.98
10-Dec-12,822,842.85,815.2,840.35,839.7,549086,4576.84
7-Dec-12,829,831.85,817,819.3,821.05,484911,3999.22
6-Dec-12,820,826,802.05,824,823,633018,5152.31
5-Dec-12,795,821,794,811.5,814.2,737252,5967.35
4-Dec-12,783,790.9,778.5,790,787.3,338897,2664.09
3-Dec-12,787,792.35,777.05,784.45,783.05,260270,2038.66
30-Nov-12,770.25,786.9,769.1,784.25,784.9,494255,3856.27
29-Nov-12,755.5,772,755,771.05,766.75,380909,2904.51
27-Nov-12,742.95,757.8,737.1,752.5,754.45,513844,3853.55
26-Nov-12,732.3,744,732,738,740.1,268865,1985.94
23-Nov-12,735,738.5,728.45,735,734.45,288202,2113.27
22-Nov-12,729,739.45,729,734.95,733.75,364270,2673.54
21-Nov-12,732,737.8,725,725,727.65,523268,3819.11
20-Nov-12,742.65,746.85,727.85,730,730.45,419351,3083.08
19-Nov-12,745,749.95,736.4,744.9,743.95,305839,2270.28
16-Nov-12,759,768.65,740.35,745,742.9,379840,2863.6
15-Nov-12,765,768.5,758.15,764.1,763.25,230583,1759.36
13-Nov-12,772,784,765.15,767.9,767.4,74907,576.71
12-Nov-12,771.55,776,765.15,773.5,771.9,255394,1969.22
9-Nov-12,778,785.6,762,770.45,769.3,465851,3599.36
8-Nov-12,765.2,782.9,763.65,777.85,778.1,500365,3885.83
7-Nov-12,754,783.5,754,776,775.7,821592,6354.81
6-Nov-12,748.2,762.9,748.2,759.25,757.5,423290,3206.01
5-Nov-12,756.5,759.7,750.5,754.3,755.15,363899,2747.48
2-Nov-12,757.7,763,748.65,756.5,755.55,655165,4941.5
1-Nov-12,738,754,732.6,749,751.65,726283,5426.14
31-Oct-12,724.5,743,716.95,736.3,738.4,1003599,7354.22
30-Oct-12,755,769,725,728,728.85,1948757,14412.32
29-Oct-12,751.6,763,743,758,755.35,932467,7041.19
26-Oct-12,795.1,802.6,744.85,749.8,749.45,3782942,28766.03
25-Oct-12,816.1,822.45,798.75,805,803.85,570724,4598.82
23-Oct-12,816,827.7,816,819,818.55,287184,2359.42
22-Oct-12,813.2,824.75,812.4,820,820.3,304345,2492.85
19-Oct-12,832,835.8,818.5,821.05,822.8,418491,3460.93
18-Oct-12,818.1,834.4,812.05,833.5,831.6,616358,5099.59
17-Oct-12,814,822,808.5,815,813.3,451962,3683.49
16-Oct-12,823.5,828,802,803,805.15,285393,2329.99
15-Oct-12,820,826.3,809.3,819,820.2,294933,2414.03
12-Oct-12,824.8,838.3,817.6,818.25,820.3,1247634,10365.8
11-Oct-12,801,825,790.95,823.2,821.35,1077778,8722.67
10-Oct-12,790,803,785.65,798.95,797.05,1063620,8473.91
9-Oct-12,801,809,786.65,794,792.1,811491,6463.92
8-Oct-12,819.5,821,793.35,797.25,796.4,595528,4776.47
5-Oct-12,840,841,779.3,819.85,819.1,914976,7488.03
4-Oct-12,831.1,840,829.9,833.15,832.6,810101,6760.65
3-Oct-12,837,840.5,823,826,827.9,544532,4528.1
1-Oct-12,842,844.5,827.8,831,831.7,519527,4332.63
28-Sep-12,845,849.85,832,839,840.3,584857,4940.21
27-Sep-12,836,842,822.25,837.5,833.4,783978,6543.99
26-Sep-12,828,835,813.95,832.75,833.4,762400,6285.58
25-Sep-12,830,844.9,808.1,824,823.55,1702637,14010.01
24-Sep-12,846.4,857.7,818.55,824.9,821.2,1046705,8795.64
21-Sep-12,800,841.65,800,835.5,837.25,1626264,13408.22
20-Sep-12,792,817.7,775.5,789.95,795.4,1695997,13587.75
18-Sep-12,751,807.85,747.95,806.85,802.8,2297626,18064.76
17-Sep-12,717.2,760,717.2,744.9,747.75,1554163,11469.12
14-Sep-12,692.5,710.8,692.5,708.2,709.05,1070808,7553.81
13-Sep-12,689,692.5,680.2,682,681.95,327460,2248.89
12-Sep-12,688.25,692.2,675.1,688.85,685.05,303705,2080.63
11-Sep-12,680.5,690,680,686,685.05,300599,2060.75
10-Sep-12,683,695.25,683,685,686.4,712821,4912.41
8-Sep-12,687.8,687.9,681,686,685.95,57288,392.25
7-Sep-12,678,684.4,670.3,684,683.25,701895,4763.02
6-Sep-12,667,674.6,664.05,665.95,666.35,341725,2288.96
5-Sep-12,670,675.85,666.5,667,668.85,281241,1884.55
4-Sep-12,667,680.95,667,677.4,677.2,562993,3805.33
3-Sep-12,679,685,666.1,666.7,669.2,370777,2504.3
31-Aug-12,678,685.7,669.1,674.8,676.55,682506,4623.39
30-Aug-12,666,683.6,659.2,678.85,679.35,875746,5860.87
29-Aug-12,677.25,683.9,664.1,666,666.15,788207,5283.63
28-Aug-12,678,685.9,670,675.9,675.85,936223,6325.22
27-Aug-12,713,714.75,675.15,675.6,679.05,1127233,7771.37
24-Aug-12,715.7,715.7,709,710.5,711.15,304294,2165.99
23-Aug-12,715,720.6,711.5,717.65,716.75,405617,2907.32
22-Aug-12,716,722.95,708.35,709.8,709.55,949376,6772.06
21-Aug-12,725.5,731.8,718.95,720,719.8,477259,3446.86
17-Aug-12,732,736.4,724,727.4,727.35,338347,2470.6
