Date, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
21-Nov-13,423.8,427.9,412.25,416.15,414.75,2249659,9365.82
20-Nov-13,431,438.35,420.5,422.35,423.05,1708211,7367.44
19-Nov-13,430.1,434.8,426,431.45,431.05,1500904,6463.62
18-Nov-13,424.9,434.3,420.1,427.7,428.5,2616240,11226.57
14-Nov-13,424.7,426.7,415,419,419.9,1811454,7635.28
13-Nov-13,416,423.25,406,414.5,414.85,1627909,6753.39
12-Nov-13,415.5,421.8,412,416.35,415.85,2430001,10122.55
11-Nov-13,418.9,426,408,410.8,410.15,2859634,11862.26
8-Nov-13,401.95,424.55,401.05,420.45,421.7,4577467,18969.09
7-Nov-13,408.15,411.85,399.2,404,404.55,2606620,10566.75
6-Nov-13,401.2,413.85,398.15,406.7,408.15,3497027,14224.4
5-Nov-13,411,414.9,397.3,400.2,400.5,3384162,13640.1
3-Nov-13,407.5,417,407.5,410.75,411.7,1242439,5129.6
1-Nov-13,392,407.35,386.1,406.05,403.05,4153826,16521.92
31-Oct-13,394,401.15,388.1,392,391.1,3609011,14214.69
30-Oct-13,364.55,399,362.35,396.85,397.2,8388476,32212.15
29-Oct-13,390,392.75,382.1,384.45,385.45,2515709,9745.3
28-Oct-13,396.2,399,386.25,386.5,387.95,1218642,4771.59
25-Oct-13,396,405,392.55,393.5,395,2066709,8277.3
24-Oct-13,385.55,402.5,385.55,397.3,398.25,3087852,12266.04
23-Oct-13,396.4,396.95,381.1,386.5,386.8,1738214,6734.08
22-Oct-13,399,406.5,391.1,393,392.9,1782607,7109.28
21-Oct-13,392,407.3,392,398.5,398.8,3352443,13446.97
18-Oct-13,392.5,395.65,387,390.9,390.85,2218563,8692.22
17-Oct-13,387,395,383.1,389,390.25,2199577,8599.44
15-Oct-13,396.4,399.3,382.55,385,384.6,2117760,8210.65
14-Oct-13,400.45,405.7,393.05,393.4,394.95,1846921,7372.27
11-Oct-13,431.9,431.9,397,398.1,399.1,7775656,31769.57
10-Oct-13,386.5,399.45,384.05,393.15,393.4,5875861,23125.44
9-Oct-13,381,385.9,376.05,381,380.5,2353478,8976.43
8-Oct-13,382,388,373.4,376.35,378.3,4190541,16002.31
7-Oct-13,365,387.6,360.55,379.9,381.7,6062457,22796.4
4-Oct-13,361.95,368.5,353.2,361.65,360.2,2988364,10806.13
3-Oct-13,356,366.3,355,359.8,361.85,4498472,16275.46
1-Oct-13,334.5,355.25,331.3,349.8,350.5,5589736,19357.35
30-Sep-13,335,338,328.6,329.1,330.3,1465638,4875.51
27-Sep-13,340.9,345.85,332,333,334,3078031,10469.29
26-Sep-13,334.5,341.9,329,337.55,336.55,3246273,10914.77
25-Sep-13,330.1,337.5,326.1,330.9,332.1,1956512,6489.74
24-Sep-13,338.85,341.6,330,332.2,332.85,2468612,8292.53
23-Sep-13,330,344.3,325.05,335,336.4,4208409,14277.99
20-Sep-13,315.45,340.9,302,333.2,333.85,11108633,36810.02
19-Sep-13,340.9,357.55,335.25,346,350.5,7428926,25694.54
18-Sep-13,334,340,328.7,334,334.65,5488743,18389.61
17-Sep-13,319,338,319,328.95,330.1,13325812,44072.81
16-Sep-13,411.5,411.5,308.25,319.9,318.5,33035120,110136.6
13-Sep-13,458.7,467.9,447.6,459,457.2,2064007,9465.98
12-Sep-13,450,471.4,449,454.4,456.6,4043302,18657.24
