Date, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
21-Nov-13,1782.45,1788.6,1755,1768.2,1762.95,2367593,41970.64
20-Nov-13,1819,1834.7,1782,1783.35,1795.7,2335556,42367.51
19-Nov-13,1764,1830,1763,1821.35,1823.4,2870284,51778.44
18-Nov-13,1745.35,1770,1732.1,1768,1767.6,1894861,33213.64
14-Nov-13,1723.05,1740.85,1705.7,1725,1723.1,1833145,31589.33
13-Nov-13,1658.1,1737.3,1652.65,1705.65,1697.05,6040815,102431.67
12-Nov-13,1704.85,1717,1669,1669.5,1672.95,2433425,41268.02
11-Nov-13,1729.7,1752.95,1695.25,1700,1704.35,1851602,31937.91
8-Nov-13,1749,1768,1730,1737.8,1744.3,1763719,30849.97
7-Nov-13,1810.8,1828,1747,1750.95,1752.6,3128376,56042.82
6-Nov-13,1862,1885.35,1804,1810.8,1809.55,2315930,42612.95
5-Nov-13,1872.3,1907.9,1840.2,1865,1875.95,2188885,41101.6
3-Nov-13,1891,1905,1880.5,1880.5,1886.3,525400,9942.47
1-Nov-13,1793,1890,1789.3,1874.85,1879,3419776,63419.52
31-Oct-13,1717.95,1803.4,1705.7,1796,1796.75,3345951,59072.33
30-Oct-13,1748.05,1758.5,1714.75,1717.95,1721.05,1446642,25136.07
29-Oct-13,1671,1745,1645.6,1743.9,1740.45,3014606,51278
28-Oct-13,1725,1738.9,1671.4,1674.2,1675.4,1306001,22253.99
25-Oct-13,1715,1739.7,1700,1717,1720.95,1422314,24473.27
24-Oct-13,1718,1744.9,1707.65,1714,1718.3,2126792,36766.24
23-Oct-13,1692,1734.9,1685,1716.3,1716.55,3287940,56309.89
22-Oct-13,1670,1691.9,1660,1673.25,1675.25,1366534,22922.65
21-Oct-13,1667.1,1695,1662,1668.9,1671.55,1455525,24429.47
18-Oct-13,1629,1671.9,1627,1664.15,1664.6,1683807,27921.27
17-Oct-13,1625.65,1634.8,1600,1620.5,1621.3,1984864,32126.54
15-Oct-13,1664,1693.5,1611.1,1612.9,1622.8,2322146,38365.2
14-Oct-13,1646.25,1669,1643.65,1651.6,1657.2,1058141,17567.57
11-Oct-13,1650,1671.9,1631,1647.8,1652.8,1597678,26424.81
10-Oct-13,1610.25,1639.55,1608,1634.95,1632.95,1733691,28175.02
9-Oct-13,1590.9,1617.8,1573.85,1616,1609,3417510,54577.16
8-Oct-13,1675.25,1679.5,1597.5,1600,1607.55,2671034,43732.79
7-Oct-13,1641.25,1645,1620.05,1631.05,1633.05,1136352,18535.27
4-Oct-13,1650,1678,1630,1650.1,1650.65,2020143,33346.89
3-Oct-13,1643,1665,1625.2,1657,1660.2,1763656,29111.1
1-Oct-13,1622.35,1648.35,1614,1646.5,1643.35,1254757,20521.21
30-Sep-13,1613.8,1628,1596.65,1617,1614.9,1683813,27148.63
27-Sep-13,1680.55,1688.6,1627.35,1627.5,1640.7,1645400,27280.81
26-Sep-13,1685.25,1697.6,1664.3,1675.6,1676.1,1640244,27546.29
25-Sep-13,1640.25,1702.2,1640.2,1692,1692.65,3171046,52859.65
24-Sep-13,1620,1654.15,1596.25,1642.3,1644.95,2795996,45597.4
23-Sep-13,1709.15,1714,1643.35,1644,1654.65,2489954,41652.86
20-Sep-13,1813.8,1844.5,1692.4,1758,1747.55,5046726,88393.83
19-Sep-13,1744,1818,1743.15,1808.45,1807.75,3343745,59832
18-Sep-13,1645,1678.2,1636.9,1675,1673.65,1395981,23192.76
17-Sep-13,1652,1660,1627.2,1632.95,1633.65,1646920,26970.54
16-Sep-13,1697,1705,1635.3,1647.55,1646.35,2253666,37604.31
13-Sep-13,1638,1686,1631.05,1661.2,1661.1,1763096,29410.09
12-Sep-13,1700,1707.7,1646,1654,1658.4,1902198,31884.62
11-Sep-13,1622.9,1697.75,1602.3,1688,1690.05,2892854,47990.59
10-Sep-13,1660.05,1695.1,1621,1624.1,1633.5,2151087,35704.4
6-Sep-13,1638,1648,1596.9,1628.7,1634.55,2482683,40302.8
5-Sep-13,1536,1644.5,1533.35,1634,1638.15,4100933,65419.51
4-Sep-13,1476,1511.5,1455.7,1497,1494.2,2385802,35566.08
3-Sep-13,1524.95,1534.6,1461.1,1462.6,1475.65,2105070,31635.08
2-Sep-13,1520,1540,1510.35,1514,1516.35,1342171,20498.21
30-Aug-13,1486.4,1526,1470.3,1522,1518.95,2156239,32437.25
29-Aug-13,1513,1524.6,1472.5,1482,1487.8,2008481,30048.09
28-Aug-13,1500,1512,1452.7,1490.2,1497.85,2527213,37483.85
27-Aug-13,1542,1542.25,1501.5,1520,1520,2324604,35272.41
26-Aug-13,1571.1,1584.85,1545.15,1558,1557.25,1700161,26537.33
23-Aug-13,1566.55,1586.75,1542.1,1560,1559.1,2229402,34801.53
22-Aug-13,1532.7,1571.9,1512.3,1566.25,1564.75,3952349,61168.94
21-Aug-13,1640,1650.9,1523,1562,1548,3261631,51703.71
20-Aug-13,1500,1561.65,1488.6,1546.5,1554.05,2446999,37485.49
19-Aug-13,1568,1568,1521,1532.55,1530.5,2735832,42056.7
16-Aug-13,1610.9,1614,1553,1580.05,1570.6,3316193,52231.93
14-Aug-13,1624,1643.35,1608,1626,1624.4,2263034,36772.46
13-Aug-13,1594.7,1627,1575,1620,1619.95,4005029,64221.69
12-Aug-13,1664.15,1669.7,1575,1597.3,1605.35,5439968,87815.86
8-Aug-13,1708.25,1718.05,1650,1654.4,1664.15,2200041,37002.32
7-Aug-13,1645,1729,1636,1716,1716.1,3064051,51804.39
6-Aug-13,1665,1676.4,1633.05,1635,1641.4,2545428,42154.44
5-Aug-13,1688,1694,1655.6,1678.95,1682.25,1765375,29583.15
