Date, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
21-Nov-13,2023.2,2034.7,1980,1989.95,1986.6,1151441,23067.57
20-Nov-13,2046.85,2049.9,2017,2026,2023.6,829348,16890.63
19-Nov-13,2049.95,2055,2021.2,2031.95,2029.9,1038932,21108.82
18-Nov-13,2046,2059.9,2032.25,2050,2044,1415801,28993.16
14-Nov-13,2072,2072,2021.85,2026.3,2026.2,1064852,21702.16
13-Nov-13,2098.95,2106.2,2043.65,2048.8,2049,604169,12506.07
12-Nov-13,2096.85,2121.7,2079,2080,2087.15,500341,10502.62
11-Nov-13,2090,2140,2050,2099.95,2094.65,980569,20714.29
8-Nov-13,2130,2131.75,2071.2,2088.7,2090.85,804673,16879.36
7-Nov-13,2100,2148.15,2080.3,2116,2121.95,978474,20788.94
6-Nov-13,2063,2103.55,2059.05,2093.1,2091.1,833875,17387.59
5-Nov-13,2100,2105,2031.7,2043.85,2042,1130643,23247.14
3-Nov-13,2100,2109.4,2095.2,2099,2099,65452,1375.5
1-Nov-13,2110,2141.95,2091.1,2096,2097.6,673240,14198.66
31-Oct-13,2089,2129,2079.4,2108,2112.05,1761538,37072.57
30-Oct-13,2070.25,2100,2070.25,2094.7,2091.95,1057437,22095.37
29-Oct-13,2065,2085.8,2047.9,2073.85,2069.8,914538,18884.67
28-Oct-13,2068,2089.8,2052.55,2066,2063.95,901971,18641.76
25-Oct-13,1995,2072,1995,2065,2067.75,1263701,25872.81
24-Oct-13,2042,2082.35,2001.85,2007.95,2008.7,1808879,36840.83
23-Oct-13,2088.5,2103,2046.15,2054,2061.15,1227748,25339.77
22-Oct-13,2088,2107.65,2076.85,2088,2089.35,1022307,21388.22
21-Oct-13,2125,2127.95,2050,2076.8,2071.65,1842686,38149
18-Oct-13,2104.8,2133.8,2061.55,2119,2120.65,2673083,56260.12
17-Oct-13,2230,2230,2095.7,2099,2108.45,3343607,71793.49
15-Oct-13,2235,2258.85,2201,2216,2215.4,2332546,52014.07
14-Oct-13,2127.5,2225,2125,2218.5,2212.75,2187230,47925.8
11-Oct-13,2103,2138,2082.4,2128,2122.05,1142224,24179.67
10-Oct-13,2088,2098,2067.25,2088,2080,582160,12107.19
9-Oct-13,2055.5,2097.65,2045.1,2090.55,2090.85,887929,18388.6
8-Oct-13,2083,2098,2056.55,2066.05,2061.45,914053,18963.92
7-Oct-13,2035,2097.7,2025.3,2095.75,2089.75,996939,20574.01
4-Oct-13,2032,2069,2026.95,2038.6,2033.6,967016,19837.78
3-Oct-13,1971.8,2036.9,1960.4,2024,2024.6,2336177,47186.7
1-Oct-13,1932,1954.85,1916.7,1950,1949.05,795997,15472.66
30-Sep-13,1954,1961.85,1920,1922.5,1927.8,993675,19308.1
27-Sep-13,1943.1,1961.95,1937.45,1945.1,1948.1,892333,17411.51
26-Sep-13,1954.8,1974.1,1935.1,1942.95,1942.9,2459852,47979.1
25-Sep-13,1941.5,1970.95,1920.2,1953.25,1959.05,2166929,42087.25
24-Sep-13,1955,1977.9,1926,1941,1939.5,2470150,48174.63
