Date, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
21-Nov-13,383.4,386.5,381.35,383.95,383.15,3632318,13943.25
20-Nov-13,388.8,392.4,384.4,386.4,386,4884635,18999.93
19-Nov-13,395,395.75,387.1,390.75,391.35,4658384,18218.43
18-Nov-13,388,394,382.05,392,392.25,11542633,44876.71
14-Nov-13,372.1,388.25,372.1,385.75,387.05,12280945,47070.66
13-Nov-13,362,369.45,362,366.5,366.2,7488788,27447.5
12-Nov-13,377.8,379.35,358.1,361,360,8282471,30271.78
11-Nov-13,380,386,374.5,377.5,377.1,10752349,40791.64
8-Nov-13,378.8,391,371.25,389,384.15,12659764,48561.08
7-Nov-13,390.9,394.9,377.35,381.1,380.15,5685498,21959.87
6-Nov-13,397.3,400.8,390,391,391.05,6519204,25721.01
5-Nov-13,387,400.95,387,395.35,395.3,9064304,35909.25
3-Nov-13,386,392.6,386,392.35,391,1801390,7025.59
1-Nov-13,384,389,383.2,383.95,384.6,4489619,17324.41
31-Oct-13,380,386.4,379.2,379.9,381.15,9109644,34838.18
30-Oct-13,383,384.15,377.2,380,379.6,5324966,20229.91
29-Oct-13,377.7,384.2,375,380,381.65,5667639,21588.33
28-Oct-13,377.15,381.8,374.1,377.8,377.6,3421077,12931.3
25-Oct-13,378.1,379.4,372.6,375.2,376.25,2965203,11156.78
24-Oct-13,377.1,384.7,374.4,379.4,379.3,7336447,27876.03
23-Oct-13,381.15,382.35,368.1,373.85,374.65,6365332,23739.61
22-Oct-13,380.4,385.1,376.1,379.95,380,5165286,19666.16
21-Oct-13,380,391.5,378.65,380,380.05,6909188,26608.99
18-Oct-13,376.55,381.8,374.5,379.7,379.65,6931755,26256.98
17-Oct-13,385.45,385.45,370.6,374,373.4,9937912,37380.91
15-Oct-13,390.85,393,382.3,389.1,388.85,8293578,32158.49
14-Oct-13,386.1,393.3,385.7,391.4,390.45,7173403,27941.16
11-Oct-13,375,389.6,368.55,384.4,385.3,18024178,68732.59
10-Oct-13,354,373.85,352.1,373.85,371.65,12367384,45023.88
9-Oct-13,350.8,356.35,350,354,354.2,8808415,31182.73
8-Oct-13,352.2,359.4,349.8,350.65,350.55,7297904,25798.57
7-Oct-13,350,352.8,343.5,348.5,347.9,5520739,19158.55
4-Oct-13,345,364.8,344.4,351,350.05,12261119,43791.26
3-Oct-13,335.7,348.35,334.1,346.75,345.95,8229114,28260.4
1-Oct-13,332.9,339.8,330.3,336.25,335.65,5030614,16882.26
30-Sep-13,338.1,339.5,330,330.3,332.5,3492037,11669.64
27-Sep-13,343,346.2,338.35,340.5,340.1,3325470,11361.3
26-Sep-13,342.3,347.3,341,342.4,343.55,4832518,16631.45
25-Sep-13,339.1,347.45,339.1,342.95,344.1,9674826,33345.32
24-Sep-13,334.5,342.25,334.15,336.85,337.1,8854718,29928.82
23-Sep-13,337.65,341.35,331.1,333.2,333.85,3938571,13197.11
20-Sep-13,344.9,354.85,332.4,342,338.35,11600943,39750.37
19-Sep-13,344.8,351.55,341.4,346,349.15,9317393,32247.8
18-Sep-13,341,341,332.95,336,336.85,6544480,22006.55
17-Sep-13,329,337.65,328.25,334.85,335.05,4875668,16334.42
16-Sep-13,339,340.8,324.85,330.55,331.35,5733708,19099.78
13-Sep-13,332,338.3,330.1,333.7,334.05,5908250,19776.18
12-Sep-13,341.9,342,329.5,334,333.45,6590825,22154.44
11-Sep-13,348.5,350.55,336.2,341.2,340.45,9117663,31209.46
10-Sep-13,320.1,353.35,320.1,349,349.6,19020755,65348.84
6-Sep-13,318.3,320,312.2,317.5,317.8,5172580,16358.18
5-Sep-13,316.05,324.35,314.65,316,318.1,8725114,27872.87
4-Sep-13,302.4,313.75,300.25,311,311.7,7751371,23963.76
3-Sep-13,302,311.35,295.65,296.15,297.35,8166216,24878.68
2-Sep-13,296,302,292.05,299.55,299.7,6556397,19571.2
30-Aug-13,308.05,308.7,293.5,298.9,299.25,6378520,19165.95
29-Aug-13,299.5,309,295.3,306,306,10493664,31877.7
28-Aug-13,290.05,299.5,286.3,296.95,297.95,10404816,30503.03
27-Aug-13,295,295.5,287.75,290.8,290.05,6614370,19233.24
26-Aug-13,301.5,304.3,293.5,298.5,298.1,5415542,16123.45
23-Aug-13,295,304.6,294.1,299.95,300.95,10250648,30815.73
22-Aug-13,284,294.9,284,292.5,291.95,10446451,30374.73
21-Aug-13,290.8,294.6,278.55,285.5,283.35,6630724,19027.77
20-Aug-13,297,298.4,285.6,286.5,287.95,11189887,32546.98
19-Aug-13,307.2,308.75,297.4,301.85,301.7,9626161,29151.83
16-Aug-13,317.5,323.4,311.35,315,313.95,15609517,49629.96
14-Aug-13,298.25,324.4,298.2,319.4,319.1,22573141,70571.74
13-Aug-13,280.9,294,276.05,292.6,290.85,12092244,34621.24
12-Aug-13,282,285.4,278.25,280.55,281.3,6850785,19269.13
8-Aug-13,285.5,293.3,275.3,277.9,278.8,16147469,45518.62
7-Aug-13,284.1,286.75,271.8,285,278.9,19307409,54051.9
6-Aug-13,284.45,288.9,280.4,287,287.55,7936760,22657.9
5-Aug-13,290.25,302,279.2,286.5,284.75,6363971,18213.24
2-Aug-13,287.8,291.9,282.25,291.6,290.45,5526691,15910.09
1-Aug-13,291.5,293.7,284.2,289.15,288.95,4065282,11745.68
31-Jul-13,282.5,292.5,278,290.5,290.5,6074890,17392.01
30-Jul-13,295.95,297.65,282.3,284,284.9,6381746,18542.67
29-Jul-13,288,297,288,296,295.75,4588678,13525.93
26-Jul-13,301,301.65,287.3,289.7,289.95,4255393,12499.45
25-Jul-13,298,303.25,294.7,300,299.9,8102895,24259.92
24-Jul-13,298,300.95,294.7,297,297.3,4795606,14257.7
23-Jul-13,298.2,301.5,294.25,299.45,298.8,7317801,21791.43
22-Jul-13,294,300.8,293.3,297.35,297.85,5330210,15856.21
19-Jul-13,287,297.6,287,293.25,294.65,6247962,18380.53
18-Jul-13,284.6,288.1,280.75,287.1,286.9,5208359,14847.09
17-Jul-13,290.65,291.05,282.3,284.5,285.25,5373439,15362.7
16-Jul-13,284,292.35,281.7,291.55,291.55,6937607,19866.79
15-Jul-13,290.8,291.8,286.05,289.25,288.45,5312833,15356.72
12-Jul-13,285.2,294.3,285.1,292.1,292.5,8593420,24797.6
11-Jul-13,287.7,291.6,282.75,283.2,284.9,5910118,16996.36
10-Jul-13,287.7,288.5,280.8,284.55,284.05,9886352,28141.56
9-Jul-13,288.5,290.45,284.65,289.4,289.1,7075394,20339.73
8-Jul-13,288.9,289.5,282.3,288.1,287.8,7342292,21018.37
5-Jul-13,296,298.3,293.1,294.9,296.2,6383463,18899.63
4-Jul-13,286,293.75,282.25,292.9,292.3,7025766,20229.9
3-Jul-13,282.15,289.35,277.75,284.1,284.2,10505656,29833.05
2-Jul-13,287,288.25,282,286.6,286.45,6304038,18011.71
1-Jul-13,278,291.05,277,288.8,289.8,7770037,22266.47
28-Jun-13,275.2,282,275.2,279.8,281.3,8113830,22718.99
27-Jun-13,274.55,277.45,263.1,274,270.3,21100726,56769.67
26-Jun-13,281,282.75,269.15,272,272.65,10379194,28344.78
25-Jun-13,283.25,284.75,272.1,281.4,281.45,12647291,35340.9
24-Jun-13,285,287.65,280.5,283.8,283.9,9699151,27571.84
21-Jun-13,285,289.25,282.15,286.75,287.05,8394864,24062.99
20-Jun-13,287.1,292.25,283.35,286,288.75,13426910,38739.91
19-Jun-13,295,295.75,290.75,291.4,292.1,4812234,14099.77
18-Jun-13,298,299.5,293,297.6,297.6,8257875,24482.83
17-Jun-13,296.8,300.6,288.55,298.8,299.45,7205573,21235.95
14-Jun-13,289,298.4,287.4,296.5,296.8,7610723,22422.17
13-Jun-13,290.4,290.4,280.1,282.1,282.95,7846830,22250.38
12-Jun-13,291,296.5,290,294.1,293.55,6462768,18976.45
11-Jun-13,296.4,297.55,288.75,293.1,293.15,9747868,28494.74
10-Jun-13,301.55,303.8,292.4,297.7,296.05,6474598,19292.27
7-Jun-13,305.5,309.9,298,301.75,301.9,5839679,17878.93
6-Jun-13,304,309.7,304,306.55,306.7,5515881,16934.46
5-Jun-13,304.55,310,303.7,307.3,307.3,5666915,17391.5
4-Jun-13,310,317.8,302.95,306.1,306.1,7785500,24327.4
3-Jun-13,309.75,315.8,307.4,313.8,314.05,7991736,24943.97
31-May-13,316.25,319.5,312.1,313.95,313.3,6832753,21573.11
30-May-13,315,319.1,310.8,315,317.05,14890021,46971.05
29-May-13,299,305.35,295.55,304,303.8,10664646,32119.01
28-May-13,294,298.6,290.6,294.55,295.8,7124280,21017.96
27-May-13,286.6,295.9,285.15,294.05,294.5,5514680,16024.8
24-May-13,292.5,296.15,282.85,288.9,288.1,9101109,26249.64
23-May-13,287.3,293.6,285.25,293.6,291.05,7921154,22930.89
22-May-13,296.1,298.15,289,292.05,291.15,5937143,17446.8
21-May-13,301.5,303.1,292,293.1,292.95,7468655,22084.46
20-May-13,305.6,316.2,300,302.65,302.05,9271269,28695.23
17-May-13,301.25,308.4,300.8,304.8,303.35,6975884,21193.96
16-May-13,307,309.45,302.3,303.1,303.65,5186185,15850.76
15-May-13,302.45,311.95,302.1,306.5,308.85,8414912,25951.44
14-May-13,297.8,303.85,295.4,300.9,300.3,6699345,20086.16
13-May-13,305.65,309.8,295.9,297.45,297.45,3785524,11471.38
11-May-13,308.85,308.85,306.25,307.9,307.55,319689,982.48
10-May-13,300.1,310,299.25,308.9,309.05,7393745,22613.67
9-May-13,301,303.75,295.1,301.55,300.1,5577369,16705.19
8-May-13,299.9,305.75,298.6,300.2,300.25,6459265,19565.89
7-May-13,292.55,300.7,292.55,298.5,298.4,5479556,16296.46
6-May-13,285,293.35,282.85,290.7,291.05,7815749,22634.71
3-May-13,293.95,294.35,284.55,285.5,285.6,8403039,24305.89
2-May-13,295.7,300.8,292.05,296.65,297.35,9184868,27305.75
30-Apr-13,296.2,301,291.1,300.05,300,7962986,23576.02
29-Apr-13,294.65,298.75,292.05,295.8,296.15,5048414,14891.05
26-Apr-13,294,298,290.2,296.95,296.3,8055456,23778.54
25-Apr-13,285.5,296.05,284.75,292.5,293.3,9750912,28364.02
23-Apr-13,284.2,284.5,277,282.2,281.5,4307228,12068.87
22-Apr-13,283.25,287.55,281.75,285.2,285.25,6519483,18582.11
18-Apr-13,268.3,284.4,267.5,281.65,282.45,10750549,29758.55
17-Apr-13,274.05,275.05,268.9,272.5,271.2,9704996,26319.51
16-Apr-13,265,272.45,262.8,271.65,270.95,6514294,17526.41
15-Apr-13,270.4,272.3,264.1,268.75,269,7759517,20809.18
12-Apr-13,274.75,280.35,272.2,274.9,275.15,5380987,14840.19
11-Apr-13,278,281.4,275.45,278.2,278.15,14081199,39268.32
10-Apr-13,264,269,257.7,268,268,7331515,19340.75
9-Apr-13,259,265.55,259,262,262.85,14601352,38409.81
8-Apr-13,257.85,260.8,253.2,257,256.7,4739428,12159.73
5-Apr-13,257.55,261.4,251.8,255.8,255.2,8703291,22274.94
4-Apr-13,256.05,263.45,254.45,258.45,257.7,9369161,24300.57
3-Apr-13,266.05,267,255.7,257.5,257.2,13014504,33901.18
2-Apr-13,262.6,268.75,258.55,267,267.2,10458221,27584.71
1-Apr-13,266.95,267.45,262.1,264.6,265.5,5416240,14319.11
28-Mar-13,272.5,273,266.8,269.4,269.15,14523992,39038.49
26-Mar-13,271.5,277.9,266.35,274.95,275.8,9374553,25725.48
25-Mar-13,273.45,275.8,268.85,271.3,270.75,8333156,22737.84
22-Mar-13,274.9,278.3,265.1,270,270.35,12820865,34731.89
21-Mar-13,284.15,284.2,269.65,273.55,273.6,11742487,32399.94
20-Mar-13,281.6,286.75,276.5,286.25,285.65,9562024,27002.79
19-Mar-13,288.1,289.95,278.35,283.5,281.6,9485483,26989.84
18-Mar-13,289.9,290,285.1,287.5,286.85,5900292,16962.17
15-Mar-13,300.95,301.25,290,291.2,291.1,9480096,27879.44
14-Mar-13,299,302.7,293,301.8,301,8440024,25104.04
13-Mar-13,306,306.15,297,300.9,301,9309205,27969.35
12-Mar-13,306.3,307.95,301.5,304.35,304.7,7907952,24096.73
11-Mar-13,304.4,306.9,300.1,301.4,301.55,5754463,17428.61
8-Mar-13,305.9,307.9,300.65,303.8,303.8,7450816,22642.92
7-Mar-13,307,308.1,302.55,306.25,305.9,9840807,30001.11
6-Mar-13,303.1,311.45,302.65,309.2,309.4,13992872,42973.26
5-Mar-13,290.55,302.4,290.55,301.6,300.5,13164562,39370.67
4-Mar-13,289,292.45,285.75,290.45,289.75,9671806,27965.52
1-Mar-13,291,293.2,281.7,291.5,288.4,15648970,45326
28-Feb-13,293.25,293.25,280.55,287,287.55,14454879,41496.46
27-Feb-13,290.05,290.85,281.55,287,286.25,8740632,24919.49
26-Feb-13,294.8,295.9,285.6,288.4,289.4,9081134,26273.11
25-Feb-13,296.8,301.25,295.1,299.3,299.15,5915809,17663.46
22-Feb-13,294.95,297.55,289.85,293,292.9,8266002,24187.4
21-Feb-13,301.1,301.7,295.3,297.9,297.55,7613380,22698.89
20-Feb-13,307.25,309.25,301.5,304,303.95,7027661,21403.95
19-Feb-13,305.5,308.5,303.25,306.25,306.75,5386283,16504.85
18-Feb-13,304.65,308.2,301.6,306,305.8,8292999,25274.55
15-Feb-13,288.05,305.9,288,304.7,304.45,12481933,37114.33
14-Feb-13,305,306,294.75,295.75,297.2,7467602,22259.33
13-Feb-13,309.05,312,303.1,305,304.7,9814530,30126.86
12-Feb-13,294.25,299.85,291.45,298.05,298.55,6616532,19511.8
11-Feb-13,290,292.3,288.5,292.25,290.9,5157388,14986.96
8-Feb-13,292,295.2,284.7,285.9,285.4,9896168,28697.14
7-Feb-13,285.4,290.8,285.3,289.2,288.6,5701559,16447.51
6-Feb-13,289.8,290.25,284.05,286.5,286.2,6834888,19585.89
5-Feb-13,289,291.35,285,287.1,287.2,6213248,17856.39
4-Feb-13,293.05,296.9,289.4,291.5,292,11067747,32445.17
1-Feb-13,297.8,300.5,268.25,293,281.65,17075881,48660.39
31-Jan-13,297.35,299.8,295,297.65,298,6996002,20795.05
30-Jan-13,303.1,304,298.15,298.55,299.2,7935122,23861.67
29-Jan-13,306,315.9,303,304.05,304.25,13291908,40960.51
28-Jan-13,301,310.2,300.35,308.6,308.55,10597657,32397.3
25-Jan-13,294.9,304.9,290.15,300.45,301,15381899,46233.29
24-Jan-13,286.7,296,281.8,293.9,293.45,36503670,106269.72
23-Jan-13,317,318.7,310.1,313.4,313.05,7207833,22553.54
22-Jan-13,323.45,324.55,315.3,319,318.55,6037763,19280.49
21-Jan-13,329.1,330,322.25,323.95,323.25,3868407,12544.15
18-Jan-13,330.1,332.4,326,329.55,328.55,4962072,16321.91
17-Jan-13,324.1,331.25,324.1,328.85,328.95,9952219,32663.99
16-Jan-13,329.5,329.9,318.5,320.15,320.05,12610453,40741.05
15-Jan-13,329.9,333.65,327.9,332.95,331.55,6718125,22269.5
14-Jan-13,331.25,332.95,326.85,328,327.7,7133538,23450.34
11-Jan-13,334.85,336.15,326.8,329.9,330.4,7289572,24149.99
10-Jan-13,331.5,337.4,330.65,333.8,333.7,12617893,42176.89
9-Jan-13,319,330.35,318.95,327,327.35,16501960,53994.31
8-Jan-13,314,316.35,313.15,314,314.15,7226826,22720.68
7-Jan-13,317.8,318.6,312.6,313.35,313.25,4890565,15425.03
4-Jan-13,318.5,318.5,313.2,315.15,315.4,8870505,27938.01
3-Jan-13,320,321.75,317.15,318,318.1,6099593,19461.11
2-Jan-13,318.5,320.95,316.25,317.5,318,6855751,21809.46
1-Jan-13,316,318.3,314.5,316.6,316.75,3938243,12456.5
31-Dec-12,309.5,313.8,309.5,313,312.65,3537951,11050.96
28-Dec-12,310.7,312.4,308.2,308.8,310.05,7580582,23515.84
27-Dec-12,307,314,304.95,309.3,309.2,13097609,40734.38
26-Dec-12,305.4,308.45,303.75,306.25,306.1,4828196,14793.5
24-Dec-12,301.4,310.4,297.1,307.5,306.95,9826168,29973.08
21-Dec-12,300.55,303.15,297.6,300.2,299.4,5434419,16311.76
20-Dec-12,307.8,309.2,302.5,303.1,304.9,8080630,24745.62
19-Dec-12,300,308.6,299.5,307.8,307.75,11633303,35558.7
18-Dec-12,296.8,300.45,294,298,298.35,14461367,43098.23
17-Dec-12,292.9,295.8,291.1,293.55,294.05,8295975,24391.73
14-Dec-12,287.5,294.2,284.65,292,292.1,12250874,35693.37
13-Dec-12,282.2,290.35,281.35,287.7,287.9,19468012,55900.11
12-Dec-12,279,280.75,274.9,276.2,276.5,7634409,21182.43
11-Dec-12,281.15,282.85,273.2,278.25,278.1,9015953,25036.37
10-Dec-12,283.35,286.15,278,279.95,279.95,9514028,26838.73
7-Dec-12,281.3,287.5,279.05,280.9,281.9,12808613,36422.13
6-Dec-12,277.3,281.95,273.85,281.25,280.85,10561758,29376.72
5-Dec-12,272.1,279,272.1,274.7,274.95,10577309,29257.22
4-Dec-12,273.25,275.4,269.3,271.75,271.55,6715392,18290.19
3-Dec-12,273,276.8,271.1,272.2,272.1,9636654,26326.96
30-Nov-12,278,284,271.95,274.8,273.45,70995059,195296.12
