Date, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
21-Nov-13,382.95,384.9,377,384.1,382.6,6331806,24143.09
20-Nov-13,382.8,388.85,379.4,382.65,385,7232982,27772.58
19-Nov-13,388.1,391.55,380.2,382.1,383.25,9549355,36740.81
18-Nov-13,379,387.95,378.35,387.7,386.8,7386261,28334.28
14-Nov-13,368,376.85,359.1,375.05,375.35,16785986,62048.32
13-Nov-13,350.3,363.9,350.3,363.1,357.75,8165099,29132.89
12-Nov-13,362,363.5,350.1,353.7,352.45,7567835,26826.56
11-Nov-13,355.8,365.55,352.25,360.75,360.8,7566883,27221.35
8-Nov-13,345.9,356.85,345.55,355.9,355.75,7856239,27730.48
7-Nov-13,332.25,349.9,332.25,347.55,345.8,9786753,33698.39
6-Nov-13,340.3,341.7,332.4,334.05,333.3,4337094,14587.33
5-Nov-13,339.4,344.85,331.65,339,338.95,4456687,15084.42
3-Nov-13,338,341,338,338.1,338.85,929328,3153.95
1-Nov-13,335,341.8,332.55,335.3,336.15,4538791,15306.24
31-Oct-13,325.6,338.3,324.15,337.05,334.9,6259016,20768.94
30-Oct-13,328,329.9,321.15,326.7,326.6,4944868,16117.55
29-Oct-13,311,327.25,308.7,327,325.85,7791933,24898.14
28-Oct-13,325,327.4,311.35,311.5,312.3,6896640,21896.05
25-Oct-13,330.15,330.8,321.1,321.85,321.85,5506656,17892.43
24-Oct-13,333,340.9,329.7,331.8,332.15,4996260,16764.07
23-Oct-13,340.7,343.9,331.1,334.5,335.2,6709509,22638.03
22-Oct-13,337,343.4,334.5,340.4,339.95,5827441,19808.7
21-Oct-13,329,338.5,329,336.05,336.1,7183759,24028.77
18-Oct-13,312.8,330,310.8,329,328.9,13131437,42462.26
17-Oct-13,311,316.45,308.85,309.6,310.1,6141072,19235.79
15-Oct-13,303,313.25,300.75,310.8,310.5,7864895,24300.06
14-Oct-13,308,309,300.7,301.85,301.6,3919119,11883.19
11-Oct-13,311.7,313.25,304,307.45,307.9,4894475,15058.82
10-Oct-13,305.7,311,305,307.8,308.6,5944654,18332.19
9-Oct-13,292,304.95,292,304.6,303.25,5603208,16852.62
8-Oct-13,304.35,305.65,295.65,296.25,296.8,5332763,15962.53
7-Oct-13,288,301.8,286.4,301.45,300.4,7197347,21291.47
4-Oct-13,283.95,294.2,282.15,289.15,288.45,6346680,18292.96
3-Oct-13,276.45,289.45,276.45,285.65,285.85,6538898,18650.72
1-Oct-13,274.25,278.5,268.85,275.75,275.75,6134646,16827.49
30-Sep-13,284.4,284.4,266.15,272.35,271.55,10382280,28290.47
27-Sep-13,299.9,303,286,286.35,287.4,5317070,15593.08
26-Sep-13,290.75,301.5,290.15,301.3,299.9,6551564,19506.58
25-Sep-13,294,295.2,286.25,291.85,291.1,3746675,10871.11
24-Sep-13,291.5,297.2,290.1,293.35,292.55,3992433,11722.33
23-Sep-13,297.9,303.8,290.8,293.25,293.5,4487139,13289.16
20-Sep-13,310,310.3,295.1,299.95,300,8233883,24909.6
19-Sep-13,300.1,313.5,298,310.1,310.6,7430487,22789.71
