Date, Open Price, High Price, Low Price, Last Traded Price , Close Price, Total Traded Quantity, Turnover (in Lakhs)
21-Nov-13,1886.1,1886.3,1834.95,1842,1845.25,92132,1715.85
20-Nov-13,1920,1934.8,1890.05,1894.9,1894.45,66367,1273.4
19-Nov-13,1922,1941.15,1910,1923,1922.05,57876,1112.63
18-Nov-13,1900,1953.9,1886.7,1945.1,1934.9,120808,2314.45
14-Nov-13,1889,1923,1860.9,1884,1877.2,112983,2135.03
13-Nov-13,1878.8,1897.8,1848.7,1860.05,1866.45,79055,1476.65
12-Nov-13,1906.45,1914,1877.8,1884.1,1884.3,279587,5314.73
11-Nov-13,1910,1921.95,1887.05,1906,1904.4,94646,1803.79
8-Nov-13,1935,1939.5,1902.25,1928,1926.55,166644,3201.98
7-Nov-13,1962,1962,1920,1935,1935.6,94254,1826.98
6-Nov-13,1951,1966,1936,1945.2,1946.4,89278,1738.8
5-Nov-13,1959,1990,1941.9,1954,1951.1,51326,1002.52
3-Nov-13,1960,1965.95,1952,1956.5,1959.65,7864,154.09
1-Nov-13,1965,1969.95,1954.05,1962,1962.5,91518,1795.77
31-Oct-13,1965,1978,1952,1962,1966.85,190493,3742.61
30-Oct-13,1988,2009,1957,1980.55,1970.95,196038,3866.32
29-Oct-13,1935.3,1994.95,1930.7,1989,1986.35,151516,2989.6
28-Oct-13,1955.1,1962.95,1937.25,1950,1944.1,128024,2500.11
25-Oct-13,1941,1965,1925.4,1952.15,1949.5,112066,2174.83
24-Oct-13,1933,1975,1923.9,1953,1950.8,199926,3910.15
23-Oct-13,1955,1965,1911,1935,1936.9,218516,4226.31
22-Oct-13,1944.8,1967,1930.2,1959.9,1960.85,142931,2784.15
21-Oct-13,1875,1984.8,1871,1959.15,1958.8,620446,12102.99
18-Oct-13,1972.1,1988,1948.3,1963.9,1964.6,319394,6295.19
17-Oct-13,1979,1999,1945.25,1960.1,1960.05,192215,3771.36
15-Oct-13,1975,1992.9,1923.8,1971.55,1974.3,166800,3284.83
14-Oct-13,1964.8,1988.05,1945.6,1983,1976.95,128323,2516.79
11-Oct-13,1985.25,2000,1952.35,1960.5,1970.35,80609,1585.89
10-Oct-13,1968,1994.25,1950,1974,1975.55,149948,2960.78
9-Oct-13,1930.05,1980,1920.7,1980,1970.05,210070,4101.56
8-Oct-13,1908,1950.7,1895,1943,1944.65,203336,3936.83
7-Oct-13,1882,1917.85,1864.8,1905,1905.4,70564,1330.31
4-Oct-13,1878,1941.8,1878,1910,1910.4,234871,4511.5
3-Oct-13,1820,1912,1814.15,1893.55,1892,231321,4365.41
1-Oct-13,1818,1822.8,1791,1820.75,1813.3,134817,2433.58
30-Sep-13,1811,1839,1790.1,1800,1809.3,98176,1779.99
27-Sep-13,1804,1849,1792,1825.05,1829,135378,2464.67
26-Sep-13,1799.9,1837.55,1775.9,1800.5,1808.7,183798,3332.23
25-Sep-13,1810,1813.9,1772.4,1805,1796.95,206689,3693.73
24-Sep-13,1800,1829.95,1791,1802.4,1819.85,119691,2176.08
23-Sep-13,1830.1,1875,1785.2,1804.9,1790.6,81288,1476.55
20-Sep-13,1769,1884.95,1746.15,1855,1854.4,164273,2980.34
19-Sep-13,1755.55,1787.05,1733,1781.45,1766.65,229392,4042.73
18-Sep-13,1699.85,1730.85,1684.65,1720.2,1717.05,172239,2936.23
17-Sep-13,1649,1710,1633.95,1697.1,1699.65,102371,1727.79
16-Sep-13,1749.55,1765,1640,1650,1648.75,170288,2885.54
13-Sep-13,1750,1759.9,1701.55,1718.05,1720.85,175614,3038.81
12-Sep-13,1784,1828,1725.35,1746.3,1758.85,699672,12287.21
11-Sep-13,1710,1740,1687.2,1736,1734.85,201269,3471.16
10-Sep-13,1608,1750.05,1603.8,1700,1707.5,180094,3049.18
6-Sep-13,1540,1624.9,1473.25,1560,1601.05,173597,2672.81
5-Sep-13,1516,1583,1499,1534,1539.4,104681,1616.08
4-Sep-13,1449.7,1508.75,1402.35,1490,1488,673692,9886.55
3-Sep-13,1510,1520,1441,1445.05,1444.7,148101,2161.18
2-Sep-13,1489.6,1533.9,1468.75,1507.9,1498.4,68125,1024.72
30-Aug-13,1441,1498.5,1428,1489.8,1474.85,272543,3973.66
29-Aug-13,1470,1490,1411.9,1435,1447.95,311732,4522.47
28-Aug-13,1527.55,1535,1450,1459,1463.7,528963,7912.19
27-Aug-13,1583.25,1605,1540,1540,1550.7,183236,2865.98
26-Aug-13,1586.2,1610.8,1573,1607.7,1596.4,142479,2272.07
23-Aug-13,1620,1640,1565,1576,1580.7,624269,9892.57
22-Aug-13,1610,1648.7,1604.15,1635,1634.45,1088048,17732.85
21-Aug-13,1663.9,1663.9,1605,1620,1625.9,365998,5982.22
20-Aug-13,1637,1658.95,1616.05,1647.35,1647.1,267966,4408.83
19-Aug-13,1694,1694,1637.15,1655,1654.65,286552,4756.02
16-Aug-13,1719,1749.7,1637.9,1714.9,1684,343203,5768.9
14-Aug-13,1699,1740,1671.2,1740,1727.75,166735,2842.5
13-Aug-13,1675.35,1709.8,1645.85,1700,1695.7,148869,2507.88
12-Aug-13,1680.25,1719,1626.6,1687.6,1688.85,125092,2094.41
8-Aug-13,1632.2,1684.65,1632.2,1670,1671.85,399982,6675.49
7-Aug-13,1670,1677.9,1624.95,1645.3,1642.6,460038,7557.36
6-Aug-13,1760,1772.15,1656.35,1666,1670.6,277493,4689.32
5-Aug-13,1780,1795.65,1764,1771,1773.4,122191,2173.76
2-Aug-13,1821.25,1832.95,1755.65,1766,1779.15,63123,1129.86
1-Aug-13,1834.9,1834.9,1803.3,1816,1817.95,218721,3978.11
31-Jul-13,1864.8,1889.95,1823.55,1826.55,1836.65,89031,1652.81
30-Jul-13,1886.4,1895,1861,1865,1871.75,33492,627.42
29-Jul-13,1841,1894.9,1836,1890.15,1880.6,127930,2382
26-Jul-13,1845.15,1878.9,1845.15,1874,1864.95,58028,1080.49
25-Jul-13,1915,1920.95,1842,1855.15,1854.15,309950,5773.79
24-Jul-13,1900,1925.05,1885,1915,1918.8,63243,1206.33
23-Jul-13,1930,1943,1891.5,1895,1910.65,110509,2122.61
22-Jul-13,1922.85,1935.2,1880.5,1917,1919.6,137252,2619.14
19-Jul-13,1934.8,1934.8,1910,1925,1930.25,124511,2398.8
18-Jul-13,1936.9,1939,1912.6,1924.7,1924.35,100045,1925.4
17-Jul-13,1938,1972,1920.1,1924,1940.15,313681,6132.79
16-Jul-13,1918.9,1942,1899.8,1934,1933.5,75689,1463.59
15-Jul-13,1937.9,1950,1924.8,1936,1941.65,103916,2013.27
12-Jul-13,1999.95,1999.95,1919.5,1944,1939.7,222931,4304.75
11-Jul-13,1976.9,1988,1967.65,1980,1980.15,244998,4851.19
10-Jul-13,1930,1975.35,1913.85,1962,1953.2,155998,3055.09
9-Jul-13,1925,1937.8,1889.4,1926,1930.25,86087,1651.93
8-Jul-13,1890.1,1945,1848.7,1915,1888.05,396469,7511.74
5-Jul-13,1924,1931,1890.35,1930,1926.25,32102,616.75
4-Jul-13,1917.25,1924.65,1903.3,1914.95,1907,35677,682.13
3-Jul-13,1901.35,1921.95,1895,1910,1909,66479,1267.03
2-Jul-13,1925,1937.75,1906.8,1930,1923.2,72997,1403.71
1-Jul-13,1879,1949,1876.65,1927,1932.3,167922,3216.49
28-Jun-13,1875.85,1900,1866,1880,1877,210562,3951.33
27-Jun-13,1799,1898,1775.6,1859,1877.6,378206,7038.12
26-Jun-13,1799,1799,1760.1,1784.8,1775.65,104592,1857.63
25-Jun-13,1775,1810.95,1775,1796,1786.25,90759,1624.62
24-Jun-13,1800.25,1805.45,1763,1784.05,1781.7,110002,1957.52
21-Jun-13,1806,1828.9,1776,1813,1813.15,117462,2124.94
20-Jun-13,1821,1824,1775.3,1817.95,1817,387248,7000.26
19-Jun-13,1878.7,1878.7,1820.35,1835,1837.9,306135,5603.57
18-Jun-13,1892,1907.75,1863,1864,1865.9,126631,2364.63
17-Jun-13,1875.25,1917.6,1846.5,1895.1,1911.25,38646,729.31
14-Jun-13,1846,1884.7,1820,1870.15,1874,137306,2569.23
13-Jun-13,1815,1835.7,1805.15,1830,1822.25,117814,2144.61
12-Jun-13,1850.3,1860.05,1829.7,1842,1841.1,100511,1849.69
11-Jun-13,1885,1885,1830,1867.8,1857.7,102398,1901.6
10-Jun-13,1865.1,1905.4,1865.1,1890,1893.45,86536,1639.05
7-Jun-13,1899,1902.35,1853.95,1864.95,1860.2,127357,2381.05
6-Jun-13,1847.5,1905,1827,1897,1894.6,127647,2386.82
5-Jun-13,1860.1,1865,1830.55,1850.5,1853.9,100082,1845.41
4-Jun-13,1869.9,1890,1830.6,1885.9,1868.5,223198,4138.12
3-Jun-13,1887,1893.75,1840.5,1860,1858.55,190310,3531.66
31-May-13,1985,1994.35,1855.15,1885,1878.3,147689,2821.01
30-May-13,1962.25,2000,1957.8,1971,1988.05,140533,2785.38
29-May-13,1975,1988.35,1945.1,1975.3,1978.35,66529,1309.1
28-May-13,2015,2015,1965.05,1974.25,1980.25,87550,1732.93
27-May-13,1941.1,2025,1941.1,2000,2013.65,123617,2446.88
24-May-13,1955.25,1968,1925.75,1938,1944.2,113566,2211.13
23-May-13,1935,1973.9,1925.85,1950.6,1954.15,157237,3073.35
22-May-13,1938.65,1969,1927.75,1958.6,1950.3,122934,2391.98
21-May-13,2022,2024.9,1913.65,1921.7,1929.15,236742,4627.38
20-May-13,2017,2069.05,2010.05,2020,2020.05,192118,3932.51
17-May-13,2009.9,2035,2009.35,2019.5,2016.75,149468,3019.93
16-May-13,1973.55,2007.65,1967.1,2001,2002.8,171224,3408.28
15-May-13,1980,1988,1957.95,1963.7,1973.55,241041,4762.53
14-May-13,1964.9,1979.9,1958.05,1975,1973.75,152281,3003.2
13-May-13,1980.3,1989,1943.1,1955.8,1955.8,84152,1656.59
11-May-13,1979.95,1995.75,1967,1979,1980.3,5673,112.39
10-May-13,1997.5,2023.15,1970.25,1970.25,1977.65,174154,3454.72
9-May-13,1980,2009,1980,1997,2002,242692,4852.23
8-May-13,1932,1996.9,1925,1977,1978.2,972546,18787.67
7-May-13,1911.5,1937,1905.6,1928,1928.55,410178,7900.52
6-May-13,1890.35,1920,1881.25,1900,1911.5,374197,7108.15
3-May-13,1883,1903.5,1865,1895.7,1886.3,187931,3536.57
2-May-13,1900,1929.15,1866.75,1888.95,1882.65,279898,5321.88
30-Apr-13,1913.1,1920,1875.3,1910,1900.85,225526,4263.54
29-Apr-13,1915.25,1930,1885.2,1910.15,1918.25,80984,1540.28
26-Apr-13,1929.45,1934.65,1881.1,1915.15,1908.4,115233,2197.04
25-Apr-13,1869,1940,1869,1936,1929.95,437288,8358.85
23-Apr-13,1880,1880,1855.05,1866,1865.6,222160,4147.78
22-Apr-13,1931.8,1931.8,1858,1869.65,1871.6,289632,5456.29
18-Apr-13,1893,1935,1875,1918,1927.65,174586,3316.52
17-Apr-13,1890.5,1905,1886.15,1895.05,1897.65,276803,5246.31
16-Apr-13,1860,1911.7,1850.7,1904.9,1896.85,332577,6268.53
15-Apr-13,1810,1885.85,1810,1865,1872.35,238120,4458.6
12-Apr-13,1786,1824,1771.25,1819.95,1815.45,132134,2385.55
11-Apr-13,1802.25,1805,1771,1786,1787.6,154332,2761.8
10-Apr-13,1805.25,1809,1758.15,1805,1792.1,95262,1697.11
9-Apr-13,1800,1831.7,1788,1800,1800.55,162801,2955.73
8-Apr-13,1770.1,1798,1754.35,1795.1,1789.7,126990,2270.41
5-Apr-13,1742.65,1789,1737.05,1770,1771.55,95182,1684.58
4-Apr-13,1840,1847,1731.1,1732.25,1743.35,204833,3627.11
3-Apr-13,1857.5,1865.45,1832.25,1843.1,1851.7,144084,2666.08
2-Apr-13,1858,1865,1830,1857.5,1856.3,235315,4343.15
1-Apr-13,1860.05,1882.8,1841,1848.05,1865.15,257210,4803.81
28-Mar-13,1830,1893.95,1816.7,1884,1868.95,407233,7535.63
26-Mar-13,1855,1865.05,1836.8,1841,1848.25,139906,2583.88
25-Mar-13,1860.1,1876.05,1856.05,1858.5,1862.7,153900,2867.79
22-Mar-13,1850.3,1891.5,1846.85,1856.1,1853.5,190641,3547.05
21-Mar-13,1835.1,1895,1835.1,1870,1860.05,138420,2588.03
20-Mar-13,1881,1881,1812.65,1854,1844.95,330057,6060.99
19-Mar-13,1905,1921.9,1860.45,1888,1883.95,167962,3166.29
18-Mar-13,1910,1937.5,1898.25,1903,1903.95,179606,3425.3
15-Mar-13,1910.25,1941,1910.25,1922.3,1923.15,323989,6231.72
14-Mar-13,1894.1,1918,1889,1907,1908.75,148291,2823.46
13-Mar-13,1900,1920,1897.9,1905,1905.35,238225,4539.22
12-Mar-13,1899.95,1919.9,1878.5,1904,1905.1,233356,4442.52
11-Mar-13,1890,1906.8,1890,1899.95,1897,126256,2395.91
8-Mar-13,1873.1,1919,1873.1,1912.05,1900.65,94307,1785.76
7-Mar-13,1897,1897,1867.75,1888,1879.3,182545,3427.1
6-Mar-13,1890,1910,1886.35,1900,1900.1,281284,5342.82
5-Mar-13,1855,1909.9,1831,1902,1901.1,198297,3750.29
4-Mar-13,1863,1864,1837,1854,1848.3,224083,4141.38
1-Mar-13,1870,1919,1864.95,1864.95,1886.6,157185,2976.04
28-Feb-13,1899.65,1970.1,1839.5,1871,1868.05,336658,6360.85
27-Feb-13,1908,1912.35,1892.15,1896,1900.2,171757,3264.21
26-Feb-13,1901,1918.65,1890.25,1903.3,1905.7,160911,3068.22
25-Feb-13,1945,1945,1901.35,1920,1912.1,101791,1947.87
22-Feb-13,1924.1,1950,1920.65,1938,1940.9,115275,2238.19
21-Feb-13,1926.3,1952,1926.15,1940,1938.6,349520,6778.75
20-Feb-13,1955,1966,1925.25,1950.2,1949.45,115636,2248.44
19-Feb-13,1908,1964,1890.15,1955,1943.65,58587,1124.19
18-Feb-13,1921,1929,1900.35,1903.15,1905.8,45828,875.39
15-Feb-13,1941,1952,1910.1,1910.1,1930,84250,1637.34
14-Feb-13,1928.1,1967,1928.1,1949.05,1953.2,164604,3218.99
13-Feb-13,1923,1949,1905,1933.15,1943.3,135113,2613.92
12-Feb-13,1918,1929.65,1893.45,1917.75,1920.25,71204,1363.36
11-Feb-13,1879,1924.85,1860.1,1915,1912.7,92944,1762.65
8-Feb-13,1924,1943.55,1866.45,1868,1884.45,116674,2227.21
7-Feb-13,1962.65,1975,1908.15,1924.7,1921.3,211928,4084.25
6-Feb-13,1926,1980,1911,1960.15,1962.65,229127,4487.83
5-Feb-13,1880,1932.9,1875.1,1927,1925.4,144330,2754.71
4-Feb-13,1888.7,1913.45,1875,1899.8,1897.35,220610,4183.48
1-Feb-13,1918,1927,1712.35,1870,1837.75,290743,5394.2
31-Jan-13,1884.5,1914.8,1870,1903,1902.55,154726,2925.73
30-Jan-13,1865.2,1890.65,1860.45,1885.15,1884.35,214238,4018.98
29-Jan-13,1886.55,1916,1850.3,1859.9,1857.1,222058,4169.1
28-Jan-13,1960,1960,1878.85,1885,1886.55,224252,4255.56
25-Jan-13,1954.95,1954.95,1900.1,1917.9,1916.65,106549,2043.75
24-Jan-13,1956,1974.5,1937.4,1945.95,1949.85,163392,3200.16
23-Jan-13,1965,1989.5,1950,1957,1954.65,168341,3321.3
22-Jan-13,1928.7,1959,1910.25,1952,1952.95,130052,2532.13
21-Jan-13,1898,1942,1865.25,1922,1931.45,218770,4154.11
18-Jan-13,1915.25,1924.8,1881.05,1900.2,1909.3,217897,4146.03
17-Jan-13,1925.05,1928.4,1890.2,1904.9,1910.35,115719,2201.34
16-Jan-13,1921,1929.95,1900.05,1920,1920.7,387028,7429.34
15-Jan-13,1866.15,1935,1845.55,1919.95,1920.55,195235,3721.42
